"lakeid","year4","sta","depth","taxon","rep","number_indiv"
"BM",2002,1,18.00,"CHAOBORUS LARVAE",2,143
"BM",2002,1,18.00,"CHAOBORUS LARVAE",3,225
"BM",2002,1,18.00,"CHAOBORUS LARVAE",4,81
"BM",2002,1,18.00,"CHAOBORUS LARVAE",5,34
"BM",2002,1,18.00,"CHAOBORUS PUPAE",1,5
"BM",2002,1,18.00,"CHAOBORUS PUPAE",2,10
"BM",2002,1,18.00,"CHAOBORUS PUPAE",3,1
"BM",2002,1,18.00,"CHAOBORUS PUPAE",4,2
"BM",2002,1,18.00,"CHAOBORUS PUPAE",5,2
"BM",2002,1,18.00,"LEPTODORA",2,22
"BM",2002,1,18.00,"LEPTODORA",3,53
"BM",2002,1,18.00,"LEPTODORA",5,16
"BM",2002,1,18.00,"MYSIS",1,0
"BM",2002,1,18.00,"MYSIS",2,0
"BM",2002,1,18.00,"MYSIS",3,0
"BM",2002,1,18.00,"MYSIS",4,0
"BM",2002,1,18.00,"MYSIS",5,0
"CB",1983,1,2.50,"CHAOBORUS LARVAE",1,159
"CB",1983,1,2.50,"CHAOBORUS LARVAE",2,74
"CB",1983,1,2.50,"CHAOBORUS LARVAE",3,87
"CB",1983,1,2.50,"CHAOBORUS LARVAE",4,115
"CB",1983,1,2.50,"CHAOBORUS LARVAE",5,105
"CB",1983,1,2.50,"LEPTODORA",1,0
"CB",1983,1,2.50,"LEPTODORA",2,0
"CB",1983,1,2.50,"LEPTODORA",4,0
"CB",1983,1,2.50,"LEPTODORA",5,0
"CB",1983,1,2.50,"MYSIS",1,0
"CB",1983,1,2.50,"MYSIS",3,0
"CB",1983,1,2.50,"MYSIS",4,0
"CB",1983,1,2.50,"MYSIS",5,0
"CB",1984,1,1.50,"CHAOBORUS LARVAE",1,23
"CB",1984,1,1.50,"CHAOBORUS LARVAE",2,72
"CB",1984,1,1.50,"CHAOBORUS LARVAE",3,98
"CB",1984,1,1.50,"CHAOBORUS LARVAE",4,72
"CB",1984,1,1.50,"CHAOBORUS LARVAE",5,65
"CB",1984,1,1.50,"LEPTODORA",2,15
"CB",1984,1,1.50,"LEPTODORA",3,2
"CB",1984,1,1.50,"LEPTODORA",4,7
"CB",1984,1,1.50,"MYSIS",1,0
"CB",1984,1,1.50,"MYSIS",2,0
"CB",1984,1,1.50,"MYSIS",3,0
"CB",1984,1,1.50,"MYSIS",4,0
"CB",1985,1,2.00,"CHAOBORUS LARVAE",1,70
"CB",1985,1,2.00,"CHAOBORUS LARVAE",2,74
"CB",1985,1,2.00,"CHAOBORUS LARVAE",3,33
"CB",1985,1,2.00,"CHAOBORUS LARVAE",4,115
"CB",1985,1,2.00,"CHAOBORUS LARVAE",5,77
"CB",1985,1,2.00,"LEPTODORA",1,286
"CB",1985,1,2.00,"LEPTODORA",3,47
"CB",1985,1,2.00,"LEPTODORA",4,28
"CB",1985,1,2.00,"LEPTODORA",5,15
"CB",1985,1,2.00,"MYSIS",2,0
"CB",1985,1,2.00,"MYSIS",3,0
"CB",1985,1,2.00,"MYSIS",4,0
"CB",1985,1,2.00,"MYSIS",5,0
"CB",1986,1,2.00,"CHAOBORUS LARVAE",1,297
"CB",1986,1,2.00,"CHAOBORUS LARVAE",2,414
"CB",1986,1,2.00,"CHAOBORUS LARVAE",3,16
"CB",1986,1,2.00,"CHAOBORUS LARVAE",4,85
"CB",1986,1,2.00,"CHAOBORUS LARVAE",5,484
"CB",1986,1,2.00,"LEPTODORA",1,61
"CB",1986,1,2.00,"LEPTODORA",2,26
"CB",1986,1,2.00,"LEPTODORA",4,4
"CB",1986,1,2.00,"LEPTODORA",5,4
"CB",1986,1,2.00,"MYSIS",1,0
"CB",1986,1,2.00,"MYSIS",3,0
"CB",1986,1,2.00,"MYSIS",4,0
"CB",1986,1,2.00,"MYSIS",5,0
"CB",1987,1,2.00,"CHAOBORUS LARVAE",1,282
"CB",1987,1,2.00,"CHAOBORUS LARVAE",2,1915
"CB",1987,1,2.00,"CHAOBORUS LARVAE",3,2266
"CB",1987,1,2.00,"CHAOBORUS LARVAE",4,999
"CB",1987,1,2.00,"CHAOBORUS LARVAE",5,560
"CB",1987,1,2.00,"CHAOBORUS PUPAE",1,0
"CB",1987,1,2.00,"CHAOBORUS PUPAE",2,1
"CB",1987,1,2.00,"CHAOBORUS PUPAE",3,2
"CB",1987,1,2.00,"CHAOBORUS PUPAE",4,4
"CB",1987,1,2.00,"CHAOBORUS PUPAE",5,0
"CB",1987,1,2.00,"LEPTODORA",2,5
"CB",1987,1,2.00,"LEPTODORA",3,2
"CB",1987,1,2.00,"LEPTODORA",5,0
"CB",1987,1,2.00,"MYSIS",1,0
"CB",1987,1,2.00,"MYSIS",2,0
"CB",1987,1,2.00,"MYSIS",4,0
"CB",1987,1,2.00,"MYSIS",5,0
"CB",1988,1,1.25,"CHAOBORUS LARVAE",1,324
"CB",1988,1,1.25,"CHAOBORUS LARVAE",2,1180
"CB",1988,1,1.25,"CHAOBORUS LARVAE",3,862
"CB",1988,1,1.25,"CHAOBORUS LARVAE",4,510
"CB",1988,1,1.25,"CHAOBORUS PUPAE",1,0
"CB",1988,1,1.25,"CHAOBORUS PUPAE",2,1
"CB",1988,1,1.25,"CHAOBORUS PUPAE",3,1
"CB",1988,1,1.25,"CHAOBORUS PUPAE",4,0
"CB",1988,1,1.25,"LEPTODORA",1,1
"CB",1988,1,1.25,"LEPTODORA",3,0
"CB",1988,1,1.25,"LEPTODORA",4,0
"CB",1988,1,1.25,"LEPTODORA",5,0
"CB",1988,1,1.25,"MYSIS",1,0
"CB",1988,1,1.25,"MYSIS",2,0
"CB",1988,1,1.25,"MYSIS",3,0
"CB",1988,1,1.25,"MYSIS",4,0
"CB",1989,1,3.00,"CHAOBORUS LARVAE",1,608
"CB",1989,1,3.00,"CHAOBORUS LARVAE",2,321
"CB",1989,1,3.00,"CHAOBORUS LARVAE",3,284
"CB",1989,1,3.00,"CHAOBORUS LARVAE",4,366
"CB",1989,1,3.00,"CHAOBORUS LARVAE",5,281
"CB",1989,1,3.00,"LEPTODORA",1,0
"CB",1989,1,3.00,"LEPTODORA",2,0
"CB",1989,1,3.00,"LEPTODORA",4,0
"CB",1989,1,3.00,"LEPTODORA",5,0
"CB",1989,1,3.00,"MYSIS",2,0
"CB",1989,1,3.00,"MYSIS",3,0
"CB",1989,1,3.00,"MYSIS",4,0
"CB",1990,1,3.00,"CHAOBORUS LARVAE",1,11
"CB",1990,1,3.00,"CHAOBORUS LARVAE",2,350
"CB",1990,1,3.00,"CHAOBORUS LARVAE",3,276
"CB",1990,1,3.00,"CHAOBORUS LARVAE",4,1088
"CB",1990,1,3.00,"CHAOBORUS LARVAE",5,445
"CB",1990,1,3.00,"LEPTODORA",1,0
"CB",1990,1,3.00,"LEPTODORA",2,0
"CB",1990,1,3.00,"LEPTODORA",4,0
"CB",1990,1,3.00,"LEPTODORA",5,0
"CB",1990,1,3.00,"MYSIS",2,0
"CB",1990,1,3.00,"MYSIS",3,0
"CB",1990,1,3.00,"MYSIS",4,0
"CB",1991,1,2.00,"CHAOBORUS LARVAE",1,259
"CB",1991,1,2.00,"CHAOBORUS LARVAE",2,290
"CB",1991,1,2.00,"CHAOBORUS LARVAE",3,207
"CB",1991,1,2.00,"CHAOBORUS LARVAE",4,196
"CB",1991,1,2.00,"CHAOBORUS LARVAE",5,250
"CB",1991,1,2.00,"LEPTODORA",1,0
"CB",1991,1,2.00,"LEPTODORA",2,0
"CB",1991,1,2.00,"LEPTODORA",4,0
"CB",1991,1,2.00,"LEPTODORA",5,0
"CB",1991,1,2.00,"MYSIS",2,0
"CB",1991,1,2.00,"MYSIS",3,0
"CB",1991,1,2.00,"MYSIS",4,0
"CB",1991,1,2.00,"MYSIS",5,0
"CB",1992,1,2.00,"CHAOBORUS LARVAE",1,131
"CB",1992,1,2.00,"CHAOBORUS LARVAE",2,262
"CB",1992,1,2.00,"CHAOBORUS LARVAE",3,126
"CB",1992,1,2.00,"CHAOBORUS LARVAE",4,212
"CB",1992,1,2.00,"CHAOBORUS LARVAE",5,324
"CB",1992,1,2.00,"LEPTODORA",1,13
"CB",1992,1,2.00,"LEPTODORA",3,4
"CB",1992,1,2.00,"LEPTODORA",4,0
"CB",1992,1,2.00,"LEPTODORA",5,0
"CB",1992,1,2.00,"MYSIS",2,0
"CB",1992,1,2.00,"MYSIS",3,0
"CB",1992,1,2.00,"MYSIS",4,0
"CB",1993,1,2.00,"CHAOBORUS LARVAE",1,346
"CB",1993,1,2.00,"CHAOBORUS LARVAE",2,447
"CB",1993,1,2.00,"CHAOBORUS LARVAE",3,205
"CB",1993,1,2.00,"CHAOBORUS LARVAE",4,71
"CB",1993,1,2.00,"CHAOBORUS LARVAE",5,756
"CB",1993,1,2.00,"LEPTODORA",1,2
"CB",1993,1,2.00,"LEPTODORA",2,0
"CB",1993,1,2.00,"LEPTODORA",4,4
"CB",1993,1,2.00,"LEPTODORA",5,1
"CB",1993,1,2.00,"MYSIS",2,0
"CB",1993,1,2.00,"MYSIS",3,0
"CB",1993,1,2.00,"MYSIS",4,0
"CB",1994,1,2.00,"CHAOBORUS LARVAE",1,227
"CB",1994,1,2.00,"CHAOBORUS LARVAE",2,97
"CB",1994,1,2.00,"CHAOBORUS LARVAE",3,55
"CB",1994,1,2.00,"CHAOBORUS LARVAE",4,169
"CB",1994,1,2.00,"CHAOBORUS LARVAE",5,86
"CB",1994,1,2.00,"LEPTODORA",1,0
"CB",1994,1,2.00,"LEPTODORA",2,0
"CB",1994,1,2.00,"LEPTODORA",4,0
"CB",1994,1,2.00,"LEPTODORA",5,0
"CB",1994,1,2.00,"MYSIS",2,0
"CB",1994,1,2.00,"MYSIS",3,0
"CB",1994,1,2.00,"MYSIS",4,0
"CB",1995,1,2.00,"CHAOBORUS LARVAE",1,686
"CB",1995,1,2.00,"CHAOBORUS LARVAE",2,666
"CB",1995,1,2.00,"CHAOBORUS LARVAE",3,308
"CB",1995,1,2.00,"CHAOBORUS LARVAE",4,409
"CB",1995,1,2.00,"CHAOBORUS LARVAE",5,354
"CB",1995,1,2.00,"LEPTODORA",1,0
"CB",1995,1,2.00,"LEPTODORA",2,0
"CB",1995,1,2.00,"LEPTODORA",3,0
"CB",1995,1,2.00,"LEPTODORA",4,0
"CB",1995,1,2.00,"LEPTODORA",5,0
"CB",1995,1,2.00,"MYSIS",1,0
"CB",1995,1,2.00,"MYSIS",3,0
"CB",1995,1,2.00,"MYSIS",4,0
"CB",1995,1,2.00,"MYSIS",5,0
"CB",1996,1,2.10,"CHAOBORUS LARVAE",1,557
"CB",1996,1,2.10,"CHAOBORUS LARVAE",2,642
"CB",1996,1,2.10,"CHAOBORUS LARVAE",3,594
"CB",1996,1,2.10,"CHAOBORUS LARVAE",4,802
"CB",1996,1,2.10,"CHAOBORUS LARVAE",5,783
"CB",1996,1,2.10,"LEPTODORA",2,0
"CB",1996,1,2.10,"LEPTODORA",3,0
"CB",1996,1,2.10,"LEPTODORA",5,0
"CB",1996,1,2.10,"MYSIS",1,0
"CB",1996,1,2.10,"MYSIS",2,0
"CB",1996,1,2.10,"MYSIS",3,0
"CB",1996,1,2.10,"MYSIS",5,0
"CB",1997,1,2.00,"CHAOBORUS LARVAE",1,104
"CB",1997,1,2.00,"CHAOBORUS LARVAE",2,937
"CB",1997,1,2.00,"CHAOBORUS LARVAE",3,939
"CB",1997,1,2.00,"CHAOBORUS LARVAE",4,414
"CB",1997,1,2.00,"CHAOBORUS LARVAE",5,701
"CB",1997,1,2.00,"LEPTODORA",1,3
"CB",1997,1,2.00,"LEPTODORA",3,1
"CB",1997,1,2.00,"LEPTODORA",4,2
"CB",1997,1,2.00,"MYSIS",1,0
"CB",1997,1,2.00,"MYSIS",2,0
"CB",1997,1,2.00,"MYSIS",3,0
"CB",1997,1,2.00,"MYSIS",4,0
"CB",1998,1,2.00,"CHAOBORUS LARVAE",1,150
"CB",1998,1,2.00,"CHAOBORUS LARVAE",2,371
"CB",1998,1,2.00,"CHAOBORUS LARVAE",3,126
"CB",1998,1,2.00,"CHAOBORUS LARVAE",4,950
"CB",1998,1,2.00,"CHAOBORUS LARVAE",5,724
"CB",1998,1,2.00,"LEPTODORA",1,0
"CB",1998,1,2.00,"LEPTODORA",2,0
"CB",1998,1,2.00,"LEPTODORA",3,0
"CB",1998,1,2.00,"LEPTODORA",4,0
"CB",1998,1,2.00,"LEPTODORA",5,0
"CB",1998,1,2.00,"MYSIS",1,0
"CB",1998,1,2.00,"MYSIS",2,0
"CB",1998,1,2.00,"MYSIS",3,0
"CB",1998,1,2.00,"MYSIS",4,0
"CB",1998,1,2.00,"MYSIS",5,0
"CB",1999,1,2.00,"CHAOBORUS LARVAE",1,267
"CB",1999,1,2.00,"CHAOBORUS LARVAE",2,490
"CB",1999,1,2.00,"CHAOBORUS LARVAE",3,89
"CB",1999,1,2.00,"CHAOBORUS LARVAE",4,98
"CB",1999,1,2.00,"CHAOBORUS LARVAE",5,58
"CB",1999,1,2.00,"LEPTODORA",1,0
"CB",1999,1,2.00,"LEPTODORA",3,0
"CB",1999,1,2.00,"LEPTODORA",4,0
"CB",1999,1,2.00,"MYSIS",1,0
"CB",1999,1,2.00,"MYSIS",2,0
"CB",1999,1,2.00,"MYSIS",3,0
"CB",1999,1,2.00,"MYSIS",4,0
"CB",2000,1,2.50,"CHAOBORUS LARVAE",1,48
"CB",2000,1,2.50,"CHAOBORUS LARVAE",2,51
"CB",2000,1,2.50,"CHAOBORUS LARVAE",3,54
"CB",2000,1,2.50,"CHAOBORUS LARVAE",4,35
"CB",2000,1,2.50,"CHAOBORUS LARVAE",5,30
"CB",2000,1,2.50,"LEPTODORA",1,0
"CB",2000,1,2.50,"LEPTODORA",3,0
"CB",2000,1,2.50,"LEPTODORA",4,0
"CB",2000,1,2.50,"LEPTODORA",5,0
"CB",2000,1,2.50,"MYSIS",2,0
"CB",2000,1,2.50,"MYSIS",3,0
"CB",2000,1,2.50,"MYSIS",4,0
"CB",2001,1,2.00,"CHAOBORUS LARVAE",1,132
"CB",2001,1,2.00,"CHAOBORUS LARVAE",2,131
"CB",2001,1,2.00,"CHAOBORUS LARVAE",3,85
"CB",2001,1,2.00,"CHAOBORUS LARVAE",4,184
"CB",2001,1,2.00,"CHAOBORUS LARVAE",5,169
"CB",2001,1,2.00,"LEPTODORA",1,0
"CB",2001,1,2.00,"LEPTODORA",3,0
"CB",2001,1,2.00,"LEPTODORA",4,4
"CB",2001,1,2.00,"LEPTODORA",5,0
"CB",2001,1,2.00,"MYSIS",2,0
"CB",2001,1,2.00,"MYSIS",3,0
"CB",2001,1,2.00,"MYSIS",4,0
"CB",2001,1,2.00,"MYSIS",5,0
"CB",2002,1,2.50,"CHAOBORUS LARVAE",1,35
"CB",2002,1,2.50,"CHAOBORUS LARVAE",2,428
"CB",2002,1,2.50,"CHAOBORUS LARVAE",3,146
"CB",2002,1,2.50,"CHAOBORUS LARVAE",4,187
"CB",2002,1,2.50,"CHAOBORUS LARVAE",5,158
"CB",2002,1,2.50,"CHAOBORUS PUPAE",1,17
"CB",2002,1,2.50,"CHAOBORUS PUPAE",2,40
"CB",2002,1,2.50,"CHAOBORUS PUPAE",3,38
"CB",2002,1,2.50,"CHAOBORUS PUPAE",4,60
"CB",2002,1,2.50,"CHAOBORUS PUPAE",5,59
"CB",2002,1,2.50,"LEPTODORA",2,0
"CB",2002,1,2.50,"LEPTODORA",3,0
"CB",2002,1,2.50,"LEPTODORA",5,0
"CB",2002,1,2.50,"MYSIS",1,0
"CB",2002,1,2.50,"MYSIS",2,0
"CB",2002,1,2.50,"MYSIS",4,0
"CB",2002,1,2.50,"MYSIS",5,0
"CR",1983,1,19.90,"CHAOBORUS LARVAE",1,4
"CR",1983,1,19.90,"CHAOBORUS LARVAE",2,2
"CR",1983,1,19.90,"CHAOBORUS LARVAE",3,3
"CR",1983,1,19.90,"CHAOBORUS LARVAE",4,3
