"site_code","location_type","lat","long","begin_date","begin_date_month","begin_date_year","end_date","end_date_month","end_date_year"
"7-11A","PASS",33.43214,-112.08593,NA,NA,NA,NA,NA,NA
"7-11B","PASS",33.43461,-112.08698,NA,NA,NA,NA,NA,NA
"7-11C","PASS",33.4358,-112.0923,NA,NA,NA,NA,NA,NA
"AA-17","ESCA",33.45215242,-111.80062691,NA,NA,NA,NA,NA,NA
"AA-20","ESCA",33.31575447,-111.82392055,NA,NA,NA,2016-05-12,5,2016
"AA-9","PASS",33.7227922235445,-111.831559366856,NA,NA,NA,NA,NA,NA
"AA-9B","PASS",33.65827,-111.88552,NA,NA,NA,NA,NA,NA
"AA-9C","PASS",33.66616,-111.88956,NA,NA,NA,NA,NA,NA
"AB-19","ESCA",33.35162,-111.77364,NA,NA,NA,NA,NA,NA
"AB-19","ESCA",33.35172934,-111.77360147,NA,NA,NA,2016-05-12,5,2016
"AC-16","ESCA",33.47893705,-111.71943351,NA,NA,NA,2016-05-03,5,2016
"AD-10","ESCA",33.67689447,-111.71140004,NA,NA,NA,NA,NA,NA
"AD-21","ESCA",33.30702446,-111.70294153,NA,NA,NA,2016-05-05,5,2016
"AE-23","ESCA",33.21869957,-111.62649983,NA,NA,NA,NA,NA,NA
"AF-12","ESCA",33.6102352,-111.62201023,NA,NA,NA,NA,NA,NA
"Ave35_dwn_B1","SRBP",33.4119291,-112.13486343,NA,1,2013,2018-01-30,1,2018
"Ave35_dwn_B1","SRBP",33.4119545761495,-112.134755216538,2018-04-02,4,2018,NA,NA,NA
"Ave67_dwn_B1","SRBP",33.39764256,-112.20402578,NA,4,2016,NA,NA,NA
"Ave67_dwn_B1","SRBP",33.39840573,-112.20603568,NA,1,2013,NA,3,2016
"Ave67_mid_B1","SRBP",33.39764256,-112.20402578,NA,1,2013,NA,3,2016
"Ave67_mid_B1","SRBP",33.39613692,-112.20127241,NA,4,2016,NA,NA,NA
"BM_mid_B2","SRBP",33.38249101,-112.30335401,NA,1,2013,NA,NA,NA
"DBG","desert_fertilization",33.45716,-111.94313,NA,NA,NA,NA,NA,NA
"EE-15A","riparian",33.3844927,-111.94664729,NA,NA,NA,2016-05-09,5,2016
"EE-6A","riparian",33.61083702,-112.25106619,NA,NA,NA,2016-04-21,4,2016
"EE-7C","riparian",33.60987126,-112.10832196,NA,NA,NA,2016-05-02,5,2016
"EMP","desert_fertilization",33.36277,-112.37363,2018-01-06,NA,NA,NA,NA,NA
"EN-4B","riparian",33.73959387,-112.68089849,NA,NA,NA,2016-04-04,4,2016
"EN-7B","riparian",33.81620287,-111.97260135,NA,NA,NA,2016-05-04,5,2016
"F-8","ESCA",33.75598493,-112.74192461,NA,NA,NA,NA,NA,NA
"G-15","ESCA",33.49892344,-112.67365342,NA,NA,NA,NA,NA,NA
"I-11","ESCA",33.65442124,-112.61775501,NA,NA,NA,NA,NA,NA
"I-17","ESCA",33.44059202,-112.57693338,NA,NA,NA,NA,NA,NA
"IBWA","PASS",33.47343,-111.91157,NA,NA,NA,NA,NA,NA
"IBWB","PASS",33.47124,-111.91148,NA,NA,NA,NA,NA,NA
"IBWC","PASS",33.4696,-111.91415,NA,NA,NA,NA,NA,NA
"L-7","ESCA",33.78130347,-112.45220396,NA,NA,NA,2016-05-02,5,2016
"M-16","ESCA",33.4826731750001,-112.444002161,NA,NA,NA,2016-04-30,4,2016
"M-9","ESCA",33.7231006287547,-112.440622368419,NA,NA,NA,NA,8,2001
"N-12","ESCA",33.62205905,-112.37598673,NA,NA,NA,NA,NA,NA
"NDV-C","NDV",33.31217213,-111.67760412,NA,NA,NA,2016-05-05,5,2016
"NDV-M","NDV",33.3107187,-111.68083778,NA,NA,NA,2016-05-05,5,2016
"NDV-N","NDV",33.31423902,-111.6808283,NA,NA,NA,2016-05-05,5,2016
"NDV-O","NDV",33.31160861,-111.67849193,NA,NA,NA,2016-05-05,5,2016
"NDV-X","NDV",33.31232878,-111.6809102,NA,NA,NA,2016-05-05,5,2016
"O-9","ESCA",33.70631712,-112.35713683,NA,NA,NA,NA,NA,NA
"P-16","ESCA",33.48209987,-112.30388325,NA,NA,NA,NA,NA,NA
"P-18","ESCA",33.4117783,-112.29121618,NA,NA,NA,2016-05-05,5,2016
"PE-10B","riparian",33.38940105,-112.25664033,NA,NA,NA,2016-05-05,5,2016
"PE-11A","riparian",33.362931,-111.7351686,NA,NA,NA,2016-05-12,5,2016
"PE-13A","riparian",33.59830306,-112.06876055,NA,NA,NA,2016-04-20,4,2016
"PE-1D","riparian",33.43499182,-111.90406077,NA,NA,NA,2016-05-02,5,2016
"PN-1B","riparian",33.54746413,-111.65684525,NA,NA,NA,2016-05-03,5,2016
"PN-2A","riparian",33.63757429,-111.66807055,NA,NA,NA,2016-04-21,4,2016
"PN-7A","riparian",33.88142221,-111.95861145,NA,NA,NA,2016-05-04,5,2016
"Price_up_B1","SRBP",33.43850191,-111.88609801,NA,1,2013,NA,NA,NA
"Priest_dwn_B1","SRBP",33.43576689,-111.96029671,NA,1,2013,NA,NA,NA
"PWP","desert_fertilization",33.56412,-112.01406,NA,NA,NA,NA,NA,NA
"PWRA","PASS",33.20731,-111.70968,NA,NA,NA,NA,NA,NA
"PWRB","PASS",33.24183,-111.71894,NA,NA,NA,NA,NA,NA
"PWRC","PASS",33.25643,-111.75764,NA,NA,NA,NA,NA,NA
"Q-15","PASS",33.5063944266923,-112.256579389108,NA,NA,NA,NA,NA,NA
"Q-15B","PASS",33.50165,-112.266,NA,NA,NA,NA,NA,NA
"Q-15C","PASS",33.49738,-112.25745,NA,NA,NA,NA,NA,NA
"Q-7","ESCA",33.78404344,-112.25000446,NA,NA,NA,2016-05-02,5,2016
"R-12","ESCA",33.60711789,-112.1936152,NA,NA,NA,2016-04-21,4,2016
"R-18","PASS",33.418739777382,-112.198706101637,NA,NA,NA,NA,NA,NA
"R-18B","PASS",33.41015,-112.21421,NA,NA,NA,NA,NA,NA
"R-18C","PASS",33.39753,-112.17001,NA,NA,NA,NA,NA,NA
"Rio_mid_B2","SRBP",33.4218821,-112.07512158,NA,1,2013,NA,3,2016
"Rio_mid_B2","SRBP",33.42176526,-112.07501513,NA,4,2016,NA,NA,NA
"S-16","ESCA",33.4667159,-112.14184589,NA,NA,NA,2016-05-05,5,2016
"SMW","desert_fertilization",33.34228,-112.07801,NA,NA,NA,NA,NA,NA
"SRR","desert_fertilization",33.54671,-111.57948,NA,NA,NA,NA,NA,NA
"T-11","ESCA",33.64813901,-112.13299133,NA,NA,NA,2016-05-04,5,2016
"T-11","ESCA",33.64816,-112.13335,NA,NA,NA,NA,NA,NA
"T-13","ESCA",33.57300865,-112.13901448,NA,NA,NA,2016-04-21,4,2016
"T-13","ESCA",33.57299,-112.13908,NA,NA,NA,NA,NA,NA
"T-19","ESCA",33.37853123,-112.12080379,NA,NA,NA,NA,NA,NA
"Tonto_up_B1","SRBP",33.5585114,-111.60882633,NA,1,2013,NA,NA,NA
"TRSA","PASS",33.43389,-112.24509,NA,NA,NA,NA,NA,NA
"TRSB","PASS",33.42514,-112.28805,NA,NA,NA,NA,NA,NA
"TRSC","PASS",33.40209,-112.27385,NA,NA,NA,NA,NA,NA
"U-12","ESCA",33.62723965,-112.0784989,NA,NA,NA,2016-04-20,4,2016
"U-12","ESCA",33.62722,-112.07862,NA,NA,NA,NA,NA,NA
"U-13","ESCA",33.59794339,-112.0832672,NA,NA,NA,2016-04-20,4,2016
"U-13","ESCA",33.59796,-112.08335,NA,NA,NA,NA,NA,NA
"U-18","PASS",33.4012860120768,-112.09064820221,NA,NA,NA,NA,NA,NA
"U-18B","PASS",33.40558,-112.09829,NA,NA,NA,NA,NA,NA
"U-18C","PASS",33.40068,-112.09386,NA,NA,NA,NA,NA,NA
"U-21","PASS",33.31905,-112.0597,NA,NA,NA,NA,NA,NA
"U-21","PASS",33.3191814589109,-112.059721033551,NA,NA,NA,2016-03-14,3,2016
"U-21B","PASS",33.3071,-112.08096,NA,NA,NA,NA,NA,NA
"U-21C","PASS",33.30652,-112.04609,NA,NA,NA,NA,NA,NA
"U-8","ESCA",33.77088888,-112.09187265,NA,NA,NA,2016-05-04,5,2016
"U-8","ESCA",33.7711,-112.0919,NA,NA,NA,NA,NA,NA
"UMP","desert_fertilization",33.46646,-111.61554,NA,NA,NA,NA,NA,NA
"V-13","ESCA",33.58346223,-112.02280878,NA,NA,NA,2016-04-19,4,2016
"V-14","ESCA",33.55222,-112.05477,NA,NA,NA,NA,NA,NA
"V-14","ESCA",33.55217502,-112.05474325,NA,NA,NA,2016-04-19,4,2016
"V-14B","PASS",33.54785,-112.05521,NA,NA,NA,NA,NA,NA
"V-14C","PASS",33.54601,-112.05283,NA,NA,NA,NA,NA,NA
"V-16","ESCA",33.4711342620001,-112.046812844,NA,NA,NA,2016-05-02,5,2016
"V-18","ESCA",33.38786046,-112.02883017,NA,NA,NA,2014-03-28,3,2014
"V-20","ESCA",33.32819623,-112.03228427,NA,NA,NA,NA,NA,NA
"W-15","ESCA",33.52388542,-111.99231927,NA,NA,NA,NA,NA,NA
"W-15B","PASS",33.51892,-111.99351,NA,NA,NA,NA,NA,NA
"W-15C","PASS",33.52015,-111.97997,NA,NA,NA,NA,NA,NA
"W-17","ESCA",33.44463972,-111.99955512,NA,NA,NA,2012-05-07,5,2012
"W-17","ESCA",33.44471,-111.999657,2013-01-04,1,2013,2016-05-01,5,2016
"W-6","ESCA",33.82083085,-112.01090472,NA,NA,NA,2016-05-04,5,2016
