"survey_id","site_code","location_type","survey_date","time_start","time_end","observer","wind_speed","wind_dir","air_temp","cloud_cover","survey_notes","human_activity_notes","wind","precipitation","disturbances","sight_obstruct","noise_level","site_condition","non_bird_species","additional_bird_observations"
"29","U-13","ESCA",2000-06-06,"06:15:00","06:30:00","DiSt",0,NA,27,0,"200 m.",NA,NA,NA,"FALSE",NA,NA,NA,NA,NA
"30","U-13","ESCA",2000-06-06,"06:40:00","06:55:00","DiSt",8,NA,27,0,"600 m.",NA,NA,"none","FALSE",NA,NA,NA,NA,NA
"112","AF-12","ESCA",2000-08-03,"08:40:00","08:55:00","DiSt",8,"S",34,20,"BTSPs seen and heard after count.",NA,NA,NA,"FALSE",NA,NA,NA,NA,NA
"121","AD-10","ESCA",2000-08-03,"07:35:00","07:50:00","BeRa",8,"NE",32,10,"Harris Antelope Squirrels.",NA,NA,NA,"FALSE",NA,NA,NA,NA,NA
"113","X-8","ESCA",2000-08-04,"07:30:00","07:45:00","DiSt",8,NA,29,40,NA,NA,NA,NA,"FALSE",NA,NA,NA,NA,NA
"119","W-6","ESCA",2000-08-04,"08:30:00","08:45:00","BeRa",0,NA,35,0,NA,NA,NA,NA,"FALSE",NA,NA,NA,NA,NA
"114","W-17","ESCA",2000-08-09,"08:15:00","08:30:00","DiSt",8,NA,24,70,"SE, E, NE views blocked by buildings.",NA,NA,NA,"FALSE",NA,NA,NA,NA,NA
"115","AD-10","ESCA",2000-08-15,"08:10:00","08:25:00","DiSt",8,NA,32,40,NA,NA,NA,NA,"FALSE",NA,NA,NA,NA,NA
"124","AA-20","ESCA",2000-08-18,"06:50:00","07:05:00","BeRa",0,NA,27,90,"Traffic problem.",NA,NA,NA,"FALSE",NA,NA,NA,NA,NA
"120","AD-21","ESCA",2000-08-18,"06:05:00","06:20:00","BeRa",0,NA,24,90,"Traffic noise.",NA,NA,NA,"FALSE",NA,NA,NA,NA,NA
"126","Y-19","ESCA",2000-08-18,"08:25:00","08:40:00","BeRa",8,"NW",29,80,"Tiny yards.",NA,NA,NA,"FALSE",NA,NA,NA,NA,NA
"125","AB-19","ESCA",2000-08-18,"09:05:00","09:20:00","BeRa",8,"SE",29,70,"Tiny yards.",NA,NA,NA,"FALSE",NA,NA,NA,NA,NA
"116","V-14","ESCA",2000-08-21,"07:45:00","08:00:00","DiSt",0,NA,29,90,NA,NA,NA,NA,"FALSE",NA,NA,NA,NA,NA
"117","V-13","ESCA",2000-08-21,"08:25:00","08:40:00","DiSt",8,NA,29,85,NA,NA,NA,NA,"FALSE",NA,NA,NA,NA,NA
"118","W-15","ESCA",2000-08-21,"08:55:00","09:15:00","DiSt",8,NA,32,75,NA,NA,NA,NA,"FALSE",NA,NA,NA,NA,NA
"111","U-12","ESCA",2000-08-23,"09:15:00","09:30:00","DiSt",8,NA,32,70,NA,NA,NA,NA,"FALSE",NA,NA,NA,NA,NA
"110","T-11","ESCA",2000-08-23,"08:40:00","08:55:00","DiSt",0,NA,29,70,NA,NA,NA,NA,"FALSE",NA,NA,NA,NA,NA
"109","T-13","ESCA",2000-08-23,"08:05:00","08:20:00","DiSt",0,NA,27,70,NA,NA,NA,NA,"FALSE",NA,NA,NA,NA,NA
"128","Z-23","ESCA",2000-08-25,"06:20:00","06:35:00","BeRa",8,"NE",24,10,NA,NA,NA,NA,"FALSE",NA,NA,NA,NA,NA
"127","AE-23","ESCA",2000-08-25,"07:05:00","07:20:00","BeRa",0,NA,27,10,"Agriculture.",NA,NA,NA,"FALSE",NA,NA,NA,NA,NA
"122","AA-17","ESCA",2000-08-29,"07:10:00","07:25:00","BeRa",16,"SE",27,90,"Traffic and yard work noise.",NA,NA,NA,"FALSE",NA,NA,NA,NA,NA
"123","AC-16","ESCA",2000-08-29,"06:30:00","06:45:00","BeRa",8,"SE",24,75,"Air traffic noise.",NA,NA,NA,"FALSE",NA,NA,NA,NA,NA
"183","W-15","ESCA",2000-10-03,"08:20:00","08:35:00","BeRa",0,NA,29,5,"Large lots residential.",NA,NA,NA,"FALSE",NA,NA,NA,NA,NA
"181","V-13","ESCA",2000-10-03,"06:55:00","07:10:00","BeRa",0,NA,24,5,"School courtyard.",NA,NA,NA,"FALSE",NA,NA,NA,NA,NA
"182","V-14","ESCA",2000-10-03,"07:25:00","07:40:00","BeRa",0,NA,27,5,"School bus stop.",NA,NA,NA,"FALSE",NA,NA,NA,NA,NA
"164","R-12","ESCA",2000-10-05,"09:35:00","09:50:00","BeRa",8,NA,29,5,"Horse ranch.",NA,NA,NA,"FALSE",NA,NA,NA,NA,NA
"162","U-12","ESCA",2000-10-05,"08:15:00","08:30:00","BeRa",0,NA,27,5,"Next to park.",NA,NA,NA,"FALSE",NA,NA,NA,NA,NA
"161","T-11","ESCA",2000-10-05,"07:40:00","07:55:00","BeRa",0,NA,24,5,"Small lots and yards.",NA,NA,NA,"FALSE",NA,NA,NA,NA,NA
"160","T-13","ESCA",2000-10-05,"07:05:00","07:20:00","BeRa",8,NA,24,5,NA,NA,NA,NA,"FALSE",NA,NA,NA,NA,NA
"163","U-13","ESCA",2000-10-05,"08:55:00","09:10:00","BeRa",0,NA,27,5,"Desert foothill.",NA,NA,NA,"FALSE",NA,NA,NA,NA,NA
"139","EE-7C","riparian",2000-10-07,"09:15:00","09:30:00","DiSt",8,NA,27,20,NA,NA,NA,NA,"FALSE",NA,NA,NA,NA,NA
"133","U-12","ESCA",2000-10-07,"08:35:00","08:50:00","DiSt",8,NA,27,20,NA,NA,NA,NA,"FALSE",NA,NA,NA,NA,NA
"132","PE-13A","riparian",2000-10-07,"07:55:00","08:10:00","DiSt",0,NA,24,10,NA,NA,NA,NA,"FALSE",NA,NA,NA,NA,NA
"137","T-13","ESCA",2000-10-11,"08:10:00","08:25:00","DiSt",8,NA,21,20,"Views in most directions partially blocked by houses.  Many HOSP and HOFI heard in all quadrants, possibly 20 and 20.",NA,NA,NA,"FALSE",NA,NA,NA,NA,NA
"136","T-11","ESCA",2000-10-11,"08:55:00","09:10:00","DiSt",8,NA,21,10,"NE view partially blocked by house and fence.",NA,NA,NA,"FALSE",NA,NA,NA,NA,NA
"179","X-18","ESCA",2000-10-12,"07:00:00","07:15:00","BeRa",0,NA,18,0,"ASU campus.",NA,NA,NA,"FALSE",NA,NA,NA,NA,NA
"180","Y-19","ESCA",2000-10-12,"09:25:00","09:40:00","BeRa",8,"E",21,5,"Small lots.",NA,NA,NA,"FALSE",NA,NA,NA,NA,NA
"178","S-16","ESCA",2000-10-12,"08:15:00","08:30:00","BeRa",0,NA,21,0,"Parking lot.",NA,NA,NA,"FALSE",NA,NA,NA,NA,NA
"177","V-16","ESCA",2000-10-12,"07:45:00","08:00:00","BeRa",0,NA,21,0,"Hardware store parking lot.",NA,NA,NA,"FALSE",NA,NA,NA,NA,NA
"176","W-17","ESCA",2000-10-12,"08:55:00","09:10:00","BeRa",0,NA,21,0,"Buildings and parking lot.  Air traffic.",NA,NA,NA,"FALSE",NA,NA,NA,NA,NA
"140","R-12","ESCA",2000-10-12,"09:35:00","09:50:00","DiSt",0,NA,21,10,"100 EUST all directions and distances.",NA,NA,NA,"FALSE",NA,NA,NA,NA,NA
"134","W-17","ESCA",2000-10-13,"09:25:00","09:40:00","DiSt",8,NA,18,0,"Views to N, NE, E, SE blocked by buildings.  Jet and industrial noise.",NA,NA,NA,"FALSE",NA,NA,NA,NA,NA
"138","V-16","ESCA",2000-10-13,"08:45:00","09:00:00","DiSt",0,NA,18,0,NA,NA,NA,NA,"FALSE",NA,NA,NA,NA,NA
"135","V-14","ESCA",2000-10-13,"08:15:00","08:30:00","DiSt",0,NA,16,0,NA,NA,NA,NA,"FALSE",NA,NA,NA,NA,NA
"141","U-13","ESCA",2000-10-14,"08:20:00","08:35:00","DiSt",0,NA,10,0,"WESJ in bushes near parking lot after count completed.",NA,NA,NA,"FALSE",NA,NA,NA,NA,NA
"221","R-12","ESCA",2000-10-17,"09:00:00","09:25:00","JoLe",6,"SE",21,0,NA,NA,NA,NA,"FALSE",NA,NA,NA,NA,NA
"144","S-16","ESCA",2000-10-17,"07:55:00","08:10:00","DiSt",0,NA,16,0,NA,NA,NA,NA,"FALSE",NA,NA,NA,NA,NA
"145","V-18","ESCA",2000-10-17,"09:25:00","09:40:00","DiSt",8,NA,21,0,NA,NA,NA,NA,"FALSE",NA,NA,NA,NA,NA
"146","T-19","ESCA",2000-10-17,"08:40:00","08:55:00","DiSt",8,NA,18,0,NA,NA,NA,NA,"FALSE",NA,NA,NA,NA,NA
"170","T-19","ESCA",2000-10-17,"09:10:00","09:25:00","BeRa",8,"E",21,0,"Cotton field.  Irrigation.",NA,NA,NA,"FALSE",NA,NA,NA,NA,NA
"171","P-18","ESCA",2000-10-17,"07:55:00","08:10:00","BeRa",0,NA,18,0,NA,NA,NA,NA,"FALSE",NA,NA,NA,NA,NA
"172","T-19","ESCA",2000-10-17,"09:10:00","09:25:00","BeRa",8,"E",21,0,"Cotton field.  Irrigation.",NA,NA,NA,"FALSE",NA,NA,NA,NA,NA
"173","P-16","ESCA",2000-10-17,"07:20:00","07:35:00","BeRa",0,NA,18,0,"Avondale.  Residential.",NA,NA,NA,"FALSE",NA,NA,NA,NA,NA
"234","U-12","ESCA",2000-10-17,"07:44:00","07:59:00","JoLe",0,NA,19,0,NA,NA,NA,NA,"FALSE",NA,NA,NA,NA,NA
