table 17 of amesbury_1999. copied by hand									
genus	species	Transect3_1974	Transect3_1999	Transect4_1974	Transect4_1999	Transect5_1974	Transect5_1999	Transect6_1974	Transect6_1999
Acanthurus lineatus		3		x		1			
Acanthurus nigricans				x					1
Acanthurus nigrofuscus		4	76	19	38	3	2	5	
Acanthurus nigroris		x							
Acanthurus olivaceus						x			
acanthurus	triostegus	x	x	5				x	
Acanthurus xanthopterus						x			
Ctenochaetus	striatus	1	6	1	11			x	
Naso	lituratus	x		1		4	x	x	
Naso	unicornis			1		1			x
Zebrasoma	flavescens		x		x				
Apogon	coccineus	x							
Apogon	exostigma	x							
apogon	isostigma	x							
Apogon	lateralis	x							
Apogon	nigrofasciatus	1				1			
Apogon	novemfasciatus	x	1				2		
Apogon	novaeguineae	x							
Apogon	savayensis	x							
Apogon	sp.	x							
Cheilodipterus	quinquelineata						1		
Pranesus	insularum					x			
Aulostomus	chinensis							x	
Balistapus	undulatus					x	x		
melichthys	vidua						x		
sufflamen	bursa				x		1	x	
sufflamen	chrysoptera					x	x	x	
aspidontus	taeniatus					x			
Cirripectes	fuscoguttatus	x				x			
Cirripectes	jenningsi	7		1					
Cirripectes	sebae	x		1					
Cirripectes	veriolosus	7		4		2			
Cirripectes	sp. 1	3		2					
Cirripectes	sp. 2	3		3		2		2	
Cirripectes	sp. 3	3		x		x		1	
Istiblennius	sp.	2		1				1	
meiacanthus	atrodorsalis	1	3		5		x	1	2
plagiotremus	tapeinosoma					1		6	
dinematichthys iluocoeteoides		x							
dinematichthys	sp.	x							
caracanthus	unipinnus	x		1				1	
caranx	melampygus		3		x				
chaetodon	auriga	x	x				x		
chaetodon	citrinellus	3	2		x		x		1
chaetodon	ephippium			7		3			
chaetodon	kleinii		1						
chaetodon	lunula		1		x	x		x	
chaetodon	mertensi		1						
chaetodon	omatissimus	x	2	2	x				
chaetodon	reticulatus	x	2						1
chaetodon	trifasciatus	x	x	3	2	x			
chaetodon	trifascialis	2				x		x	
chaetodon	ulietensis					x			
heniochus	chrysostomus	x	3		x				
heniochus	monoceros		x		1				
heniochus	singularis				1				
cirrihitichthys	falco						4		
paracirrhites	arcatus							x	
paracirrhites	forsteri					1			
kaupichthys	sp.	x							
fistularia	commersonii						x		
gobiodon	citrinus	x							
nemateleotris	magnifica						4		
ptereleotris	evides		x			x	1		
valenciennes	strigata	x				5	1		
Gobiidae unidentified					1	x			
Hemiramphidae unidentified				2					
Myripristis	chryseres	x							
Myripristis	kuntee							1	
Myripristis	murdjan				2			2	1
