Date	Site	Exposure	Transect #	Tidal Height	Acrosiphonia spp	Ahnfeltia pacifica	Alaria marginata	Analipus japonicus	Chondracanthus exasperatus	Cladophora spp	Codium fragile	Copamania spp	Corallina vancouveriensis	Egregia menziesii	Encrusting coralline algae	Endocladia muricata	Enteromorpha intestinalis	Filamentous rhodophyta	Fucus spp	Gastroclonium coulteri	Halosaccion glandiforme	Hedophyllum sessile	Laminaria setchelli	Leathesia difformis	Mastocarpus papillatus	Mazzaella splendens	Microcladia borealis	Microcladia coulteri	Nemalion spp	Neorhodomela larix	Odonthalia floccosa	Pelvitiopsis spp	Petrocelis middendorfii	Phyllospadix scouleri	Porphyra spp	Prasiola spp	Prionitis spp	Sargassum muticum	Scytosiphon lomentaria	Ulva spp	Bare rock
"2-Aug-97"	"Wizard"	"Exposed"	"1"	0.5	0	0	1	0	0	0	0	0	5	99	50	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	10	0	20	0	0	0	0
"2-Aug-97"	"Wizard"	"Exposed"	"1"	1	0	0	0	0	0	0	0	0	5	4	10	0	0	0	17	0	0	0	0	0	0	10	0	0	0	0	0	0	40	0	0	0	10	0	0	0.5	0
"2-Aug-97"	"Wizard"	"Exposed"	"1"	1.5	0	0	0	0	0	0	0	0	60	87	15	0	0	5	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0.5	0
"2-Aug-97"	"Wizard"	"Exposed"	"1"	2	0	0	0	0	0	5	0	0	5	0	0	0	0	0	17	0	20	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
"2-Aug-97"	"Wizard"	"Exposed"	"1"	2.5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2-Aug-97"	"Wizard"	"Exposed"	"1"	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2-Aug-97"	"Wizard"	"Exposed"	"1"	3.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2-Aug-97"	"Wizard"	"Exposed"	"10"	0.5	0	0	0	0	5	0	0	0	0	52	55	0	0	0	0	0	0	0	0	0	0	10	0	10	0	0	0	0	0	0	0	0	50	0	0	0.5	0
"2-Aug-97"	"Wizard"	"Exposed"	"10"	1	0	0	6	0	0	0	0.5	0	0	28	15	0	0	10	0	0	0.5	0	18	0	5	35	0	5	0	0	0	0	0	0	0	0	60	0	0	0.5	0
"2-Aug-97"	"Wizard"	"Exposed"	"10"	1.5	0	0	0	0	0	10	0	0	5	0	0	0	0	20	10	0	5	0	0	0	35	0	0	0	0	0	0	0	35	0	0	0	0	0	0	15	0
"2-Aug-97"	"Wizard"	"Exposed"	"10"	2	0	0	0	0	0	0	0	0	0.5	0	0	0	0	10	4	0	0.5	0	0	0	5	0	0	0	15	0	0	0	80	0	0	0	0	0	0	5	0
"2-Aug-97"	"Wizard"	"Exposed"	"10"	2.5	0	0	3	0	0	45	0	0	5	0	0	0	0	30	3	0	0.5	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
"2-Aug-97"	"Wizard"	"Exposed"	"10"	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	40	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0
"2-Aug-97"	"Wizard"	"Exposed"	"10"	3.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2-Aug-97"	"Wizard"	"Exposed"	"11"	0.5	0	0	0	0	0	0	0	0	0	100	55	0	0	5	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0
"2-Aug-97"	"Wizard"	"Exposed"	"11"	1	0	0	5	0	0	0	0	0	0.5	87	70	0	0	5	0	0	0.5	0	0	0	0	10	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0
"2-Aug-97"	"Wizard"	"Exposed"	"11"	1.5	0	0	0	0	0	25	0	0	55	0	0	0	0	0	0	0	25	0	0	0	0.5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	10	0
"2-Aug-97"	"Wizard"	"Exposed"	"11"	2	0	0	0	0	0	25	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
"2-Aug-97"	"Wizard"	"Exposed"	"11"	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2-Aug-97"	"Wizard"	"Exposed"	"11"	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2-Aug-97"	"Wizard"	"Exposed"	"11"	3.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
"2-Aug-97"	"Wizard"	"Exposed"	"12"	0.5	0	0	0	0	0	0	0	0	0	80	0.5	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0
"2-Aug-97"	"Wizard"	"Exposed"	"12"	1	0	0	0	0	0	0	0	0	0	100	5	0	0	0.5	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	75	0	0	5	0
"2-Aug-97"	"Wizard"	"Exposed"	"12"	1.5	0	0	0	0	0	10	0	0	5	0	0	0	0	60	39	0	5	0	0	0	30	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	30	0
"2-Aug-97"	"Wizard"	"Exposed"	"12"	2	0	0	0	0	0	0.5	0	0	0	0	10	0	0	5	85	0	5	0	0	5	35	0	0	0	0	0	0	0	30	0	0	0	0	0	0	20	0
"2-Aug-97"	"Wizard"	"Exposed"	"12"	2.5	0	0	0	0	0	30	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0
