Date	Site	Exposure	Transect #	Tidal Height	Anthopleura elegantissima	Anthopleura xanthogrammica	Balanus crenatus	Balanus glandula	Bryozoa spp	Cnemidocarpa finmarkiensis	Cthamalus dalli	Halichondria spp	Haliclona spp	Hydrozoa spp	Membraniporta membranacea	Mytilus californianus	Mytilus spp	Ophlitaspongia pennata	Pollicipes polymerus	Schizoporella unicornis	Semibalanus cariosus	Serpula vermicularis	Spirorbis spp	Sponges	Tunicates
"02-Aug-97"	"Wizard"	"Exposed"	"1"	0.5	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"02-Aug-97"	"Wizard"	"Exposed"	"1"	1	0	0	0	5	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"02-Aug-97"	"Wizard"	"Exposed"	"1"	1.5	15	0	0	0	30	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	5	0
"02-Aug-97"	"Wizard"	"Exposed"	"1"	2	15	0	0	0.5	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"02-Aug-97"	"Wizard"	"Exposed"	"1"	2.5	0	0	0	25	0	0	5	0	0	0	0	0	65	0	10	0	0	0	0	0	0
"02-Aug-97"	"Wizard"	"Exposed"	"1"	3	0	0	0	40	0	0	5	0	0	0	0	0	30	0	0	0	15	0	0	0	0
"02-Aug-97"	"Wizard"	"Exposed"	"1"	3.5	0	0	0	20	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"02-Aug-97"	"Wizard"	"Exposed"	"10"	0.5	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"02-Aug-97"	"Wizard"	"Exposed"	"10"	1	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0
"02-Aug-97"	"Wizard"	"Exposed"	"10"	1.5	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"02-Aug-97"	"Wizard"	"Exposed"	"10"	2	10	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0
"02-Aug-97"	"Wizard"	"Exposed"	"10"	2.5	10	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"02-Aug-97"	"Wizard"	"Exposed"	"10"	3	0	0	0	45	0	0	25	0	0	0	0	0	15	0	0	0	15	0	0	0	0
"02-Aug-97"	"Wizard"	"Exposed"	"10"	3.5	0	0	0	5	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"02-Aug-97"	"Wizard"	"Exposed"	"11"	2.5	0	0	0	25	0	0	5	0	0	0	0	0	95	0	5	0	5	0	0	0	0
"02-Aug-97"	"Wizard"	"Exposed"	"11"	3	0	0	0	65	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"02-Aug-97"	"Wizard"	"Exposed"	"11"	3.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"02-Aug-97"	"Wizard"	"Exposed"	"12"	0.5	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"02-Aug-97"	"Wizard"	"Exposed"	"12"	1	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"02-Aug-97"	"Wizard"	"Exposed"	"12"	1.5	0.5	0	0	0	0	0	5	0	0	0	0	0	0	5	0	0	0	0	0	0	0
"02-Aug-97"	"Wizard"	"Exposed"	"12"	2	5	0	0	5	5	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"02-Aug-97"	"Wizard"	"Exposed"	"12"	2.5	0	0	0	5	0	0	5	0	0	0	0	0	75	0	15	0	0	0	0	0	0
"02-Aug-97"	"Wizard"	"Exposed"	"12"	3	0	0	0	35	0	0	0	0	0	0	0	0	50	0	5	0	15	0	0	0	0
"02-Aug-97"	"Wizard"	"Exposed"	"12"	3.5	0	0	0	30	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"02-Aug-97"	"Wizard"	"Exposed"	"13"	0.5	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"02-Aug-97"	"Wizard"	"Exposed"	"13"	1	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"02-Aug-97"	"Wizard"	"Exposed"	"13"	1.5	5	0	0	0.5	10	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0
"02-Aug-97"	"Wizard"	"Exposed"	"13"	2	0.5	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0
