Species,Genus,Family,Order,Class,Phylum
Ablabesmyiaspp.,Ablabesmyia,Chironomidae,Diptera,Insecta,Arthropoda
Amnicolalimosus,Amnicola,Hydrobiidae,Neotaenioglossa,Gastropoda,Mollusca
Amnicolaspp.,Amnicola,Hydrobiidae,Neotaenioglossa,Gastropoda,Mollusca
Arcteonaislomondi,Arcteonais,Naididae,Haplotaxida ,Oligochaeta,Annelida
Aulodrilusamericanus,Aulodrilus,Tubificidae,Haplotaxida ,Oligochaeta,Annelida
Aulodriluslimnobius,Aulodrilus,Tubificidae,Haplotaxida ,Oligochaeta,Annelida
Aulodriluspigueti,Aulodrilus,Tubificidae,Haplotaxida ,Oligochaeta,Annelida
Aulodriluspluriseta,Aulodrilus,Tubificidae,Haplotaxida ,Oligochaeta,Annelida
Birgellasubglobosus,Birgella,Hydrobiidae,Neotaenioglossa,Gastropoda,Mollusca
Bithyniatentaculata,Bithynia,Bithyniidae,Neotaenioglossa,Gastropoda,Mollusca
Branchiurasowerbyi,Branchiura,Tubificidae,Haplotaxida ,Oligochaeta,Annelida
Caecidoteaspp.,Caecidotea,Asellidae,Isopoda,Malacostraca,Arthropoda
Caenisspp.,Caenis,Caenidae,Ephemeroptera,Insecta,Arthropoda
Chaetogasterspp.,Chaetogaster,Naididae,Haplotaxida ,Oligochaeta,Annelida
Chironomidae,NA,Chironomidae,Diptera,Insecta,Arthropoda
Chironomini,NA,Chironomidae,Diptera,Insecta,Arthropoda
Chironomusspp.,Chironomus,Chironomidae,Diptera,Insecta,Arthropoda
Cladotanytarsussp.,Cladotanytarsus,Chironomidae,Diptera,Insecta,Arthropoda
Coelotanypusspp.,Coelotanypus,Chironomidae,Diptera,Insecta,Arthropoda
Cricotopusspp.,Cricotopus,Chironomidae,Diptera,Insecta,Arthropoda
Cryptochironomusspp.,Cryptochironomus,Chironomidae,Diptera,Insecta,Arthropoda
Cryptotendipessp.,Cryptotendipes,Chironomidae,Diptera,Insecta,Arthropoda
Demicryptochironomussp.,Demicryptochironomus,Chironomidae,Diptera,Insecta,Arthropoda
Derospp.,Dero,Naididae,Haplotaxida ,Oligochaeta,Annelida
Dicrotendipesspp.,Dicrotendipes,Chironomidae,Diptera,Insecta,Arthropoda
Diporeiahoyi,Diporeia,Pontoporeiidae,Amphipoda,Malacostraca,Arthropoda
Dreissenapolymorpha,Dreissena,Dreissenidae,Veneroida,Bivalvia,Mollusca
Dreissenarostriformisbugensis,Dreissena,Dreissenidae,Veneroida,Bivalvia,Mollusca
Echinogammarusischnus,Echinogammarus,Gammaridae,Amphipoda,Malacostraca,Arthropoda
Erpobdellidae,NA,Erpobdellidae,Arhynchobdellida,Hirudinea,Annelida
