YEAR,SQUARE,SITE_ID,SAMPLE_DATE,SPECIES_CODE,NAME,ABUNDANCE,LC07,LC07_NUM,EZ_DESC_07,COUNTRY,COUNTY07
2007,CIOSPC,1,04-Jul-07,41120301,"Nemurella picteti Klapálek, 1900",8,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
2007,CIOSPC,1,04-Jul-07,50110339,"Tipula (Savtshenkia) rufina Meigen, 1818",1,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
2007,CIOSPC,1,04-Jul-07,48341301,"Chaetopteryx villosa (Fabricius, 1798)",2,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
2007,CIOSPC,1,04-Jul-07,45810000,Curculionidae,1,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
2007,CIOSPC,1,04-Jul-07,50360324,"Simulium (Nevermannia) cryophilum (Rubtsov,",29,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
2007,CIOSPC,1,04-Jul-07,50140500,Dicranota sp.,10,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
2007,CIOSPC,1,04-Jul-07,43220100,Velia sp.,14,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
2007,CIOSPC,1,04-Jul-07,41120403,"Nemoura cinerea (Retzius, 1783)",1,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
2007,CIOSPC,1,04-Jul-07,42250000,Libellulidae,1,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
2007,CIOSPC,1,04-Jul-07,5110201,"Polycelis felina (Dalyell, 1814)",266,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
2007,CIOSPC,1,04-Jul-07,48240403,"Plectrocnemia geniculata McLachlan, 1871",2,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
2007,CIOSPC,1,04-Jul-07,45351300,Anacaena sp.,1,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
2007,CIOSPC,1,04-Jul-07,50132520,Neolimnomyia (Neolimnomyia) sp.,1,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
2007,CIOSPC,1,04-Jul-07,48240400,Plectrocnemia sp.,8,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
2007,CIOSPC,1,04-Jul-07,41130103,"Leuctra hippopus Kempny, 1899",2,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
2007,CIOSPC,1,04-Jul-07,48240402,"Plectrocnemia conspersa (Curtis, 1834)",10,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
2007,CIOSPC,1,04-Jul-07,50400000,Chironomidae,429,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
2007,CIOSPC,1,04-Jul-07,41130100,Leuctra sp.,4,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
2007,CIOSPC,1,04-Jul-07,43220111,"Velia (Plesiovelia) caprai Tamanini, 1947",18,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
2007,CIOSPC,1,04-Jul-07,24000000,Hydracarina,2,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
2007,CIOSPC,1,04-Jul-07,20000000,Oligochaeta,49,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
2007,YDSEWL,1,07-Aug-07,501Z0000,"Tipulidae (including Limoniidae, Cylindroto",1,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
2007,YDSEWL,1,07-Aug-07,20000000,Oligochaeta,358,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
2007,YDSEWL,1,07-Aug-07,40120107,"Baetis rhodani (Pictet, 1843-1845)",56,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
2007,YDSEWL,1,07-Aug-07,50210000,Psychodidae,1,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
2007,YDSEWL,1,07-Aug-07,17130200,Pisidium sp.,3,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
2007,YDSEWL,1,07-Aug-07,50400000,Chironomidae,250,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
2007,YDSEWL,1,07-Aug-07,22120401,"Glossiphonia complanata (Linnaeus, 1758)",1,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
2007,YDSEWL,1,07-Aug-07,5036038Z,Simulium (Simulium) ornatum group,45,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
2007,YDSEWL,1,07-Aug-07,40410201,"Serratella ignita (Poda, 1761)",1,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
2007,YDSEWL,1,07-Aug-07,43220111,"Velia (Plesiovelia) caprai Tamanini, 1947",1,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
2007,YDSEWL,1,07-Aug-07,50210Z00,Pericoma group,2,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
2007,YDSEWL,1,07-Aug-07,5110201,"Polycelis felina (Dalyell, 1814)",8,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
2007,YDSEWL,1,07-Aug-07,45142Z00,Agabus group,12,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
2007,YDSEWL,1,07-Aug-07,45351100,Hydrobius sp.,1,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
2007,YDSEWL,1,07-Aug-07,50820000,Sciomyzidae,1,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
2007,YDSEWL,1,07-Aug-07,16231101,"Ancylus fluviatilis O.F. Müller, 1774",3,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
2007,YDSEWL,1,07-Aug-07,45352100,Chaetarthria sp.,1,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
2007,YDSEWL,1,07-Aug-07,41120301,"Nemurella picteti Klapálek, 1900",1,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
2007,YDSEWL,1,07-Aug-07,5071X000,Clinocerinae,12,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
2007,YDSEWL,1,07-Aug-07,43220100,Velia sp.,3,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
2007,YDSEWL,1,07-Aug-07,16140301,"Potamopyrgus antipodarum (J.E.Gray, 1843)",85,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
