YEAR,SQUARE  ,SITE_ID,SAMPLE_DATE,WATER_WIDTH,DEPTH1,DEPTH2,DEPTH3,SURF_VEL_CAT,SAMPLING_TIME,METHOD,ROCK_PAVEMT,BOULDER_COBBLE,PEBBLE_GRAVEL,SAND,SILT_CLAY,LC07,LC07_NUM,EZ_DESC_07,COUNTRY,COUNTY07
2007,CIOSPC,1,04-Jul-07,1.15,5,10,3,1,4,1,0,5,95,0,0,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
2007,YDSEWL,1,07-Aug-07,1.75,3,4,3,3,4,1,0,10,20,30,40,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
2007,EYAJMO,1,04-Oct-07,0.75,2,2,5,1,,1,0,5,80,10,5,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
2007,PVFUKI,1,24-Sep-07,4,1,2,1,3,,1,1,45,45,5,5,6e,6,Westerly lowlands (England),ENG,Plymouth Unitary Authority
2007,YDGWZL,1,27-Sep-07,0.7,7,15,15,2,,1,0,0,50,30,20,6e,6,Westerly lowlands (England),ENG,Devon
2007,NPPRGB,1,01-Aug-07,,2.5,10,13,3,4,1,0,10,40,50,0,6e,6,Westerly lowlands (England),ENG,Devon
2007,USETNA,1,08-Oct-07,0.5,5,10,7,2,,1,0,60,20,20,0,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
2007,ZNFZXA,1,21-Aug-07,0.75,20,25,20,1,,1,0,20,75,5,0,17e,16,Uplands (England),ENG,Devon
2007,KMOUQH,1,27-Jul-07,1.75,3,4,2,1,4,1,0,0,0,0,100,8e,8,Westerly lowlands (England),ENG,Devon
2007,MZKVCB,1,03-Sep-07,0.45,3,5,4,2,,1,0,5,65,25,5,7e,7,Westerly lowlands (England),ENG,Isle of Wight Unitary Authority
2007,ZWKRMA,1,12-Jul-07,0.5,5,10,7,1,4,1,0,30,65,5,0,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
2007,UHWAME,1,16-May-07,1.2,10,10,12,3,4,1,0,5,90,0,5,1e,1,Westerly lowlands (England),ENG,Devon
2007,WFCADS,1,12-Jun-07,3.5,7,7,8,3,,1,0,15,70,10,5,1e,1,Westerly lowlands (England),ENG,Dorset
2007,ABOBUL,1,10-May-07,4.7,15,30,15,4,,1,4,0,94,6,0,1e,1,Westerly lowlands (England),ENG,Dorset
