YEAR,SQUARE,SITE_ID,SAMPLE_DATE,SPECIES_CODE,NAME,LC07,LC07_NUM,EZ_DESC_07,COUNTRY,COUNTY07
1990,CIOSPC,1,13-Sep-90,48341301,"Chaetopteryx villosa (Fabricius, 1798)",6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
1990,CIOSPC,1,13-Sep-90,20000000,Oligochaeta,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
1990,CIOSPC,1,13-Sep-90,49110000,Pyralidae,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
1990,CIOSPC,1,13-Sep-90,48240403,"Plectrocnemia geniculata McLachlan, 1871",6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
1990,CIOSPC,1,13-Sep-90,50400000,Chironomidae,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
1990,CIOSPC,1,13-Sep-90,50140500,Dicranota sp.,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
1990,CIOSPC,1,13-Sep-90,48130400,Oxyethira sp.,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
1990,CIOSPC,1,13-Sep-90,41120301,"Nemurella picteti Klapálek, 1900",6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
1990,CIOSPC,1,13-Sep-90,5036032Z,Simulium (Nevermannia) cryophilum group,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
1990,CIOSPC,1,13-Sep-90,48240402,"Plectrocnemia conspersa (Curtis, 1834)",6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
1990,CIOSPC,1,13-Sep-90,17130200,Pisidium sp.,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
1990,YDSEWL,1,17-Sep-90,17130000,Sphaeriidae,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
1990,YDSEWL,1,17-Sep-90,45110311,"Haliplus lineatocollis (Marsham, 1802)",6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
1990,YDSEWL,1,17-Sep-90,20000000,Oligochaeta,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
1990,YDSEWL,1,17-Sep-90,16140301,"Potamopyrgus antipodarum (J.E.Gray, 1843)",6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
1990,YDSEWL,1,17-Sep-90,50350000,Ceratopogonidae,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
1990,YDSEWL,1,17-Sep-90,45142100,Ilybius sp.,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
1990,YDSEWL,1,17-Sep-90,41120301,"Nemurella picteti Klapálek, 1900",6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
1990,YDSEWL,1,17-Sep-90,50330100,Anopheles sp.,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
1990,YDSEWL,1,17-Sep-90,36110202,"Proasellus meridianus (Racovitza, 1919)",6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
1990,YDSEWL,1,17-Sep-90,45142016,"Agabus paludosus (Fabricius, 1801)",6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
1990,YDSEWL,1,17-Sep-90,40120111,"Baetis vernus Curtis, 1834",6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
1990,YDSEWL,1,17-Sep-90,40120107,"Baetis rhodani (Pictet, 1843-1845)",6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
1990,YDSEWL,1,17-Sep-90,5036034Z,Simulium (Eusimulium) aureum group,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
