YEAR,SQUARE,SITE_ID,SAMPLE_DATE,WATER_WIDTH,DEPTH1,DEPTH2,DEPTH3,SURF_VEL_CAT,CLARITY,SAMPLING_TIME,METHOD,ROCK_PAVEMT,BOULDER_COBBLE,PEBBLE_GRAVEL,SAND,SILT_CLAY,DOM_PART_SIZE,MACROPHYTE_COVER,LC07,LC07_NUM,EZ_DESC_07,COUNTRY,COUNTY07
1990,CIOSPC,1,13-Sep-90,1,25,25,25,2,1,3,1,0,0,80,20,0,-2,50,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
1990,YDSEWL,1,17-Sep-90,0.4,8,5,5,1,1,3,1,0,40,0,20,40,-6.5,80,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
1990,EYAJMO,1,09-Sep-90,0.6,3,2,1,2,1,3,1,0,10,0,60,30,2,0,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
1990,PVFUKI,1,20-Aug-90,1,2,2,1,1,1,2,1,0,70,20,5,5,-6.5,0,6e,6,Westerly lowlands (England),ENG,Plymouth Unitary Authority
1990,YDGWZL,1,05-Oct-90,0.8,4,7,4,2,1,3,1,0,0,80,0,20,-2,0,6e,6,Westerly lowlands (England),ENG,Devon
1990,NPPRGB,1,13-Oct-90,0.7,5,5,5,1,1,3,1,0,0,50,45,5,2,0,6e,6,Westerly lowlands (England),ENG,Devon
1990,UAFKOG,1,08-Sep-90,3,50,35,25,1,1,3,1,0,0,0,0,100,8,5,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
1990,USETNA,1,07-Sep-90,0.8,5,6,5,2,1,3,1,0,0,60,20,20,-4.5,15,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
1990,ZNFZXA,1,21-Sep-90,0.6,16,16,16,3,1,3,1,0,40,60,0,0,-2,30,17e,16,Uplands (England),ENG,Devon
1990,KMOUQH,1,12-Sep-90,2.4,38,35,18,1,1,3,1,0,0,0,0,100,8,0,8e,8,Westerly lowlands (England),ENG,Devon
1990,MZKVCB,1,31-Aug-90,0.4,1,3,2,1,1,3,1,0,0,70,30,0,-2,20,7e,7,Westerly lowlands (England),ENG,Isle of Wight Unitary Authority
1990,ZWKRMA,1,13-Sep-90,0.6,1,2,2,2,1,3,1,0,0,60,10,30,-4.5,0,6e,6,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
1990,UHWAME,1,19-Oct-90,0.7,2,5,2,1,1,3,1,0,10,20,0,70,6.5,0,1e,1,Westerly lowlands (England),ENG,Devon
1990,WFCADS,1,19-Jun-90,2.5,15,30,15,2,1,3,1,0,80,5,5,10,-9,60,1e,1,Westerly lowlands (England),ENG,Dorset
1990,ABOBUL,1,06-Jun-90,3.5,30,40,40,3,1,3,1,0,5,70,20,5,-3.25,20,1e,1,Westerly lowlands (England),ENG,Dorset
1990,ZMRGTC,1,22-Oct-90,0.8,17,16,9,1,1,3,1,0,0,0,0,100,6.5,0,1e,1,Westerly lowlands (England),ENG,Hampshire
1990,EMXYKT,1,10-Oct-90,0.8,17,18,24,3,1,3,1,0,0,15,5,80,8,0,6e,6,Westerly lowlands (England),ENG,Devon
1990,FMAYXW,1,27-Sep-90,0.7,8,4,7,2,1,3,1,0,85,10,0,5,-6.5,0,5e,5,Westerly lowlands (England),ENG,Devon
1990,MJNWTN,1,10-Oct-90,0.6,5,6,5,1,1,3,1,0,0,0,0,100,8,0,6e,6,Westerly lowlands (England),ENG,Devon
1990,YTTNGG,1,11-Nov-90,1.2,15,11,5,2,1,3,1,0,80,20,0,0,-6.5,0,6e,6,Westerly lowlands (England),ENG,Devon
1990,HNKUSP,1,04-Nov-90,0.7,10,10,10,2,1,3,1,0,10,50,25,15,-2,0,1e,1,Westerly lowlands (England),ENG,Somerset
1990,SNIVSZ,1,27-Jul-90,0.9,20,25,25,1,1,3,1,0,0,50,0,50,-4.5,85,2e,2,Easterly lowlands (England),ENG,Hampshire
1990,ZLAHSC,1,12-Jul-90,1.3,40,40,40,1,1,3,1,0,0,0,10,90,9.5,0,2e,2,Easterly lowlands (England),ENG,West Sussex
1990,JRQNKY,1,05-Nov-90,1.2,25,30,25,1,1,3,1,0,0,0,0,100,9.5,100,4e,4,Easterly lowlands (England),ENG,East Sussex
1990,BSARIT,1,25-Sep-90,0.6,3,5,2,1,1,3,1,0,0,50,5,45,6.5,0,6e,6,Westerly lowlands (England),ENG,Devon
1990,MTFPSJ,1,08-Oct-90,2,25,30,35,3,1,3,1,0,40,40,20,0,-6.5,0,6e,6,Westerly lowlands (England),ENG,Devon
1990,TWDIGY,1,07-Oct-90,0.6,3,8,5,3,1,3,1,0,50,35,10,5,-6.5,0,6e,6,Westerly lowlands (England),ENG,Somerset
1990,HKPNTT,1,25-Aug-90,1.4,6,7,5,2,1,3,1,0,0,5,75,20,2,0,1e,1,Westerly lowlands (England),ENG,Somerset
1990,XWEWWK,1,12-Jun-90,1.5,8,10,4,1,1,3,1,0,0,0,20,80,8,40,1e,1,Westerly lowlands (England),ENG,Wiltshire
1990,GCJEBY,1,20-Jun-90,1.6,10,5,10,2,1,3,1,0,0,0,0,100,9.5,0,2e,2,Easterly lowlands (England),ENG,Hampshire
1990,BQBGBD,1,31-Jul-90,1.2,14,15,10,2,1,3,1,0,0,5,10,85,9.5,0,3e,3,Easterly lowlands (England),ENG,West Sussex
1990,DKPKMO,1,25-Jul-90,3.3,50,80,70,1,1,3,1,0,0,0,0,100,9.5,95,3e,3,Easterly lowlands (England),ENG,Kent
1990,OFVZDJ,1,24-Sep-90,1.3,10,10,15,3,1,3,1,0,10,50,30,10,0,0,17e,16,Uplands (England),ENG,Devon
1990,TAZMMI,1,20-Aug-90,2.4,7,10,10,2,1,3,1,0,80,15,0,5,-6.5,5,6e,6,Westerly lowlands (England),ENG,Somerset
1990,HRZNYI,1,25-Oct-90,2,80,100,80,1,1,3,1,0,0,0,0,100,9.5,0,8e,8,Westerly lowlands (England),ENG,Somerset
1990,SJEJAB,1,26-Sep-90,2.5,60,70,60,1,1,3,1,0,0,0,0,100,9.5,60,4e,4,Easterly lowlands (England),ENG,Somerset
1990,NOFKFH,1,23-Sep-90,2,80,70,40,1,1,3,1,0,0,60,0,40,-2,0,1e,1,Westerly lowlands (England),ENG,Somerset
1990,HYYEET,1,17-Jul-90,1.5,25,12,8,2,1,3,1,0,0,40,10,50,6.5,0,3e,3,Easterly lowlands (England),ENG,Surrey
1990,MJSKRM,1,03-Jul-90,0.3,3,10,3,1,1,3,1,0,0,0,0,100,9.5,100,3e,3,Easterly lowlands (England),ENG,Kent
1990,JRZVUS,1,01-Jul-90,3.8,55,60,62,1,1,3,1,0,0,0,0,100,9.5,0,3e,3,Easterly lowlands (England),ENG,Kent
1990,MZHCNF,1,20-Oct-90,1,11,15,10,1,1,3,1,0,0,0,5,95,8,90,5e,5,Westerly lowlands (England),ENG,Wiltshire
1990,UAYXVX,1,05-Aug-90,0.5,1,2,1,1,1,3,1,0,0,70,0,30,-4.5,0,1e,1,Westerly lowlands (England),ENG,Hampshire
1990,ZUJTKP,1,08-Aug-90,6,80,60,50,1,1,3,1,0,0,70,20,10,-4.5,80,2e,2,Easterly lowlands (England),ENG,Hampshire
1990,LYVCID,1,06-Sep-90,4,70,150,70,1,1,3,1,0,0,0,0,100,8,0,7w,43,Lowlands (Wales),WAL,South Glamorgan
1990,DEJBBK,1,15-Oct-90,0.8,12,17,13,1,1,3,1,0,0,0,0,100,6.5,100,1e,1,Westerly lowlands (England),ENG,South Gloucestershire Unitary Authority
1990,BZJANF,1,07-Nov-90,1.8,3,7,6,1,1,3,1,0,15,5,5,75,6.5,50,2e,2,Easterly lowlands (England),ENG,Wiltshire
1990,OXVLRI,1,26-Jun-90,0.8,5,7,4,1,1,3,1,0,0,38,44,18,2,0,8e,8,Westerly lowlands (England),ENG,Kent
1990,KLOORS,1,17-Oct-90,1.5,20,25,20,3,1,3,1,0,60,30,5,5,-6.5,0,6w,42,Lowlands (Wales),WAL,West Glamorgan
1990,UIZSGP,1,18-Oct-90,2.5,10,20,10,2,1,3,1,0,15,75,5,5,-4.5,0,6w,42,Lowlands (Wales),WAL,Mid Glamorgan
1990,UEDLDK,1,22-Oct-90,1,10,25,15,1,1,3,1,0,70,25,5,0,-7.75,0,17w3,19,Uplands (Wales),WAL,Mid Glamorgan
1990,YTAUII,1,10-Oct-90,1,13,19,14,2,1,3,1,0,0,65,10,25,-2,0,5w,41,Lowlands (Wales),WAL,Gwent
1990,SIATHT,1,11-Oct-90,0.8,3,3,4,1,1,3,1,0,25,5,5,65,9.5,0,1e,1,Westerly lowlands (England),ENG,South Gloucestershire Unitary Authority
1990,RSDMVR,1,19-Oct-90,6,75,100,75,1,1,3,1,0,0,0,0,100,6.5,70,2e,2,Easterly lowlands (England),ENG,Wiltshire
1990,RAGOWO,1,31-Aug-90,0.6,2,3,2,2,1,3,1,0,0,70,0,30,-2,0,1e,1,Westerly lowlands (England),ENG,Oxfordshire
1990,WCDRAN,1,10-Aug-90,0.8,35,40,35,1,1,3,1,0,0,0,0,100,6.5,45,6w,42,Lowlands (Wales),WAL,Dyfed
1990,EARTZW,1,22-Aug-90,5,10,15,20,3,1,3,1,0,50,40,5,5,-6.5,0,5w,41,Lowlands (Wales),WAL,West Glamorgan
1990,NRKWUV,1,15-Sep-90,2,10,15,8,1,1,3,1,0,80,5,5,10,-7.75,75,17w2,18,Uplands (Wales),WAL,Mid Glamorgan
1990,ZUFRRX,1,18-Sep-90,3,15,10,8,1,1,3,1,0,10,40,5,45,6.5,0,5w,41,Lowlands (Wales),WAL,Gwent
1990,BXXDRJ,1,07-Aug-90,0.5,2,3,3,2,1,3,1,0,0,0,0,100,6.5,0,1e,1,Westerly lowlands (England),ENG,Oxfordshire
1990,CLLBKV,1,12-Sep-90,1,10,20,20,1,1,3,1,0,10,40,2,48,6.5,0,15w,44,Lowlands (Wales),WAL,Dyfed
1990,UGXHSQ,1,23-Aug-90,3,30,35,30,2,1,3,1,0,90,9,1,0,-7.75,0,17w2,18,Uplands (Wales),WAL,Powys
1990,RRUXQW,1,17-Oct-90,1.3,8,10,6,2,1,3,1,0,45,30,20,5,-5.5,1,17w2,18,Uplands (Wales),WAL,Gwent
1990,BGLCUJ,1,06-Sep-90,5,58,40,29,3,1,3,1,0,30,33,7,30,-6.5,5,11e,11,Easterly lowlands (England),ENG,Gloucestershire
1990,JUAXZV,1,16-Aug-90,1.7,29,30,22,1,1,3,1,0,0,0,0,100,8,100,1e,1,Westerly lowlands (England),ENG,Buckinghamshire
1990,OSSOAV,1,04-Sep-90,1.5,5,20,20,1,1,3,1,0,0,50,0,50,6.5,10,3e,3,Easterly lowlands (England),ENG,Essex
1990,TIFMNB,1,09-Aug-90,0.6,2,4,3,2,1,3,1,0,10,70,5,15,-3.25,60,7w,43,Lowlands (Wales),WAL,Dyfed
1990,MFKQWC,1,01-Aug-90,0.3,15,15,10,3,1,3,1,40,20,70,10,0,-2,0,17w3,19,Uplands (Wales),WAL,Dyfed
1990,JVNJJN,1,11-Jul-90,1.8,15,20,15,3,1,3,1,10,50,40,5,5,-5.5,0,18w,45,Uplands (Wales),WAL,Dyfed
1990,SOXGJY,1,19-Oct-90,2,5,2,6,3,1,3,1,0,40,40,15,5,-5.5,1,17e,16,Uplands (England),ENG,County of Herefordshire Unitary Authority
1990,LVPROI,1,27-Sep-90,0.8,10,12,7,3,1,3,1,0,0,5,10,85,8,35,1e,1,Westerly lowlands (England),ENG,County of Herefordshire Unitary Authority
1990,GWTTBV,1,11-Aug-90,2.8,5,5,5,2,1,3,1,0,45,45,5,5,-5.5,0,6w,42,Lowlands (Wales),WAL,Dyfed
1990,BUITKA,1,15-Aug-90,1,8,12,8,2,1,3,1,0,60,10,5,25,-7.75,0,15w,44,Lowlands (Wales),WAL,Dyfed
1990,NDGZWZ,1,18-Aug-90,0.8,3,4,3,2,1,3,1,0,30,65,2,3,-5.5,0,17w2,18,Uplands (Wales),WAL,Powys
1990,TSVOCK,1,18-Sep-90,0.8,8,5,8,1,1,3,1,0,0,10,10,80,8,0,9e,9,Easterly lowlands (England),ENG,County of Herefordshire Unitary Authority
1990,VFFKQD,1,23-Aug-90,3,2,2,2,1,1,3,1,0,0,0,0,100,8,10,9e,9,Easterly lowlands (England),ENG,Oxfordshire
1990,ELMOEX,1,06-Jul-90,6,30,50,40,1,1,3,1,0,10,5,30,55,4.25,5,11e,11,Easterly lowlands (England),ENG,Bedfordshire
1990,MGCMFH,1,12-Sep-90,4,30,50,30,1,1,3,1,0,0,0,10,90,9.5,70,3e,3,Easterly lowlands (England),ENG,Suffolk
1990,RBTFVD,1,04-Oct-90,2.5,45,30,35,3,1,3,1,80,15,80,2,3,-3.25,50,17w2,18,Uplands (Wales),WAL,Powys
1990,VFCIBD,1,11-Sep-90,1,6,10,8,1,1,3,1,0,10,50,20,20,-2,0,1e,1,Westerly lowlands (England),ENG,County of Herefordshire Unitary Authority
1990,CHQQXO,1,03-Aug-90,1.2,10,10,7,1,1,3,1,0,5,15,70,10,2,5,1e,1,Westerly lowlands (England),ENG,Worcestershire
1990,ZBTLJG,1,05-Sep-90,0.2,5,10,5,2,1,3,1,0,0,80,0,20,-3.25,0,1e,1,Westerly lowlands (England),ENG,Warwickshire
1990,WGFZAS,1,13-Jun-90,1.3,10,12,10,1,1,3,1,0,0,10,0,90,8,5,12e,12,Easterly lowlands (England),ENG,Cambridgeshire
1990,AXIHWL,1,25-Jun-90,6,90,150,90,1,1,3,1,0,0,0,0,100,8,15,3e,3,Easterly lowlands (England),ENG,Cambridgeshire
1990,WHKFUF,1,28-Sep-90,2.4,10,10,15,3,1,3,1,15,20,70,5,5,-4.5,0,15w,44,Lowlands (Wales),WAL,Dyfed
1990,QEYKPU,1,01-Nov-90,1,10,12,10,4,1,3,1,10,10,84,5,1,-4.5,0,17w2,18,Uplands (Wales),WAL,Powys
1990,FLWHQO,1,12-Sep-90,0.8,4,12,9,3,1,3,1,0,15,20,5,60,6.5,0,17e,16,Uplands (England),ENG,Shropshire
1990,YBDBIN,1,02-Oct-90,2.8,8,10,12,4,1,3,1,0,5,60,5,30,-4.5,0,1e,1,Westerly lowlands (England),ENG,Worcestershire
1990,HMPTVZ,1,30-Aug-90,2,15,25,20,4,1,3,1,0,0,2,3,95,6.5,0,3e,3,Easterly lowlands (England),ENG,Cambridgeshire
1990,TGNTVD,1,01-Sep-90,1.5,30,37,45,1,1,3,1,0,0,0,0,100,8,90,15w,44,Lowlands (Wales),WAL,Powys
1990,MDFNRP,1,05-Sep-90,1.2,5,10,5,2,1,3,1,0,60,30,5,5,-5.5,0,17e,16,Uplands (England),ENG,Shropshire
1990,XZZAGX,1,04-Oct-90,11,46,30,28,3,1,3,1,0,1,80,12,7,-4.5,3,9e,9,Easterly lowlands (England),ENG,West Midlands
1990,IUKPTW,1,20-Jun-90,1.8,27,25,25,1,1,3,1,0,0,0,0,100,8,100,12e,12,Easterly lowlands (England),ENG,Northamptonshire
