YEAR,SQUARE,SITE_ID,SAMPLE_DATE,SPECIES_CODE,NAME,LC07,LC07_NUM,EZ_DESC_07,COUNTRY,COUNTY07
1998,BCMHCA,1,13-Aug-98,48360102,"Beraea pullata (Curtis, 1834)",7e,7,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
1998,BCMHCA,1,13-Aug-98,50140500,Dicranota sp.,7e,7,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
1998,BCMHCA,1,13-Aug-98,50132100,Eloeophila sp.,7e,7,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
1998,BCMHCA,1,13-Aug-98,5110201,"Polycelis felina (Dalyell, 1814)",7e,7,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
1998,BCMHCA,1,13-Aug-98,17130200,Pisidium sp.,7e,7,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
1998,BCMHCA,1,13-Aug-98,16230211,"Anisus (Anisus) leucostoma (Millet, 1813)",7e,7,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
1998,BCMHCA,1,13-Aug-98,5110401,"Crenobia alpina (Dana, 1766)",7e,7,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
1998,BCMHCA,1,13-Aug-98,41130101,"Leuctra fusca (Linnaeus, 1758)",7e,7,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
1998,BCMHCA,1,13-Aug-98,50220100,Ptychoptera sp.,7e,7,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
1998,BCMHCA,1,13-Aug-98,48250301,"Diplectrona felix McLachlan, 1878",7e,7,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
1998,BCMHCA,1,13-Aug-98,5071YW00,Chelifera group,7e,7,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
1998,BCMHCA,1,13-Aug-98,36110202,"Proasellus meridianus (Racovitza, 1919)",7e,7,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
1998,BCMHCA,1,13-Aug-98,20000000,Oligochaeta,7e,7,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
1998,BCMHCA,1,13-Aug-98,50210Z00,Pericoma group,7e,7,Westerly lowlands (England),ENG,Cornwall and Isles of Scilly
