YEAR,SQUARE,SITE_ID,SAMPLE_DATE,WATER_WIDTH,DEPTH1,DEPTH2,DEPTH3,SURF_VEL_CAT,ROCK_PAVEMT,BOULDER_COBBLE,PEBBLE_GRAVEL,SAND,SILT_CLAY,DOM_PART_SIZE,MACROPHYTE_COVER,LC07,EZ_DESC_07,LC07_NUM,COUNTRY,COUNTY07
1998,BCMHCA,1,13-Aug-98,0.6,5,10,5,1,0,0,10,10,80,8,95,7e,Westerly lowlands (England),7,ENG,Cornwall and Isles of Scilly
1998,CIOSPC,1,13-Aug-98,0.3,10,15,20,2,0,95,5,0,0,-9,0,6e,Westerly lowlands (England),6,ENG,Cornwall and Isles of Scilly
1998,YDSEWL,1,20-Oct-98,0.6,10,15,12,3,0,10,65,20,5,-3.25,40,6e,Westerly lowlands (England),6,ENG,Cornwall and Isles of Scilly
1998,EYAJMO,1,20-Oct-98,0.8,5,5,7,4,0,20,70,8,2,-3.25,0,6e,Westerly lowlands (England),6,ENG,Cornwall and Isles of Scilly
1998,PVFUKI,1,22-Oct-98,0.65,2,5,5,4,0,35,60,5,0,-3.25,0,6e,Westerly lowlands (England),6,ENG,Plymouth Unitary Authority
1998,YDGWZL,1,22-Oct-98,0.7,7,8,5,3,0,5,55,30,10,-3.25,0,6e,Westerly lowlands (England),6,ENG,Devon
1998,NPPRGB,1,09-Sep-98,1.3,6,15,19,3,0,10,60,30,0,-3.25,5,6e,Westerly lowlands (England),6,ENG,Devon
1998,UAFKOG,1,21-Oct-98,0.7,5,8,10,4,0,0,10,30,60,8,80,6e,Westerly lowlands (England),6,ENG,Cornwall and Isles of Scilly
1998,USETNA,1,21-Oct-98,0.9,12,12,12,4,0,60,38,2,0,-7.75,10,6e,Westerly lowlands (England),6,ENG,Cornwall and Isles of Scilly
1998,ZNFZXA,1,23-Oct-98,1.1,60,50,55,4,0,40,60,0,0,-3.25,0,17e,Uplands (England),16,ENG,Devon
1998,KMOUQH,1,08-Sep-98,1.5,1,1,2,1,0,0,0,0,100,6.5,0,8e,Westerly lowlands (England),8,ENG,Devon
1998,MZKVCB,1,04-Sep-98,0.25,2,4,3,1,0,0,65,10,25,-2,15,7e,Westerly lowlands (England),7,ENG,Isle of Wight Unitary Authority
1998,ZWKRMA,1,27-Oct-98,1.48,10,8,6,3,0,70,30,0,0,-6.5,0,6e,Westerly lowlands (England),6,ENG,Cornwall and Isles of Scilly
1998,UHWAME,1,23-Jun-98,1.1,1,4,7,1,3,42,52,6,0,-3.25,1,1e,Westerly lowlands (England),1,ENG,Devon
1998,WFCADS,1,08-Jun-98,4.6,8,3,10,4,0,10,75,15,0,-3.25,0,1e,Westerly lowlands (England),1,ENG,Dorset
1998,ABOBUL,1,08-Jun-98,5.25,10,15,8,2,0,0,90,5,5,-3.25,10,1e,Westerly lowlands (England),1,ENG,Dorset
1998,ZMRGTC,1,17-Jun-98,0.65,7,6,5,1,0,0,0,10,90,8,5,1e,Westerly lowlands (England),1,ENG,Hampshire
1998,EMXYKT,1,27-Oct-98,1,21,19,15,3,0,8,12,60,20,-4.5,0,6e,Westerly lowlands (England),6,ENG,Devon
1998,FMAYXW,1,11-Nov-98,2.3,20,25,20,5,0,69,29,2,0,-7.75,0,5e,Westerly lowlands (England),5,ENG,Devon
1998,MJNWTN,1,06-Jul-98,0.45,3,5,2,3,0,0,0,100,0,2,0,6e,Westerly lowlands (England),6,ENG,Devon
1998,YTTNGG,1,25-Jun-98,1.03,5,10,5,3,0,40,60,0,0,-3.25,0,6e,Westerly lowlands (England),6,ENG,Devon
