SQUARE,YEAR,SITE_ID,SURVEY_DATE,PLANT_NAME,PROPORTION,LC07,LC07_NUM,EZ_DESC_07,COUNTY07,COUNTRY
CIOSPC,CS2007,1,04-Jul-07,Juncus bulbosus,<0.1%,6e,6,Westerly lowlands (England),Cornwall and Isles of Scilly,ENG
CIOSPC,CS2007,1,04-Jul-07,Scapania undulata,5-10%,6e,6,Westerly lowlands (England),Cornwall and Isles of Scilly,ENG
YDSEWL,CS2007,1,07-Aug-07,Agrostis stolonifera,2.5-5%,6e,6,Westerly lowlands (England),Cornwall and Isles of Scilly,ENG
YDSEWL,CS2007,1,07-Aug-07,Apium nodiflorum,5-10%,6e,6,Westerly lowlands (England),Cornwall and Isles of Scilly,ENG
YDSEWL,CS2007,1,07-Aug-07,Callitriche sp,0.1-1%,6e,6,Westerly lowlands (England),Cornwall and Isles of Scilly,ENG
YDSEWL,CS2007,1,07-Aug-07,Glyceria fluitans,2.5-5%,6e,6,Westerly lowlands (England),Cornwall and Isles of Scilly,ENG
YDSEWL,CS2007,1,07-Aug-07,Rorippa nasturtium-aquaticum,2.5-5%,6e,6,Westerly lowlands (England),Cornwall and Isles of Scilly,ENG
YDSEWL,CS2007,1,07-Aug-07,Veronica beccabunga,2.5-5%,6e,6,Westerly lowlands (England),Cornwall and Isles of Scilly,ENG
EYAJMO,CS2007,1,04-Oct-07,Apium nodiflorum,1-2.5%,6e,6,Westerly lowlands (England),Cornwall and Isles of Scilly,ENG
EYAJMO,CS2007,1,04-Oct-07,Glyceria fluitans,1-2.5%,6e,6,Westerly lowlands (England),Cornwall and Isles of Scilly,ENG
EYAJMO,CS2007,1,04-Oct-07,Oenanthe crocata,1-2.5%,6e,6,Westerly lowlands (England),Cornwall and Isles of Scilly,ENG
EYAJMO,CS2007,1,04-Oct-07,Veronica beccabunga,1-2.5%,6e,6,Westerly lowlands (England),Cornwall and Isles of Scilly,ENG
PVFUKI,CS2007,1,24-Sep-07,No species entered,<0.1%,6e,6,Westerly lowlands (England),Plymouth Unitary Authority,ENG
YDGWZL,CS2007,1,27-Sep-07,Agrostis stolonifera,0.1-1%,6e,6,Westerly lowlands (England),Devon,ENG
YDGWZL,CS2007,1,27-Sep-07,Apium nodiflorum,0.1-1%,6e,6,Westerly lowlands (England),Devon,ENG
YDGWZL,CS2007,1,27-Sep-07,Glyceria fluitans,0.1-1%,6e,6,Westerly lowlands (England),Devon,ENG
YDGWZL,CS2007,1,27-Sep-07,Oenanthe crocata,0.1-1%,6e,6,Westerly lowlands (England),Devon,ENG
NPPRGB,CS2007,1,01-Aug-07,Oenanthe crocata,0.1-1%,6e,6,Westerly lowlands (England),Devon,ENG
USETNA,CS2007,1,08-Oct-07,Agrostis stolonifera,1-2.5%,6e,6,Westerly lowlands (England),Cornwall and Isles of Scilly,ENG
USETNA,CS2007,1,08-Oct-07,Apium nodiflorum,1-2.5%,6e,6,Westerly lowlands (England),Cornwall and Isles of Scilly,ENG
USETNA,CS2007,1,08-Oct-07,Chiloscyphus polyanthos,2.5-5%,6e,6,Westerly lowlands (England),Cornwall and Isles of Scilly,ENG
USETNA,CS2007,1,08-Oct-07,Glyceria fluitans,1-2.5%,6e,6,Westerly lowlands (England),Cornwall and Isles of Scilly,ENG
USETNA,CS2007,1,08-Oct-07,Rorippa nasturtium-aquaticum,1-2.5%,6e,6,Westerly lowlands (England),Cornwall and Isles of Scilly,ENG
USETNA,CS2007,1,08-Oct-07,Veronica beccabunga,1-2.5%,6e,6,Westerly lowlands (England),Cornwall and Isles of Scilly,ENG
ZNFZXA,CS2007,1,21-Aug-07,Agrostis stolonifera,<0.1%,17e,16,Uplands (England),Devon,ENG
ZNFZXA,CS2007,1,21-Aug-07,Fontinalis antipyretica,10-25%,17e,16,Uplands (England),Devon,ENG
ZNFZXA,CS2007,1,21-Aug-07,Glyceria fluitans,<0.1%,17e,16,Uplands (England),Devon,ENG
ZNFZXA,CS2007,1,21-Aug-07,Myosotis scorpioides,<0.1%,17e,16,Uplands (England),Devon,ENG
ZNFZXA,CS2007,1,21-Aug-07,Potamogeton polygonifolius,2.5-5%,17e,16,Uplands (England),Devon,ENG
ZNFZXA,CS2007,1,21-Aug-07,Ranunculus flammula,1-2.5%,17e,16,Uplands (England),Devon,ENG
KMOUQH,CS2007,1,27-Jul-07,Agrostis stolonifera,0.1-1%,8e,8,Westerly lowlands (England),Devon,ENG
KMOUQH,CS2007,1,27-Jul-07,Oenanthe crocata,0.1-1%,8e,8,Westerly lowlands (England),Devon,ENG
KMOUQH,CS2007,1,27-Jul-07,Rorippa nasturtium-aquaticum,0.1-1%,8e,8,Westerly lowlands (England),Devon,ENG
MZKVCB,CS2007,1,03-Sep-07,Apium nodiflorum,<0.1%,7e,7,Westerly lowlands (England),Isle of Wight Unitary Authority,ENG
MZKVCB,CS2007,1,03-Sep-07,Pellia sp,<0.1%,7e,7,Westerly lowlands (England),Isle of Wight Unitary Authority,ENG
ZWKRMA,CS2007,1,10-Jul-07,No species entered,<0.1%,6e,6,Westerly lowlands (England),Cornwall and Isles of Scilly,ENG
UHWAME,CS2007,1,16-May-07,No species entered,<0.1%,1e,1,Westerly lowlands (England),Devon,ENG
WFCADS,CS2007,1,12-Jun-07,Amblystegium riparium,<0.1%,1e,1,Westerly lowlands (England),Dorset,ENG
WFCADS,CS2007,1,12-Jun-07,Apium nodiflorum,<0.1%,1e,1,Westerly lowlands (England),Dorset,ENG
WFCADS,CS2007,1,12-Jun-07,Cladophora (aggregate),0.1-1%,1e,1,Westerly lowlands (England),Dorset,ENG
WFCADS,CS2007,1,12-Jun-07,Conocephalum conicum,<0.1%,1e,1,Westerly lowlands (England),Dorset,ENG
WFCADS,CS2007,1,12-Jun-07,Hildenbrandia rivularis,<0.1%,1e,1,Westerly lowlands (England),Dorset,ENG
WFCADS,CS2007,1,12-Jun-07,Oenanthe crocata,<0.1%,1e,1,Westerly lowlands (England),Dorset,ENG
WFCADS,CS2007,1,12-Jun-07,Sparganium erectum,<0.1%,1e,1,Westerly lowlands (England),Dorset,ENG
ABOBUL,CS2007,1,10-May-07,Agrostis stolonifera,<0.1%,1e,1,Westerly lowlands (England),Dorset,ENG
ABOBUL,CS2007,1,10-May-07,Amblystegium riparium,<0.1%,1e,1,Westerly lowlands (England),Dorset,ENG
ABOBUL,CS2007,1,10-May-07,Apium nodiflorum,<0.1%,1e,1,Westerly lowlands (England),Dorset,ENG
ABOBUL,CS2007,1,10-May-07,Cladophora (aggregate),0.1-1%,1e,1,Westerly lowlands (England),Dorset,ENG
ABOBUL,CS2007,1,10-May-07,Iris pseudacorus,<0.1%,1e,1,Westerly lowlands (England),Dorset,ENG
ABOBUL,CS2007,1,10-May-07,Myosotis scorpioides,<0.1%,1e,1,Westerly lowlands (England),Dorset,ENG
ABOBUL,CS2007,1,10-May-07,Oenanthe crocata,<0.1%,1e,1,Westerly lowlands (England),Dorset,ENG
ABOBUL,CS2007,1,10-May-07,Phalaris arundinacea,<0.1%,1e,1,Westerly lowlands (England),Dorset,ENG
ABOBUL,CS2007,1,10-May-07,Ranunculus penicillatus pseudofluitans,2.5-5%,1e,1,Westerly lowlands (England),Dorset,ENG
ABOBUL,CS2007,1,10-May-07,Solanum dulcamara,<0.1%,1e,1,Westerly lowlands (England),Dorset,ENG
ABOBUL,CS2007,1,10-May-07,Sparganium erectum,0.1-1%,1e,1,Westerly lowlands (England),Dorset,ENG
ABOBUL,CS2007,1,10-May-07,Veronica beccabunga,<0.1%,1e,1,Westerly lowlands (England),Dorset,ENG
FMAYXW,CS2007,1,13-Aug-07,Rhynchostegium riparioides,0.1-1%,5e,5,Westerly lowlands (England),Devon,ENG
MJNWTN,CS2007,1,01-Jun-07,No species entered,<0.1%,6e,6,Westerly lowlands (England),Devon,ENG
HNKUSP,CS2007,1,06-Jun-07,Apium nodiflorum,<0.1%,1e,1,Westerly lowlands (England),Somerset,ENG
HNKUSP,CS2007,1,06-Jun-07,Callitriche sp,<0.1%,1e,1,Westerly lowlands (England),Somerset,ENG
HNKUSP,CS2007,1,06-Jun-07,Juncus bulbosus,<0.1%,1e,1,Westerly lowlands (England),Somerset,ENG
HNKUSP,CS2007,1,06-Jun-07,Myosotis scorpioides,<0.1%,1e,1,Westerly lowlands (England),Somerset,ENG
HNKUSP,CS2007,1,06-Jun-07,Ranunculus flammula,<0.1%,1e,1,Westerly lowlands (England),Somerset,ENG
HNKUSP,CS2007,1,06-Jun-07,Ranunculus hederaceus,<0.1%,1e,1,Westerly lowlands (England),Somerset,ENG
HNKUSP,CS2007,1,06-Jun-07,Solanum dulcamara,<0.1%,1e,1,Westerly lowlands (England),Somerset,ENG
LENLAE,CS2007,1,26-Sep-07,Agrostis stolonifera,<0.1%,4e,4,Easterly lowlands (England),Hampshire,ENG
LENLAE,CS2007,1,26-Sep-07,Alisma plantago-aquatica,<0.1%,4e,4,Easterly lowlands (England),Hampshire,ENG
LENLAE,CS2007,1,26-Sep-07,Potamogeton polygonifolius,0.1-1%,4e,4,Easterly lowlands (England),Hampshire,ENG
LENLAE,CS2007,1,26-Sep-07,Ranunculus flammula,0.1-1%,4e,4,Easterly lowlands (England),Hampshire,ENG
LENLAE,CS2007,1,26-Sep-07,Solanum dulcamara,<0.1%,4e,4,Easterly lowlands (England),Hampshire,ENG
LENLAE,CS2007,1,26-Sep-07,Sparganium erectum,0.1-1%,4e,4,Easterly lowlands (England),Hampshire,ENG
LENLAE,CS2007,1,26-Sep-07,Stachys palustris,<0.1%,4e,4,Easterly lowlands (England),Hampshire,ENG
SNIVSZ,CS2007,1,19-Jul-07,Agrostis stolonifera,<0.1%,2e,2,Easterly lowlands (England),Hampshire,ENG
SNIVSZ,CS2007,1,19-Jul-07,Apium nodiflorum,<0.1%,2e,2,Easterly lowlands (England),Hampshire,ENG
SNIVSZ,CS2007,1,19-Jul-07,Eurhynchium swartzii,5-10%,2e,2,Easterly lowlands (England),Hampshire,ENG
SNIVSZ,CS2007,1,19-Jul-07,Fissidens taxifolius,<0.1%,2e,2,Easterly lowlands (England),Hampshire,ENG
SNIVSZ,CS2007,1,19-Jul-07,Lunularia cruciata,0.1-1%,2e,2,Easterly lowlands (England),Hampshire,ENG
SNIVSZ,CS2007,1,19-Jul-07,Oenanthe crocata,25-50%,2e,2,Easterly lowlands (England),Hampshire,ENG
