SQUARE,YEAR,SITE_ID,SURVEY_DATE,PLANT_NAME,PROPORTION,LC07,LC07_NUM,EZ_DESC_07,COUNTY07,COUNTRY
BCMHCA,CS2000,1,13-Aug-98,Apium nodiflorum,>75%,7e,7,Westerly lowlands (England),Cornwall and Isles of Scilly,ENG
BCMHCA,CS2000,1,13-Aug-98,Iris pseudacorus,<0.1%,7e,7,Westerly lowlands (England),Cornwall and Isles of Scilly,ENG
BCMHCA,CS2000,1,13-Aug-98,Lejeunea cavifollia,<0.1%,7e,7,Westerly lowlands (England),Cornwall and Isles of Scilly,ENG
BCMHCA,CS2000,1,13-Aug-98,Pellia sp,<0.1%,7e,7,Westerly lowlands (England),Cornwall and Isles of Scilly,ENG
CIOSPC,CS2000,1,13-Aug-98,No species entered,0,6e,6,Westerly lowlands (England),Cornwall and Isles of Scilly,ENG
YDSEWL,CS2000,1,20-Oct-98,Agrostis stolonifera,1-2.5%,6e,6,Westerly lowlands (England),Cornwall and Isles of Scilly,ENG
YDSEWL,CS2000,1,20-Oct-98,Apium nodiflorum,1-2.5%,6e,6,Westerly lowlands (England),Cornwall and Isles of Scilly,ENG
YDSEWL,CS2000,1,20-Oct-98,Callitriche sp,1-2.5%,6e,6,Westerly lowlands (England),Cornwall and Isles of Scilly,ENG
YDSEWL,CS2000,1,20-Oct-98,Glyceria fluitans,0.1-1%,6e,6,Westerly lowlands (England),Cornwall and Isles of Scilly,ENG
YDSEWL,CS2000,1,20-Oct-98,Ranunculus sceleratus,0.1-1%,6e,6,Westerly lowlands (England),Cornwall and Isles of Scilly,ENG
YDSEWL,CS2000,1,20-Oct-98,Rhynchostegium riparioides,<0.1%,6e,6,Westerly lowlands (England),Cornwall and Isles of Scilly,ENG
YDSEWL,CS2000,1,20-Oct-98,Rorippa nasturtium-aquaticum,5-10%,6e,6,Westerly lowlands (England),Cornwall and Isles of Scilly,ENG
YDSEWL,CS2000,1,20-Oct-98,Spirogyra sp,<0.1%,6e,6,Westerly lowlands (England),Cornwall and Isles of Scilly,ENG
YDSEWL,CS2000,1,20-Oct-98,Veronica beccabunga,10-25%,6e,6,Westerly lowlands (England),Cornwall and Isles of Scilly,ENG
EYAJMO,CS2000,1,20-Oct-98,Lemna minor,<0.1%,6e,6,Westerly lowlands (England),Cornwall and Isles of Scilly,ENG
EYAJMO,CS2000,1,20-Oct-98,Oenanthe crocata,<0.1%,6e,6,Westerly lowlands (England),Cornwall and Isles of Scilly,ENG
EYAJMO,CS2000,1,20-Oct-98,Rorippa nasturtium-aquaticum,0.1-1%,6e,6,Westerly lowlands (England),Cornwall and Isles of Scilly,ENG
EYAJMO,CS2000,1,20-Oct-98,Veronica beccabunga,0.1-1%,6e,6,Westerly lowlands (England),Cornwall and Isles of Scilly,ENG
PVFUKI,CS2000,1,22-Oct-98,No species entered,0,6e,6,Westerly lowlands (England),Plymouth Unitary Authority,ENG
YDGWZL,CS2000,1,22-Sep-98,No species entered,0,6e,6,Westerly lowlands (England),Devon,ENG
NPPRGB,CS2000,1,09-Aug-98,Apium nodiflorum,<0.1%,6e,6,Westerly lowlands (England),Devon,ENG
NPPRGB,CS2000,1,09-Aug-98,Brachythecium rivulare,0.1-1%,6e,6,Westerly lowlands (England),Devon,ENG
NPPRGB,CS2000,1,09-Aug-98,Callitriche sp,1-2.5%,6e,6,Westerly lowlands (England),Devon,ENG
NPPRGB,CS2000,1,09-Aug-98,Conocephalum conicum,0.1-1%,6e,6,Westerly lowlands (England),Devon,ENG
NPPRGB,CS2000,1,09-Aug-98,Fissidens bryoides,0.1-1%,6e,6,Westerly lowlands (England),Devon,ENG
NPPRGB,CS2000,1,09-Aug-98,Oenanthe crocata,1-2.5%,6e,6,Westerly lowlands (England),Devon,ENG
NPPRGB,CS2000,1,09-Aug-98,Rorippa nasturtium-aquaticum,1-2.5%,6e,6,Westerly lowlands (England),Devon,ENG
UAFKOG,CS2000,1,21-Oct-98,Apium nodiflorum,>75%,6e,6,Westerly lowlands (England),Cornwall and Isles of Scilly,ENG
UAFKOG,CS2000,1,21-Oct-98,Oenanthe crocata,<0.1%,6e,6,Westerly lowlands (England),Cornwall and Isles of Scilly,ENG
UAFKOG,CS2000,1,21-Oct-98,Rumex hydrolapathum,<0.1%,6e,6,Westerly lowlands (England),Cornwall and Isles of Scilly,ENG
UAFKOG,CS2000,1,21-Oct-98,Veronica beccabunga,0.1-1%,6e,6,Westerly lowlands (England),Cornwall and Isles of Scilly,ENG
USETNA,CS2000,1,21-Oct-98,Agrostis stolonifera,0.1-1%,6e,6,Westerly lowlands (England),Cornwall and Isles of Scilly,ENG
USETNA,CS2000,1,21-Oct-98,Apium nodiflorum,5-10%,6e,6,Westerly lowlands (England),Cornwall and Isles of Scilly,ENG
USETNA,CS2000,1,21-Oct-98,Chiloscyphus polyanthos,1-2.5%,6e,6,Westerly lowlands (England),Cornwall and Isles of Scilly,ENG
USETNA,CS2000,1,21-Oct-98,Glyceria fluitans,0.1-1%,6e,6,Westerly lowlands (England),Cornwall and Isles of Scilly,ENG
USETNA,CS2000,1,21-Oct-98,Rhynchostegium riparioides,<0.1%,6e,6,Westerly lowlands (England),Cornwall and Isles of Scilly,ENG
USETNA,CS2000,1,21-Oct-98,Rorippa nasturtium-aquaticum,<0.1%,6e,6,Westerly lowlands (England),Cornwall and Isles of Scilly,ENG
USETNA,CS2000,1,21-Oct-98,Vaucheria sp,<0.1%,6e,6,Westerly lowlands (England),Cornwall and Isles of Scilly,ENG
USETNA,CS2000,1,21-Oct-98,Veronica beccabunga,0.1-1%,6e,6,Westerly lowlands (England),Cornwall and Isles of Scilly,ENG
ZNFZXA,CS2000,1,23-Oct-98,No species entered,0,17e,16,Uplands (England),Devon,ENG
KMOUQH,CS2000,1,08-Sep-98,Apium nodiflorum,0.1-1%,8e,8,Westerly lowlands (England),Devon,ENG
KMOUQH,CS2000,1,08-Sep-98,Callitriche sp,<0.1%,8e,8,Westerly lowlands (England),Devon,ENG
MZKVCB,CS2000,1,04-Sep-98,No species entered,0,7e,7,Westerly lowlands (England),Isle of Wight Unitary Authority,ENG
ZWKRMA,CS2000,1,27-Oct-98,No species entered,0,6e,6,Westerly lowlands (England),Cornwall and Isles of Scilly,ENG
UHWAME,CS2000,1,23-Jun-98,Batrachospermum sp,<0.1%,1e,1,Westerly lowlands (England),Devon,ENG
WFCADS,CS2000,1,08-May-98,No species entered,0,1e,1,Westerly lowlands (England),Dorset,ENG
ABOBUL,CS2000,1,08-Jun-98,Amblystegium serpens,<0.1%,1e,1,Westerly lowlands (England),Dorset,ENG
ABOBUL,CS2000,1,08-Jun-98,Brachythecium rivulare,<0.1%,1e,1,Westerly lowlands (England),Dorset,ENG
ABOBUL,CS2000,1,08-Jun-98,Cladophora (aggregate),0.1-1%,1e,1,Westerly lowlands (England),Dorset,ENG
ABOBUL,CS2000,1,08-Jun-98,Conocephalum conicum,<0.1%,1e,1,Westerly lowlands (England),Dorset,ENG
ABOBUL,CS2000,1,08-Jun-98,Eleogiton fluitans,<0.1%,1e,1,Westerly lowlands (England),Dorset,ENG
ABOBUL,CS2000,1,08-Jun-98,Eurhynchium swartzii,<0.1%,1e,1,Westerly lowlands (England),Dorset,ENG
ABOBUL,CS2000,1,08-Jun-98,Fissidens taxifolius,<0.1%,1e,1,Westerly lowlands (England),Dorset,ENG
ABOBUL,CS2000,1,08-Jun-98,Oenanthe crocata,0.1-1%,1e,1,Westerly lowlands (England),Dorset,ENG
ABOBUL,CS2000,1,08-Jun-98,Pellia sp,<0.1%,1e,1,Westerly lowlands (England),Dorset,ENG
ABOBUL,CS2000,1,08-Jun-98,Phalaris arundinacea,<0.1%,1e,1,Westerly lowlands (England),Dorset,ENG
ABOBUL,CS2000,1,08-Jun-98,Plagiomnium undulatum,<0.1%,1e,1,Westerly lowlands (England),Dorset,ENG
ABOBUL,CS2000,1,08-Jun-98,Ranunculus sp,10-25%,1e,1,Westerly lowlands (England),Dorset,ENG
ABOBUL,CS2000,1,08-Jun-98,Rhizomnium punctatum,<0.1%,1e,1,Westerly lowlands (England),Dorset,ENG
ABOBUL,CS2000,1,08-Jun-98,Rhynchostegium riparioides,<0.1%,1e,1,Westerly lowlands (England),Dorset,ENG
ZMRGTC,CS2000,1,17-Jun-98,Apium nodiflorum,<0.1%,1e,1,Westerly lowlands (England),Hampshire,ENG
ZMRGTC,CS2000,1,17-Jun-98,Lemna minuta,<0.1%,1e,1,Westerly lowlands (England),Hampshire,ENG
EMXYKT,CS2000,1,27-Sep-98,No species entered,0,6e,6,Westerly lowlands (England),Devon,ENG
FMAYXW,CS2000,1,11-Nov-98,No species entered,0,5e,5,Westerly lowlands (England),Devon,ENG
MJNWTN,CS2000,1,06-Jul-98,No species entered,0,6e,6,Westerly lowlands (England),Devon,ENG
YTTNGG,CS2000,1,25-Jun-98,Chiloscyphus polyanthos,0.1-1%,6e,6,Westerly lowlands (England),Devon,ENG
YTTNGG,CS2000,1,25-Jun-98,Oenanthe crocata,<0.1%,6e,6,Westerly lowlands (England),Devon,ENG
YTTNGG,CS2000,1,25-Jun-98,Rhynchostegium riparioides,1-2.5%,6e,6,Westerly lowlands (England),Devon,ENG
HNKUSP,CS2000,1,25-Jun-98,Apium nodiflorum,<0.1%,1e,1,Westerly lowlands (England),Somerset,ENG
HNKUSP,CS2000,1,25-Jun-98,Ranunculus omiophyllus,0.1-1%,1e,1,Westerly lowlands (England),Somerset,ENG
LENLAE,CS2000,1,16-Jun-98,Alisma plantago-aquatica,<0.1%,4e,4,Easterly lowlands (England),Hampshire,ENG
LENLAE,CS2000,1,16-Jun-98,Eleogiton fluitans,<0.1%,4e,4,Easterly lowlands (England),Hampshire,ENG
LENLAE,CS2000,1,16-Jun-98,Glyceria maxima,<0.1%,4e,4,Easterly lowlands (England),Hampshire,ENG
LENLAE,CS2000,1,16-Jun-98,Marchantia polymorpha,<0.1%,4e,4,Easterly lowlands (England),Hampshire,ENG
LENLAE,CS2000,1,16-Jun-98,Potamogeton polygonifolius,<0.1%,4e,4,Easterly lowlands (England),Hampshire,ENG
LENLAE,CS2000,1,16-Jun-98,Ranunculus flammula,<0.1%,4e,4,Easterly lowlands (England),Hampshire,ENG
SNIVSZ,CS2000,1,01-Sep-98,Alisma plantago-aquatica,<0.1%,2e,2,Easterly lowlands (England),Hampshire,ENG
SNIVSZ,CS2000,1,01-Sep-98,Apium nodiflorum,1-2.5%,2e,2,Easterly lowlands (England),Hampshire,ENG
SNIVSZ,CS2000,1,01-Sep-98,Lemna minor,<0.1%,2e,2,Easterly lowlands (England),Hampshire,ENG
SNIVSZ,CS2000,1,01-Sep-98,Phalaris arundinacea,>75%,2e,2,Easterly lowlands (England),Hampshire,ENG
ZLAHSC,CS2000,1,11-Aug-98,No species entered,0,2e,2,Easterly lowlands (England),West Sussex,ENG
JRQNKY,CS2000,1,03-Jul-98,Alisma plantago-aquatica,<0.1%,4e,4,Easterly lowlands (England),East Sussex,ENG
JRQNKY,CS2000,1,03-Jul-98,Callitriche sp,<0.1%,4e,4,Easterly lowlands (England),East Sussex,ENG
JRQNKY,CS2000,1,03-Jul-98,Cladophora aegagropila,<0.1%,4e,4,Easterly lowlands (England),East Sussex,ENG
JRQNKY,CS2000,1,03-Jul-98,Elodea nuttallii,<0.1%,4e,4,Easterly lowlands (England),East Sussex,ENG
JRQNKY,CS2000,1,03-Jul-98,Equisetum fluviatile,<0.1%,4e,4,Easterly lowlands (England),East Sussex,ENG
JRQNKY,CS2000,1,03-Jul-98,Glyceria fluitans,0.1-1%,4e,4,Easterly lowlands (England),East Sussex,ENG
JRQNKY,CS2000,1,03-Jul-98,Persicaria amphibia,<0.1%,4e,4,Easterly lowlands (England),East Sussex,ENG
JRQNKY,CS2000,1,03-Jul-98,Phalaris arundinacea,0.1-1%,4e,4,Easterly lowlands (England),East Sussex,ENG
JRQNKY,CS2000,1,03-Jul-98,Potamogeton natans,0.1-1%,4e,4,Easterly lowlands (England),East Sussex,ENG
JRQNKY,CS2000,1,03-Jul-98,Sparganium erectum,50-75%,4e,4,Easterly lowlands (England),East Sussex,ENG
BSARIT,CS2000,1,03-Nov-98,Apium nodiflorum,1-2.5%,6e,6,Westerly lowlands (England),Devon,ENG
MTFPSJ,CS2000,1,14-Aug-98,No species entered,0,6e,6,Westerly lowlands (England),Devon,ENG
TWDIGY,CS2000,1,28-Aug-98,Isothecium myosuroides,<0.1%,6e,6,Westerly lowlands (England),Somerset,ENG
TWDIGY,CS2000,1,28-Aug-98,Oenanthe crocata,1-2.5%,6e,6,Westerly lowlands (England),Somerset,ENG
HKPNTT,CS2000,1,11-Nov-98,No species entered,0,1e,1,Westerly lowlands (England),Somerset,ENG
XWEWWK,CS2000,1,16-Jun-98,Apium nodiflorum,0.1-1%,1e,1,Westerly lowlands (England),Wiltshire,ENG
XWEWWK,CS2000,1,16-Jun-98,Callitriche sp,2.5-5%,1e,1,Westerly lowlands (England),Wiltshire,ENG
XWEWWK,CS2000,1,16-Jun-98,Glyceria maxima,2.5-5%,1e,1,Westerly lowlands (England),Wiltshire,ENG
XWEWWK,CS2000,1,16-Jun-98,Oenanthe crocata,<0.1%,1e,1,Westerly lowlands (England),Wiltshire,ENG
XWEWWK,CS2000,1,16-Jun-98,Phalaris arundinacea,10-25%,1e,1,Westerly lowlands (England),Wiltshire,ENG
GCJEBY,CS2000,1,12-Jun-98,Carex sp,>75%,2e,2,Easterly lowlands (England),Hampshire,ENG
GCJEBY,CS2000,1,12-Jun-98,Lemna minuta,<0.1%,2e,2,Easterly lowlands (England),Hampshire,ENG
GCJEBY,CS2000,1,12-Jun-98,Phalaris arundinacea,2.5-5%,2e,2,Easterly lowlands (England),Hampshire,ENG
BQBGBD,CS2000,1,13-Aug-98,No species entered,0,3e,3,Easterly lowlands (England),West Sussex,ENG
RIGILI,CS2000,1,12-Aug-98,No species entered,0,3e,3,Easterly lowlands (England),East Sussex,ENG
DKPKMO,CS2000,1,12-Aug-98,Alisma plantago-aquatica,<0.1%,3e,3,Easterly lowlands (England),Kent,ENG
DKPKMO,CS2000,1,12-Aug-98,Cladophora (aggregate),<0.1%,3e,3,Easterly lowlands (England),Kent,ENG
DKPKMO,CS2000,1,12-Aug-98,Elodea nuttallii,25-50%,3e,3,Easterly lowlands (England),Kent,ENG
DKPKMO,CS2000,1,12-Aug-98,Equisetum fluviatile,10-25%,3e,3,Easterly lowlands (England),Kent,ENG
DKPKMO,CS2000,1,12-Aug-98,Lemna trisulca,<0.1%,3e,3,Easterly lowlands (England),Kent,ENG
DKPKMO,CS2000,1,12-Aug-98,Potamogeton natans,>75%,3e,3,Easterly lowlands (England),Kent,ENG
DKPKMO,CS2000,1,12-Aug-98,Sagittaria sagittifolia,<0.1%,3e,3,Easterly lowlands (England),Kent,ENG
DKPKMO,CS2000,1,12-Aug-98,Sparganium erectum,>75%,3e,3,Easterly lowlands (England),Kent,ENG
OFVZDJ,CS2000,1,04-Nov-98,Glyceria fluitans,0.1-1%,17e,16,Uplands (England),Devon,ENG
TAZMMI,CS2000,1,04-Nov-98,No species entered,0,6e,6,Westerly lowlands (England),Somerset,ENG
HRZNYI,CS2000,1,19-Aug-98,Alisma plantago-aquatica,<0.1%,8e,8,Westerly lowlands (England),Somerset,ENG
HRZNYI,CS2000,1,19-Aug-98,Butomus umbellatus,<0.1%,8e,8,Westerly lowlands (England),Somerset,ENG
HRZNYI,CS2000,1,19-Aug-98,Glyceria fluitans,2.5-5%,8e,8,Westerly lowlands (England),Somerset,ENG
HRZNYI,CS2000,1,19-Aug-98,Lemna gibba,50-75%,8e,8,Westerly lowlands (England),Somerset,ENG
HRZNYI,CS2000,1,19-Aug-98,Lemna minor,10-25%,8e,8,Westerly lowlands (England),Somerset,ENG
HRZNYI,CS2000,1,19-Aug-98,Phragmites australis,1-2.5%,8e,8,Westerly lowlands (England),Somerset,ENG
HRZNYI,CS2000,1,19-Aug-98,Sparganium erectum,1-2.5%,8e,8,Westerly lowlands (England),Somerset,ENG
HRZNYI,CS2000,1,19-Aug-98,Spirodela polyrhiza,<0.1%,8e,8,Westerly lowlands (England),Somerset,ENG
SJEJAB,CS2000,1,15-Oct-98,Ceratophyllum demersum,1-2.5%,4e,4,Easterly lowlands (England),Somerset,ENG
SJEJAB,CS2000,1,15-Oct-98,Glyceria maxima,<0.1%,4e,4,Easterly lowlands (England),Somerset,ENG
SJEJAB,CS2000,1,15-Oct-98,Lemna gibba,0.1-1%,4e,4,Easterly lowlands (England),Somerset,ENG
SJEJAB,CS2000,1,15-Oct-98,Lemna minor,25-50%,4e,4,Easterly lowlands (England),Somerset,ENG
SJEJAB,CS2000,1,15-Oct-98,Lemna minuta,0.1-1%,4e,4,Easterly lowlands (England),Somerset,ENG
NOFKFH,CS2000,1,15-Oct-98,No species entered,0,1e,1,Westerly lowlands (England),Somerset,ENG
HYYEET,CS2000,1,13-Aug-98,Callitriche sp,<0.1%,3e,3,Easterly lowlands (England),Surrey,ENG
HYYEET,CS2000,1,13-Aug-98,Lemna minor,<0.1%,3e,3,Easterly lowlands (England),Surrey,ENG
HYYEET,CS2000,1,13-Aug-98,Sparganium erectum,<0.1%,3e,3,Easterly lowlands (England),Surrey,ENG
MJSKRM,CS2000,1,11-Aug-98,Carex sp,0.1-1%,3e,3,Easterly lowlands (England),Kent,ENG
MJSKRM,CS2000,1,11-Aug-98,Solanum dulcamara,0.1-1%,3e,3,Easterly lowlands (England),Kent,ENG
MJSKRM,CS2000,1,11-Aug-98,Typha latifolia,5-10%,3e,3,Easterly lowlands (England),Kent,ENG
JRZVUS,CS2000,1,02-Jul-98,Agrostis stolonifera,<0.1%,3e,3,Easterly lowlands (England),Kent,ENG
JRZVUS,CS2000,1,02-Jul-98,Cladophora (aggregate),50-75%,3e,3,Easterly lowlands (England),Kent,ENG
JRZVUS,CS2000,1,02-Jul-98,Enteromorpha intestinalis,1-2.5%,3e,3,Easterly lowlands (England),Kent,ENG
JRZVUS,CS2000,1,02-Jul-98,Nuphar lutea,<0.1%,3e,3,Easterly lowlands (England),Kent,ENG
JRZVUS,CS2000,1,02-Jul-98,Phalaris arundinacea,1-2.5%,3e,3,Easterly lowlands (England),Kent,ENG
JRZVUS,CS2000,1,02-Jul-98,Schoenoplectus lacustris,<0.1%,3e,3,Easterly lowlands (England),Kent,ENG
JRZVUS,CS2000,1,02-Jul-98,Sparganium erectum,0.1-1%,3e,3,Easterly lowlands (England),Kent,ENG
MZHCNF,CS2000,1,22-Oct-98,Glyceria maxima,25-50%,5e,5,Westerly lowlands (England),Wiltshire,ENG
MZHCNF,CS2000,1,22-Oct-98,Rorippa amphibia,25-50%,5e,5,Westerly lowlands (England),Wiltshire,ENG
MZHCNF,CS2000,1,22-Oct-98,Sparganium erectum,1-2.5%,5e,5,Westerly lowlands (England),Wiltshire,ENG
UAYXVX,CS2000,1,02-Sep-98,No species entered,0,1e,1,Westerly lowlands (England),Hampshire,ENG
ZUJTKP,CS2000,1,03-Aug-98,Callitriche sp,<0.1%,2e,2,Easterly lowlands (England),Hampshire,ENG
ZUJTKP,CS2000,1,03-Aug-98,Lemna minor,0.1-1%,2e,2,Easterly lowlands (England),Hampshire,ENG
ZUJTKP,CS2000,1,03-Aug-98,Nuphar lutea,1-2.5%,2e,2,Easterly lowlands (England),Hampshire,ENG
ZUJTKP,CS2000,1,03-Aug-98,Sparganium erectum,1-2.5%,2e,2,Easterly lowlands (England),Hampshire,ENG
ZUJTKP,CS2000,1,03-Aug-98,Vaucheria sp,<0.1%,2e,2,Easterly lowlands (England),Hampshire,ENG
DEJBBK,CS2000,1,05-Aug-98,No species entered,0,1e,1,Westerly lowlands (England),South Gloucestershire Unitary Authority,ENG
BZJANF,CS2000,1,14-Oct-98,Agrostis stolonifera,0.1-1%,2e,2,Easterly lowlands (England),Wiltshire,ENG
BZJANF,CS2000,1,14-Oct-98,Apium nodiflorum,50-75%,2e,2,Easterly lowlands (England),Wiltshire,ENG
BZJANF,CS2000,1,14-Oct-98,Glyceria fluitans,10-25%,2e,2,Easterly lowlands (England),Wiltshire,ENG
BZJANF,CS2000,1,14-Oct-98,Myosotis scorpioides,<0.1%,2e,2,Easterly lowlands (England),Wiltshire,ENG
BZJANF,CS2000,1,14-Oct-98,Oenanthe crocata,<0.1%,2e,2,Easterly lowlands (England),Wiltshire,ENG
BZJANF,CS2000,1,14-Oct-98,Persicaria amphibia,<0.1%,2e,2,Easterly lowlands (England),Wiltshire,ENG
BZJANF,CS2000,1,14-Oct-98,Rorippa nasturtium-aquaticum,<0.1%,2e,2,Easterly lowlands (England),Wiltshire,ENG
