YEAR,SQUARE_ID,PLOT_ID,PLOT_TYPE,COUNTRY,ENV_ZONE_2007,EZ_DESC_07
1998,AAVJXT,BIGXIYTGMF,H,ENG,1,Easterly lowlands (England)
1998,AAVJXT,COHYQDTFSG,Y,ENG,1,Easterly lowlands (England)
1998,AAVJXT,COQVPEOQPM,X,ENG,1,Easterly lowlands (England)
1998,AAVJXT,EPNAVEDRRI,R,ENG,1,Easterly lowlands (England)
1998,AAVJXT,GUIEVHGBWC,V,ENG,1,Easterly lowlands (England)
1998,AAVJXT,JGIXJQGNGQ,W,ENG,1,Easterly lowlands (England)
1998,AAVJXT,KOSBNYWWEP,Y,ENG,1,Easterly lowlands (England)
1998,AAVJXT,KZHKOSOCSZ,D,ENG,1,Easterly lowlands (England)
1998,AAVJXT,LAJYSYSNMS,R,ENG,1,Easterly lowlands (England)
1998,AAVJXT,LGXCAJMHPK,Y,ENG,1,Easterly lowlands (England)
1998,AAVJXT,LOOEZEQSDS,X,ENG,1,Easterly lowlands (England)
1998,AAVJXT,MYBBEMYPOV,X,ENG,1,Easterly lowlands (England)
1998,AAVJXT,NSRLJRIRFQ,X,ENG,1,Easterly lowlands (England)
1998,AAVJXT,NZIOXCUYUS,V,ENG,1,Easterly lowlands (England)
1998,AAVJXT,OEGNDWNZMT,W,ENG,1,Easterly lowlands (England)
1998,AAVJXT,OFHLPEBRZM,H,ENG,1,Easterly lowlands (England)
1998,AAVJXT,ONTXOYTRZW,D,ENG,1,Easterly lowlands (England)
1998,AAVJXT,QLYGJTOTEN,B,ENG,1,Easterly lowlands (England)
1998,AAVJXT,RKKYFMRMSN,V,ENG,1,Easterly lowlands (England)
1998,AAVJXT,SSPFKTZOZB,W,ENG,1,Easterly lowlands (England)
1998,AAVJXT,TNMKOOGVUI,Y,ENG,1,Easterly lowlands (England)
1998,AAVJXT,XRDXLEMGJS,B,ENG,1,Easterly lowlands (England)
1998,AAVJXT,ZBJLQZUUIV,Y,ENG,1,Easterly lowlands (England)
1998,ABOBUL,ARDISEUEDI,B,ENG,2,Westerly lowlands (England)
1998,ABOBUL,BHNWAALCEV,D,ENG,2,Westerly lowlands (England)
1998,ABOBUL,BIHWONPVDB,H,ENG,2,Westerly lowlands (England)
1998,ABOBUL,CGHSSHUKOH,Y,ENG,2,Westerly lowlands (England)
1998,ABOBUL,CWNMTOAZAU,W,ENG,2,Westerly lowlands (England)
1998,ABOBUL,DAVUCUHUHA,D,ENG,2,Westerly lowlands (England)
1998,ABOBUL,DKHAMBYBCV,U,ENG,2,Westerly lowlands (England)
1998,ABOBUL,DQSNTELTFD,D,ENG,2,Westerly lowlands (England)
1998,ABOBUL,EIZMVGKEHN,D,ENG,2,Westerly lowlands (England)
1998,ABOBUL,ELFPYGSVUW,B,ENG,2,Westerly lowlands (England)
1998,ABOBUL,FUJELFISWP,V,ENG,2,Westerly lowlands (England)
1998,ABOBUL,FYTZIEBEGY,B,ENG,2,Westerly lowlands (England)
1998,ABOBUL,GLRIRELMVH,Y,ENG,2,Westerly lowlands (England)
1998,ABOBUL,GTJKQKMIFC,X,ENG,2,Westerly lowlands (England)
1998,ABOBUL,HJBSQTUDSH,V,ENG,2,Westerly lowlands (England)
1998,ABOBUL,HJYSNRVYBS,D,ENG,2,Westerly lowlands (England)
1998,ABOBUL,HSERFWITNK,S,ENG,2,Westerly lowlands (England)
1998,ABOBUL,INPHZMBOJO,D,ENG,2,Westerly lowlands (England)
1998,ABOBUL,KMHSWKNTNV,D,ENG,2,Westerly lowlands (England)
1998,ABOBUL,OKXMXSTRXI,X,ENG,2,Westerly lowlands (England)
1998,ABOBUL,OOINXLFTQM,W,ENG,2,Westerly lowlands (England)
1998,ABOBUL,PUKVUILNNI,X,ENG,2,Westerly lowlands (England)
1998,ABOBUL,QHSJEFGDFX,X,ENG,2,Westerly lowlands (England)
1998,ABOBUL,RALILFNLTA,Y,ENG,2,Westerly lowlands (England)
1998,ABOBUL,RJJIWDIWQA,Y,ENG,2,Westerly lowlands (England)
1998,ABOBUL,RXHFCBLLBE,W,ENG,2,Westerly lowlands (England)
1998,ABOBUL,RYVYNOKONW,D,ENG,2,Westerly lowlands (England)
1998,ABOBUL,SHTHZHJTOB,B,ENG,2,Westerly lowlands (England)
1998,ABOBUL,TJWLLCIBWJ,B,ENG,2,Westerly lowlands (England)
