YEAR,SQUARE_ID,PLOT_ID,PLOT_TYPE,COUNTRY,ENV_ZONE_2007,EZ_DESC_07
1990,ABOBUL,AJIYTCYOYY,RV,ENG,2,Westerly lowlands (England)
1990,ABOBUL,BKFDPBYXHX,Y,ENG,2,Westerly lowlands (England)
1990,ABOBUL,BWFCXPJUUL,RV,ENG,2,Westerly lowlands (England)
1990,ABOBUL,BXAKXUTYWQ,SW,ENG,2,Westerly lowlands (England)
1990,ABOBUL,BZYKIPFRKP,SW,ENG,2,Westerly lowlands (England)
1990,ABOBUL,DLECSGETGT,H,ENG,2,Westerly lowlands (England)
1990,ABOBUL,EBGEJSBGDO,B,ENG,2,Westerly lowlands (England)
1990,ABOBUL,EHSJJCBZSN,Y,ENG,2,Westerly lowlands (England)
1990,ABOBUL,FZORTWJICB,B,ENG,2,Westerly lowlands (England)
1990,ABOBUL,GQXYQXMGPL,RV,ENG,2,Westerly lowlands (England)
1990,ABOBUL,HFQTFLMJCU,SW,ENG,2,Westerly lowlands (England)
1990,ABOBUL,HWXDRMGXVO,B,ENG,2,Westerly lowlands (England)
1990,ABOBUL,JEJGQBNHBC,B,ENG,2,Westerly lowlands (England)
1990,ABOBUL,JFKBKYMYMP,Y,ENG,2,Westerly lowlands (England)
1990,ABOBUL,KHNEYYGGRC,X,ENG,2,Westerly lowlands (England)
1990,ABOBUL,KNIRSWNPGY,Y,ENG,2,Westerly lowlands (England)
1990,ABOBUL,KXQQYBUTSL,X,ENG,2,Westerly lowlands (England)
1990,ABOBUL,NFKTGWDSSL,SW,ENG,2,Westerly lowlands (England)
1990,ABOBUL,NGQMVYXRQI,RV,ENG,2,Westerly lowlands (England)
1990,ABOBUL,NXJPDCMMYF,B,ENG,2,Westerly lowlands (England)
1990,ABOBUL,OECDDRADJB,X,ENG,2,Westerly lowlands (England)
1990,ABOBUL,SEEVWXHOYF,RV,ENG,2,Westerly lowlands (England)
1990,ABOBUL,SUTIZMQNWE,SW,ENG,2,Westerly lowlands (England)
1990,ABOBUL,UEPJBGSNGG,X,ENG,2,Westerly lowlands (England)
1990,ABOBUL,WILPPORJAP,Y,ENG,2,Westerly lowlands (England)
1990,ABOBUL,XROMFBKXNT,X,ENG,2,Westerly lowlands (England)
1990,ABOBUL,ZFNMCWTUYU,H,ENG,2,Westerly lowlands (England)
1990,ADHCCF,BBGZEOAJYB,SW,SCO,4,Lowlands (Scotland)
1990,ADHCCF,DCGOPOARMI,B,SCO,4,Lowlands (Scotland)
1990,ADHCCF,EZIEFAABOB,RV,SCO,4,Lowlands (Scotland)
1990,ADHCCF,FWPWOSMHHB,X,SCO,4,Lowlands (Scotland)
1990,ADHCCF,FZVXFVSJRL,SW,SCO,4,Lowlands (Scotland)
1990,ADHCCF,GTVSNYUUAF,Y,SCO,4,Lowlands (Scotland)
1990,ADHCCF,HLALQLHSTX,Y,SCO,4,Lowlands (Scotland)
1990,ADHCCF,INCFFDKVEO,RV,SCO,4,Lowlands (Scotland)
1990,ADHCCF,JBNBWWTLYS,RV,SCO,4,Lowlands (Scotland)
1990,ADHCCF,JFTZMAALVG,X,SCO,4,Lowlands (Scotland)
1990,ADHCCF,KLKETCRAOG,X,SCO,4,Lowlands (Scotland)
1990,ADHCCF,LFQQQNGOPX,X,SCO,4,Lowlands (Scotland)
1990,ADHCCF,LONVMDNKDJ,Y,SCO,4,Lowlands (Scotland)
1990,ADHCCF,MCZVUUDZPJ,B,SCO,4,Lowlands (Scotland)
1990,ADHCCF,MDYQDHFCLG,Y,SCO,4,Lowlands (Scotland)
1990,ADHCCF,PCCMZCKJFY,SW,SCO,4,Lowlands (Scotland)
1990,ADHCCF,POYIXEEYKZ,RV,SCO,4,Lowlands (Scotland)
1990,ADHCCF,PXBTFTXJCQ,SW,SCO,4,Lowlands (Scotland)
1990,ADHCCF,RMCLRBZORD,B,SCO,4,Lowlands (Scotland)
1990,ADHCCF,RUVSMRLUBA,Y,SCO,4,Lowlands (Scotland)
1990,ADHCCF,UJWGHDWUDB,X,SCO,4,Lowlands (Scotland)
1990,ADHCCF,VDIECXFTQB,B,SCO,4,Lowlands (Scotland)
1990,ADHCCF,YFUSLXKXOG,SW,SCO,4,Lowlands (Scotland)
