YEAR,SQUARE_ID,PLOT_ID,PLOT_TYPE,COUNTRY,ENV_ZONE_2007,EZ_DESC_07
2007,AAVJXT,TNBPDOCKFR,B,ENG,1,Easterly lowlands (England)
2007,AAVJXT,FJVSJVUKNG,V,ENG,1,Easterly lowlands (England)
2007,AAVJXT,FBVWJWQKSK,X,ENG,1,Easterly lowlands (England)
2007,AAVJXT,JAYLLQMMRT,Y,ENG,1,Easterly lowlands (England)
2007,AAVJXT,AHBGCMSQAB,W,ENG,1,Easterly lowlands (England)
2007,AAVJXT,YQPOIYADFE,D,ENG,1,Easterly lowlands (England)
2007,AAVJXT,ZNCDMROHSV,W,ENG,1,Easterly lowlands (England)
2007,AAVJXT,HBXIZXUNBJ,X,ENG,1,Easterly lowlands (England)
2007,AAVJXT,VFCQOMXIEN,Y,ENG,1,Easterly lowlands (England)
2007,AAVJXT,ZBQPOKJKCG,V,ENG,1,Easterly lowlands (England)
2007,AAVJXT,QFTQGKCKEI,H,ENG,1,Easterly lowlands (England)
2007,AAVJXT,PAGUWNSGMX,X,ENG,1,Easterly lowlands (England)
2007,AAVJXT,YQPLURMHPH,R,ENG,1,Easterly lowlands (England)
2007,AAVJXT,QUFJZRIOGQ,D,ENG,1,Easterly lowlands (England)
2007,AAVJXT,NUVPQDDUJE,W,ENG,1,Easterly lowlands (England)
2007,AAVJXT,AOTDTTHHUR,Y,ENG,1,Easterly lowlands (England)
2007,AAVJXT,IYTPWUXYRE,Y,ENG,1,Easterly lowlands (England)
2007,AAVJXT,WJWCQCJQIT,A,ENG,1,Easterly lowlands (England)
2007,AAVJXT,HCLMCWMMEA,R,ENG,1,Easterly lowlands (England)
2007,AAVJXT,JDTPNTAGYY,V,ENG,1,Easterly lowlands (England)
2007,AAVJXT,WWBZOYXACN,H,ENG,1,Easterly lowlands (England)
2007,AAVJXT,UNRHYFAFBD,Y,ENG,1,Easterly lowlands (England)
2007,AAVJXT,YVVCSBTDUO,B,ENG,1,Easterly lowlands (England)
2007,AAVJXT,FSYQRVOCEX,X,ENG,1,Easterly lowlands (England)
2007,ABOBUL,PWRXSEAWWY,X,ENG,2,Westerly lowlands (England)
2007,ABOBUL,QYFDUOKYHA,Y,ENG,2,Westerly lowlands (England)
2007,ABOBUL,RYBEEMKFKN,Y,ENG,2,Westerly lowlands (England)
2007,ABOBUL,SPUAARHKOH,V,ENG,2,Westerly lowlands (England)
2007,ABOBUL,VAHSBZKRPB,X,ENG,2,Westerly lowlands (England)
2007,ABOBUL,WFHLYOAPVO,B,ENG,2,Westerly lowlands (England)
2007,ABOBUL,LFLMOBYOJG,B,ENG,2,Westerly lowlands (England)
2007,ABOBUL,KOJEEHASJL,B,ENG,2,Westerly lowlands (England)
2007,ABOBUL,SFYKOXYZVR,Y,ENG,2,Westerly lowlands (England)
2007,ABOBUL,SVVMSNAYYL,Y,ENG,2,Westerly lowlands (England)
2007,ABOBUL,WAXVSFQVCW,A,ENG,2,Westerly lowlands (England)
2007,ABOBUL,KKZMBYPNPS,U,ENG,2,Westerly lowlands (England)
2007,ABOBUL,NUIQUMMKEY,W,ENG,2,Westerly lowlands (England)
2007,ABOBUL,LKCVTQYYZH,S,ENG,2,Westerly lowlands (England)
2007,ABOBUL,YADMGNKUKM,Y,ENG,2,Westerly lowlands (England)
2007,ABOBUL,MWYODWFCXO,D,ENG,2,Westerly lowlands (England)
2007,ABOBUL,ZZKXPMUKEQ,V,ENG,2,Westerly lowlands (England)
2007,ABOBUL,BTEZMRAQDM,D,ENG,2,Westerly lowlands (England)
2007,ABOBUL,ZWHHQBRHJM,R,ENG,2,Westerly lowlands (England)
2007,ABOBUL,EAGHNVDRIU,W,ENG,2,Westerly lowlands (England)
2007,ABOBUL,CDROIDCADZ,Y,ENG,2,Westerly lowlands (England)
2007,ABOBUL,WCPYLAGOVH,X,ENG,2,Westerly lowlands (England)
2007,ABOBUL,IURBDUKLQY,X,ENG,2,Westerly lowlands (England)
2007,ABOBUL,ODGVWTXDSM,X,ENG,2,Westerly lowlands (England)
2007,ABOBUL,SAIILLBGWQ,V,ENG,2,Westerly lowlands (England)
2007,ABOBUL,IJYLSFVJTL,B,ENG,2,Westerly lowlands (England)
2007,ABOBUL,CZKKXGZINF,W,ENG,2,Westerly lowlands (England)
2007,ABOBUL,WLUYQPYDIJ,B,ENG,2,Westerly lowlands (England)
2007,ABOBUL,JKCKEZBFGH,H,ENG,2,Westerly lowlands (England)
2007,ABOBUL,TUGYZVMYPF,D,ENG,2,Westerly lowlands (England)
2007,ABOBUL,CZCKYFDGUG,R,ENG,2,Westerly lowlands (England)
2007,ABOBUL,MOGZGLMKFL,D,ENG,2,Westerly lowlands (England)
2007,ABOBUL,ODCBOSYWKG,S,ENG,2,Westerly lowlands (England)
2007,ABOBUL,PLBLWMOTZK,D,ENG,2,Westerly lowlands (England)
2007,ABOBUL,MECPWKVAMI,D,ENG,2,Westerly lowlands (England)
2007,ABOBUL,KABGLPTVWU,Y,ENG,2,Westerly lowlands (England)
2007,ABOBUL,YWDQGYTHEF,H,ENG,2,Westerly lowlands (England)
2007,ABOBUL,QCFBIKWTXT,D,ENG,2,Westerly lowlands (England)
2007,ABOBUL,POPNWXGLID,D,ENG,2,Westerly lowlands (England)
2007,ABOBUL,XWTXRHQQGM,D,ENG,2,Westerly lowlands (England)
2007,ABOBUL,WXIZFRZHBR,D,ENG,2,Westerly lowlands (England)
2007,ADHCCF,AJUCMEGMFO,S,SCO,4,Lowlands (Scotland)
2007,ADHCCF,DPOIMRKRBF,X,SCO,4,Lowlands (Scotland)
2007,ADHCCF,DBLBNYBTHQ,U,SCO,4,Lowlands (Scotland)
2007,ADHCCF,BTIOHILHGK,B,SCO,4,Lowlands (Scotland)
2007,ADHCCF,NTUSJDOHYG,W,SCO,4,Lowlands (Scotland)
2007,ADHCCF,CDHSIECQTY,X,SCO,4,Lowlands (Scotland)
2007,ADHCCF,QINKTWVHSE,B,SCO,4,Lowlands (Scotland)
2007,ADHCCF,DSBRRKLMGK,Y,SCO,4,Lowlands (Scotland)
2007,ADHCCF,CGMBCALVUV,Y,SCO,4,Lowlands (Scotland)
2007,ADHCCF,NWGQEFPNNE,W,SCO,4,Lowlands (Scotland)
2007,ADHCCF,AVEHGWFMAM,Y,SCO,4,Lowlands (Scotland)
2007,ADHCCF,BNOTBOUSPB,V,SCO,4,Lowlands (Scotland)
2007,ADHCCF,CMVGSWADHW,X,SCO,4,Lowlands (Scotland)
2007,ADHCCF,YNHLHXAUXC,X,SCO,4,Lowlands (Scotland)
2007,ADHCCF,JQBJWDDXGV,U,SCO,4,Lowlands (Scotland)
2007,ADHCCF,RKFZQXVNPS,Y,SCO,4,Lowlands (Scotland)
2007,ADHCCF,HMHWMFQDNE,S,SCO,4,Lowlands (Scotland)
2007,ADHCCF,KJLCMOWZFL,R,SCO,4,Lowlands (Scotland)
2007,ADHCCF,UGSWAFPGTD,V,SCO,4,Lowlands (Scotland)
2007,ADHCCF,GJPCXXOPSL,B,SCO,4,Lowlands (Scotland)
2007,ADHCCF,ASTPGIMKIT,V,SCO,4,Lowlands (Scotland)
2007,ADHCCF,NUXBFTYLCC,R,SCO,4,Lowlands (Scotland)
2007,ADHCCF,AOXLNQUQFQ,X,SCO,4,Lowlands (Scotland)
2007,ADHCCF,KWHKPAPFGJ,W,SCO,4,Lowlands (Scotland)
2007,ADHCCF,ESMLVKKNPC,Y,SCO,4,Lowlands (Scotland)
2007,AHIACC,EOGBNABOON,W,SCO,4,Lowlands (Scotland)
2007,AHIACC,UYCTSDXBAZ,X,SCO,4,Lowlands (Scotland)
2007,AHIACC,MAHYTTXWQF,D,SCO,4,Lowlands (Scotland)
2007,AHIACC,JIUPONCLDF,R,SCO,4,Lowlands (Scotland)
2007,AHIACC,EKFKRNLJPD,V,SCO,4,Lowlands (Scotland)
2007,AHIACC,TNCIQBEWHG,W,SCO,4,Lowlands (Scotland)
2007,AHIACC,AILSEDBPGO,V,SCO,4,Lowlands (Scotland)
2007,AHIACC,QXFPRWCVWC,X,SCO,4,Lowlands (Scotland)
2007,AHIACC,JUUBFATQEP,H,SCO,4,Lowlands (Scotland)
2007,AHIACC,MNBBPRBUPW,W,SCO,4,Lowlands (Scotland)
2007,AHIACC,VRBEQHNEXE,X,SCO,4,Lowlands (Scotland)
2007,AHIACC,GZKYZSASBK,Y,SCO,4,Lowlands (Scotland)
2007,AHIACC,ZYZCCRUQFA,Y,SCO,4,Lowlands (Scotland)
2007,AHIACC,OFVSFWHSNL,S,SCO,4,Lowlands (Scotland)
2007,AHIACC,XUKKLMTGZG,Y,SCO,4,Lowlands (Scotland)
2007,AHIACC,WCDALUNTPX,V,SCO,4,Lowlands (Scotland)
2007,AHIACC,CJPZMKXPLF,R,SCO,4,Lowlands (Scotland)
2007,AHIACC,PEKZBNAGEW,H,SCO,4,Lowlands (Scotland)
2007,AHIACC,XCVOKLFJJM,B,SCO,4,Lowlands (Scotland)
2007,AHIACC,RAJENPVUMI,Y,SCO,4,Lowlands (Scotland)
2007,AHIACC,TTVPPRIECQ,X,SCO,4,Lowlands (Scotland)
2007,AHIACC,IALSPQEJXD,B,SCO,4,Lowlands (Scotland)
2007,AHIACC,CSZSSVIFFN,X,SCO,4,Lowlands (Scotland)
2007,AHIACC,LKLWIQCCGT,B,SCO,4,Lowlands (Scotland)
2007,AHIACC,AAFDEJIKPU,Y,SCO,4,Lowlands (Scotland)
2007,AHIACC,CDCEKQAJZK,Y,SCO,4,Lowlands (Scotland)
2007,AHIACC,DRJQCBXTVB,S,SCO,4,Lowlands (Scotland)
2007,AHIACC,IANORGZZPF,D,SCO,4,Lowlands (Scotland)
