YEAR,SQUARE_ID,PLOT_ID,PLOT_TYPE,COUNTRY,ENV_ZONE_2007,EZ_DESC_07
1978,CIOSPC,TTBHAMWAIG,H,ENG,2,Westerly lowlands (England)
1978,CIOSPC,ZONZYWNQVO,H,ENG,2,Westerly lowlands (England)
1978,CIOSPC,ONXZATCWTT,X,ENG,2,Westerly lowlands (England)
1978,CIOSPC,CZBBLNSWBR,X,ENG,2,Westerly lowlands (England)
1978,CIOSPC,NGLLMZRGFE,X,ENG,2,Westerly lowlands (England)
1978,CIOSPC,TEUHXOHANO,X,ENG,2,Westerly lowlands (England)
1978,CIOSPC,NCQDYEJSPA,X,ENG,2,Westerly lowlands (England)
1978,EYAJMO,QCDJGTGCSW,H,ENG,2,Westerly lowlands (England)
1978,EYAJMO,UCNCMMIOHZ,H,ENG,2,Westerly lowlands (England)
1978,EYAJMO,XYLSXPRBLO,RV,ENG,2,Westerly lowlands (England)
1978,EYAJMO,PCAYGTJRZZ,RV,ENG,2,Westerly lowlands (England)
1978,EYAJMO,RJRXLNXGJF,SW,ENG,2,Westerly lowlands (England)
1978,EYAJMO,YNXAKEEVJB,SW,ENG,2,Westerly lowlands (England)
1978,EYAJMO,MMNKNJZHXO,X,ENG,2,Westerly lowlands (England)
1978,EYAJMO,SKPLESJYWA,X,ENG,2,Westerly lowlands (England)
1978,EYAJMO,RJMMSTMWYO,X,ENG,2,Westerly lowlands (England)
1978,EYAJMO,LPNUGNHUBQ,X,ENG,2,Westerly lowlands (England)
1978,EYAJMO,FPLYUKJVKY,X,ENG,2,Westerly lowlands (England)
1978,YDGWZL,NNCHCRQIZW,H,ENG,2,Westerly lowlands (England)
1978,YDGWZL,IMZQJDWLHN,H,ENG,2,Westerly lowlands (England)
1978,YDGWZL,XJOCLGZNHX,RV,ENG,2,Westerly lowlands (England)
1978,YDGWZL,WMJLTHHYGM,RV,ENG,2,Westerly lowlands (England)
1978,YDGWZL,YLJSJSAPPT,SW,ENG,2,Westerly lowlands (England)
1978,YDGWZL,SIFJQCVEGW,SW,ENG,2,Westerly lowlands (England)
1978,YDGWZL,LYQBHAQAUO,X,ENG,2,Westerly lowlands (England)
1978,YDGWZL,JGHFHYDTSD,X,ENG,2,Westerly lowlands (England)
1978,YDGWZL,QDFEEUNKNX,X,ENG,2,Westerly lowlands (England)
1978,YDGWZL,JDNIIJKZNW,X,ENG,2,Westerly lowlands (England)
1978,YDGWZL,GFRCFYZMUH,X,ENG,2,Westerly lowlands (England)
1978,RXBGEW,RQSUHDFCDC,H,ENG,2,Westerly lowlands (England)
1978,RXBGEW,NENOVLJFMF,H,ENG,2,Westerly lowlands (England)
1978,RXBGEW,MILNRLUIWC,RV,ENG,2,Westerly lowlands (England)
1978,RXBGEW,AKKAOANNTT,RV,ENG,2,Westerly lowlands (England)
1978,RXBGEW,FPCNUUMWYS,X,ENG,2,Westerly lowlands (England)
