YEAR,SQUARE_ID,PLOT_ID,AMALG_PTYPE,BRC_NUMBER,BRC_NAMES,TOTAL_COVER
1978,KOQHZQ,BTWTVJOETW,H,920169,Arrhenatherum elatius,1
1978,KOQHZQ,BTWTVJOETW,H,920461,Cerastium arvense,1
1978,KOQHZQ,BTWTVJOETW,H,920607,Dactylis glomerata,1
1978,KOQHZQ,BTWTVJOETW,H,9201242,Matricaria discoidea,1
1978,KOQHZQ,BTWTVJOETW,H,9201487,Plantago lanceolata,1
1978,KOQHZQ,BTWTVJOETW,H,9201495,Poa annua,1
1978,KOQHZQ,BTWTVJOETW,H,9201507,Poa trivialis,1
1978,KOQHZQ,BTWTVJOETW,H,9202112,Ulex europaeus,80
1978,KOQHZQ,BTWTVJOETW,H,9202175,Veronica persica,1
1978,KOQHZQ,BTWTVJOETW,H,9202198,Vicia sepium,1
1978,KOQHZQ,BTWTVJOETW,H,9202206,Viola arvensis,1
1978,KOQHZQ,BTWTVJOETW,H,9204542,Myosotis seedling/sp,1
1978,KOQHZQ,ZOWSVZFUQJ,H,92033,Elytrigia repens,1
1978,KOQHZQ,ZOWSVZFUQJ,H,920169,Arrhenatherum elatius,1
1978,KOQHZQ,ZOWSVZFUQJ,H,920569,Crataegus monogyna,80
1978,KOQHZQ,ZOWSVZFUQJ,H,920873,Galium aparine,1
1978,KOQHZQ,ZOWSVZFUQJ,H,920968,Heracleum sphondylium,1
1978,KOQHZQ,ZOWSVZFUQJ,H,9201617,Prunus spinosa,20
1978,KOQHZQ,ZOWSVZFUQJ,H,9201728,Rubus fruticosus agg.,1
1978,KOQHZQ,ZOWSVZFUQJ,H,9202126,Urtica dioica,30
1978,KOQHZQ,JGROPDSRET,RV,92039,Agrostis stolonifera,1
1978,KOQHZQ,JGROPDSRET,RV,92082,Alopecurus geniculatus,1
1978,KOQHZQ,JGROPDSRET,RV,920125,Anthriscus sylvestris,1
1978,KOQHZQ,JGROPDSRET,RV,920169,Arrhenatherum elatius,1
1978,KOQHZQ,JGROPDSRET,RV,920461,Cerastium arvense,1
1978,KOQHZQ,JGROPDSRET,RV,920607,Dactylis glomerata,1
1978,KOQHZQ,JGROPDSRET,RV,920873,Galium aparine,1
1978,KOQHZQ,JGROPDSRET,RV,920968,Heracleum sphondylium,1
1978,KOQHZQ,JGROPDSRET,RV,920983,Holcus lanatus,1
1978,KOQHZQ,JGROPDSRET,RV,8201146,Eurhynchium sp.,1
1978,KOQHZQ,JGROPDSRET,RV,9201183,Lolium perenne,1
1978,KOQHZQ,JGROPDSRET,RV,9201487,Plantago lanceolata,1
1978,KOQHZQ,JGROPDSRET,RV,9201488,Plantago major,1
1978,KOQHZQ,JGROPDSRET,RV,9201495,Poa annua,1
1978,KOQHZQ,JGROPDSRET,RV,9201506,Poa pratensis sens.lat.,1
1978,KOQHZQ,JGROPDSRET,RV,9201522,Polygonum aviculare agg.,1
1978,KOQHZQ,JGROPDSRET,RV,9201660,Ranunculus repens,1
1978,KOQHZQ,JGROPDSRET,RV,9201735,Rumex acetosella,1
1978,KOQHZQ,JGROPDSRET,RV,9202092,Trifolium repens,1
1978,KOQHZQ,JGROPDSRET,RV,9202126,Urtica dioica,1
1978,KOQHZQ,JGROPDSRET,RV,9202168,Veronica chamaedrys,1
1978,KOQHZQ,JGROPDSRET,RV,9202198,Vicia sepium,1
1978,KOQHZQ,KGHFBRKQXY,RV,92082,Alopecurus geniculatus,1
1978,KOQHZQ,KGHFBRKQXY,RV,920125,Anthriscus sylvestris,1
1978,KOQHZQ,KGHFBRKQXY,RV,920169,Arrhenatherum elatius,1
1978,KOQHZQ,KGHFBRKQXY,RV,920461,Cerastium arvense,1
1978,KOQHZQ,KGHFBRKQXY,RV,920607,Dactylis glomerata,1
1978,KOQHZQ,KGHFBRKQXY,RV,920873,Galium aparine,1
1978,KOQHZQ,KGHFBRKQXY,RV,920968,Heracleum sphondylium,1
1978,KOQHZQ,KGHFBRKQXY,RV,920984,Holcus mollis,1
1978,KOQHZQ,KGHFBRKQXY,RV,9201488,Plantago major,1
1978,KOQHZQ,KGHFBRKQXY,RV,9201495,Poa annua,1
1978,KOQHZQ,KGHFBRKQXY,RV,9201507,Poa trivialis,1
1978,KOQHZQ,KGHFBRKQXY,RV,9201522,Polygonum aviculare agg.,1
1978,KOQHZQ,KGHFBRKQXY,RV,9201735,Rumex acetosella,1
1978,KOQHZQ,KGHFBRKQXY,RV,9201748,Rumex obtusifolius,1
1978,KOQHZQ,KGHFBRKQXY,RV,9202034,Taraxacum agg.,1
