"year","trans_quad","species","abundance","caps"
1990,"T1Q1","Aristida warburgii",0,"4774"
1990,"T1Q2","Aristida warburgii",0,"4774"
1990,"T1Q3","Aristida warburgii",0,"4774"
1990,"T1Q4","Aristida warburgii",0,"4774"
1990,"T1Q5","Aristida warburgii",0,"4774"
1990,"T1Q6","Aristida warburgii",0,"4774"
1990,"T1Q7","Aristida warburgii",0,"4774"
1990,"T2Q1","Aristida warburgii",0,"4774"
1990,"T2Q2","Aristida warburgii",0,"4774"
1990,"T2Q3","Aristida warburgii",0,"4774"
1990,"T2Q4","Aristida warburgii",0,"4774"
1990,"T2Q5","Aristida warburgii",0,"4774"
1990,"T2Q6","Aristida warburgii",0,"4774"
1990,"T2Q7","Aristida warburgii",0,"4774"
1990,"T3Q1","Aristida warburgii",0,"4774"
1990,"T3Q2","Aristida warburgii",0,"4774"
1990,"T3Q3","Aristida warburgii",0,"4774"
1990,"T3Q4","Aristida warburgii",0,"4774"
1990,"T3Q5","Aristida warburgii",0,"4774"
1990,"T3Q6","Aristida warburgii",0,"4774"
1990,"T3Q7","Aristida warburgii",0,"4774"
1990,"T4Q1","Aristida warburgii",0,"4774"
1990,"T4Q2","Aristida warburgii",0,"4774"
1990,"T4Q3","Aristida warburgii",0,"4774"
1990,"T4Q4","Aristida warburgii",0,"4774"
1990,"T4Q5","Aristida warburgii",0,"4774"
1990,"T4Q6","Aristida warburgii",0,"4774"
1990,"T4Q7","Aristida warburgii",0,"4774"
1990,"T5Q1","Aristida warburgii",0,"4774"
1990,"T5Q2","Aristida warburgii",0,"4774"
1990,"T5Q3","Aristida warburgii",0,"4774"
1990,"T5Q4","Aristida warburgii",0,"4774"
1990,"T5Q5","Aristida warburgii",0,"4774"
1990,"T5Q6","Aristida warburgii",0,"4774"
1990,"T5Q7","Aristida warburgii",0,"4774"
1990,"T6Q1","Aristida warburgii",0,"4774"
1990,"T6Q2","Aristida warburgii",0,"4774"
1990,"T6Q3","Aristida warburgii",0,"4774"
1990,"T6Q4","Aristida warburgii",0,"4774"
1990,"T6Q5","Aristida warburgii",0,"4774"
1990,"T6Q6","Aristida warburgii",0,"4774"
1990,"T6Q7","Aristida warburgii",0,"4774"
1990,"T7Q1","Aristida warburgii",0,"4774"
1990,"T7Q2","Aristida warburgii",0,"4774"
1990,"T7Q3","Aristida warburgii",0,"4774"
1990,"T7Q4","Aristida warburgii",0,"4774"
1990,"T7Q5","Aristida warburgii",0,"4774"
1990,"T7Q6","Aristida warburgii",0,"4774"
1990,"T7Q7","Aristida warburgii",0,"4774"
1990,"T8Q1","Aristida warburgii",0,"4774"
1990,"T8Q2","Aristida warburgii",0,"4774"
1990,"T8Q3","Aristida warburgii",0,"4774"
1990,"T8Q4","Aristida warburgii",0,"4774"
1990,"T8Q5","Aristida warburgii",0,"4774"
1990,"T8Q6","Aristida warburgii",0,"4774"
1990,"T8Q7","Aristida warburgii",0,"4774"
1991,"T1Q1","Aristida warburgii",0,"4774"
1991,"T1Q2","Aristida warburgii",0,"4774"
1991,"T1Q3","Aristida warburgii",0,"4774"
1991,"T1Q4","Aristida warburgii",0,"4774"
1991,"T1Q5","Aristida warburgii",0,"4774"
1991,"T1Q6","Aristida warburgii",0,"4774"
1991,"T1Q7","Aristida warburgii",0,"4774"
1991,"T2Q1","Aristida warburgii",0,"4774"
1991,"T2Q2","Aristida warburgii",0,"4774"
1991,"T2Q3","Aristida warburgii",0,"4774"
1991,"T2Q4","Aristida warburgii",0,"4774"
1991,"T2Q5","Aristida warburgii",0,"4774"
1991,"T2Q6","Aristida warburgii",0,"4774"
1991,"T2Q7","Aristida warburgii",0,"4774"
1991,"T3Q1","Aristida warburgii",0,"4774"
1991,"T3Q2","Aristida warburgii",0,"4774"
1991,"T3Q3","Aristida warburgii",0,"4774"
1991,"T3Q4","Aristida warburgii",0,"4774"
1991,"T3Q5","Aristida warburgii",0,"4774"
1991,"T3Q6","Aristida warburgii",0,"4774"
1991,"T3Q7","Aristida warburgii",0,"4774"
1991,"T4Q1","Aristida warburgii",0,"4774"
1991,"T4Q2","Aristida warburgii",0,"4774"
1991,"T4Q3","Aristida warburgii",0,"4774"
1991,"T4Q4","Aristida warburgii",0,"4774"
1991,"T4Q5","Aristida warburgii",0,"4774"
1991,"T4Q6","Aristida warburgii",0,"4774"
1991,"T4Q7","Aristida warburgii",0,"4774"
1991,"T5Q1","Aristida warburgii",0,"4774"
1991,"T5Q2","Aristida warburgii",0,"4774"
1991,"T5Q3","Aristida warburgii",0,"4774"
1991,"T5Q4","Aristida warburgii",0,"4774"
1991,"T5Q5","Aristida warburgii",0,"4774"
1991,"T5Q6","Aristida warburgii",0,"4774"
1991,"T5Q7","Aristida warburgii",0,"4774"
1991,"T6Q1","Aristida warburgii",0,"4774"
1991,"T6Q2","Aristida warburgii",0,"4774"
1991,"T6Q3","Aristida warburgii",0,"4774"
1991,"T6Q4","Aristida warburgii",0,"4774"
1991,"T6Q5","Aristida warburgii",0,"4774"
1991,"T6Q6","Aristida warburgii",0,"4774"
1991,"T6Q7","Aristida warburgii",0,"4774"
1991,"T7Q1","Aristida warburgii",0,"4774"
1991,"T7Q2","Aristida warburgii",0,"4774"
1991,"T7Q3","Aristida warburgii",0,"4774"
1991,"T7Q4","Aristida warburgii",0,"4774"
1991,"T7Q5","Aristida warburgii",0,"4774"
1991,"T7Q6","Aristida warburgii",0,"4774"
1991,"T7Q7","Aristida warburgii",0,"4774"
1991,"T8Q1","Aristida warburgii",0,"4774"
1991,"T8Q2","Aristida warburgii",0,"4774"
1991,"T8Q3","Aristida warburgii",0,"4774"
1991,"T8Q4","Aristida warburgii",0,"4774"
1991,"T8Q5","Aristida warburgii",0,"4774"
1991,"T8Q6","Aristida warburgii",0,"4774"
1991,"T8Q7","Aristida warburgii",0,"4774"
1992,"T1Q1","Aristida warburgii",0,"4774"
1992,"T1Q2","Aristida warburgii",0,"4774"
1992,"T1Q3","Aristida warburgii",0,"4774"
1992,"T1Q4","Aristida warburgii",0,"4774"
1992,"T1Q5","Aristida warburgii",0,"4774"
1992,"T1Q6","Aristida warburgii",0,"4774"
1992,"T1Q7","Aristida warburgii",0,"4774"
1992,"T2Q1","Aristida warburgii",0,"4774"
1992,"T2Q2","Aristida warburgii",0,"4774"
1992,"T2Q3","Aristida warburgii",0,"4774"
1992,"T2Q4","Aristida warburgii",0,"4774"
1992,"T2Q5","Aristida warburgii",0,"4774"
1992,"T2Q6","Aristida warburgii",0,"4774"
1992,"T2Q7","Aristida warburgii",0,"4774"
1992,"T3Q1","Aristida warburgii",0,"4774"
1992,"T3Q2","Aristida warburgii",0,"4774"
1992,"T3Q3","Aristida warburgii",0,"4774"
1992,"T3Q4","Aristida warburgii",0,"4774"
1992,"T3Q5","Aristida warburgii",0,"4774"
1992,"T3Q6","Aristida warburgii",0,"4774"
1992,"T3Q7","Aristida warburgii",0,"4774"
1992,"T4Q1","Aristida warburgii",0,"4774"
1992,"T4Q2","Aristida warburgii",0,"4774"
1992,"T4Q3","Aristida warburgii",0,"4774"
1992,"T4Q4","Aristida warburgii",0,"4774"
1992,"T4Q5","Aristida warburgii",0,"4774"
1992,"T4Q6","Aristida warburgii",0,"4774"
1992,"T4Q7","Aristida warburgii",0,"4774"
1992,"T5Q1","Aristida warburgii",0,"4774"
1992,"T5Q2","Aristida warburgii",0,"4774"
1992,"T5Q3","Aristida warburgii",0,"4774"
1992,"T5Q4","Aristida warburgii",0,"4774"
1992,"T5Q5","Aristida warburgii",0,"4774"
1992,"T5Q6","Aristida warburgii",0,"4774"
1992,"T5Q7","Aristida warburgii",0,"4774"
1992,"T6Q1","Aristida warburgii",0,"4774"
1992,"T6Q2","Aristida warburgii",0,"4774"
1992,"T6Q3","Aristida warburgii",0,"4774"
1992,"T6Q4","Aristida warburgii",0,"4774"
1992,"T6Q5","Aristida warburgii",0,"4774"
1992,"T6Q6","Aristida warburgii",0,"4774"
1992,"T6Q7","Aristida warburgii",0,"4774"
1992,"T7Q1","Aristida warburgii",0,"4774"
1992,"T7Q2","Aristida warburgii",2,"4774"
1992,"T7Q3","Aristida warburgii",0,"4774"
1992,"T7Q4","Aristida warburgii",0,"4774"
1992,"T7Q5","Aristida warburgii",0,"4774"
1992,"T7Q6","Aristida warburgii",0,"4774"
1992,"T7Q7","Aristida warburgii",0,"4774"
1992,"T8Q1","Aristida warburgii",0,"4774"
1992,"T8Q2","Aristida warburgii",0,"4774"
1992,"T8Q3","Aristida warburgii",0,"4774"
1992,"T8Q4","Aristida warburgii",0,"4774"
1992,"T8Q5","Aristida warburgii",0,"4774"
1992,"T8Q6","Aristida warburgii",0,"4774"
1992,"T8Q7","Aristida warburgii",0,"4774"
1993,"T1Q1","Aristida warburgii",0,"4774"
1993,"T1Q2","Aristida warburgii",0,"4774"
1993,"T1Q3","Aristida warburgii",0,"4774"
1993,"T1Q4","Aristida warburgii",0,"4774"
1993,"T1Q5","Aristida warburgii",0,"4774"
1993,"T1Q6","Aristida warburgii",0,"4774"
1993,"T1Q7","Aristida warburgii",0,"4774"
1993,"T2Q1","Aristida warburgii",0,"4774"
1993,"T2Q2","Aristida warburgii",0,"4774"
1993,"T2Q3","Aristida warburgii",0,"4774"
1993,"T2Q4","Aristida warburgii",0,"4774"
1993,"T2Q5","Aristida warburgii",0,"4774"
1993,"T2Q6","Aristida warburgii",0,"4774"
1993,"T2Q7","Aristida warburgii",0,"4774"
1993,"T3Q1","Aristida warburgii",0,"4774"
1993,"T3Q2","Aristida warburgii",0,"4774"
1993,"T3Q3","Aristida warburgii",0,"4774"
1993,"T3Q4","Aristida warburgii",0,"4774"
1993,"T3Q5","Aristida warburgii",0,"4774"
1993,"T3Q6","Aristida warburgii",0,"4774"
1993,"T3Q7","Aristida warburgii",0,"4774"
1993,"T4Q1","Aristida warburgii",0,"4774"
1993,"T4Q2","Aristida warburgii",0,"4774"
1993,"T4Q3","Aristida warburgii",0,"4774"
1993,"T4Q4","Aristida warburgii",0,"4774"
1993,"T4Q5","Aristida warburgii",0,"4774"
1993,"T4Q6","Aristida warburgii",0,"4774"
1993,"T4Q7","Aristida warburgii",0,"4774"
1993,"T5Q1","Aristida warburgii",0,"4774"
1993,"T5Q2","Aristida warburgii",0,"4774"
1993,"T5Q3","Aristida warburgii",0,"4774"
1993,"T5Q4","Aristida warburgii",0,"4774"
1993,"T5Q5","Aristida warburgii",0,"4774"
1993,"T5Q6","Aristida warburgii",0,"4774"
1993,"T5Q7","Aristida warburgii",0,"4774"
1993,"T6Q1","Aristida warburgii",0,"4774"
1993,"T6Q2","Aristida warburgii",0,"4774"
1993,"T6Q3","Aristida warburgii",0,"4774"
1993,"T6Q4","Aristida warburgii",0,"4774"
1993,"T6Q5","Aristida warburgii",0,"4774"
1993,"T6Q6","Aristida warburgii",0,"4774"
1993,"T6Q7","Aristida warburgii",0,"4774"
1993,"T7Q1","Aristida warburgii",0,"4774"
1993,"T7Q2","Aristida warburgii",1,"4774"
1993,"T7Q3","Aristida warburgii",0,"4774"
1993,"T7Q4","Aristida warburgii",0,"4774"
1993,"T7Q5","Aristida warburgii",0,"4774"
1993,"T7Q6","Aristida warburgii",0,"4774"
1993,"T7Q7","Aristida warburgii",0,"4774"
1993,"T8Q1","Aristida warburgii",0,"4774"
1993,"T8Q2","Aristida warburgii",3,"4774"
1993,"T8Q3","Aristida warburgii",0,"4774"
1993,"T8Q4","Aristida warburgii",0,"4774"
1993,"T8Q5","Aristida warburgii",0,"4774"
1993,"T8Q6","Aristida warburgii",0,"4774"
1993,"T8Q7","Aristida warburgii",0,"4774"
1994,"T1Q1","Aristida warburgii",0,"4774"
1994,"T1Q2","Aristida warburgii",0,"4774"
1994,"T1Q3","Aristida warburgii",0,"4774"
1994,"T1Q4","Aristida warburgii",0,"4774"
1994,"T1Q5","Aristida warburgii",0,"4774"
1994,"T1Q6","Aristida warburgii",0,"4774"
1994,"T1Q7","Aristida warburgii",0,"4774"
1994,"T2Q1","Aristida warburgii",0,"4774"
1994,"T2Q2","Aristida warburgii",0,"4774"
1994,"T2Q3","Aristida warburgii",0,"4774"
1994,"T2Q4","Aristida warburgii",0,"4774"
1994,"T2Q5","Aristida warburgii",0,"4774"
1994,"T2Q6","Aristida warburgii",0,"4774"
1994,"T2Q7","Aristida warburgii",0,"4774"
1994,"T3Q1","Aristida warburgii",0,"4774"
1994,"T3Q2","Aristida warburgii",0,"4774"
1994,"T3Q3","Aristida warburgii",0,"4774"
1994,"T3Q4","Aristida warburgii",0,"4774"
1994,"T3Q5","Aristida warburgii",0,"4774"
1994,"T3Q6","Aristida warburgii",0,"4774"
1994,"T3Q7","Aristida warburgii",0,"4774"
1994,"T4Q1","Aristida warburgii",0,"4774"
1994,"T4Q2","Aristida warburgii",0,"4774"
1994,"T4Q3","Aristida warburgii",0,"4774"
1994,"T4Q4","Aristida warburgii",0,"4774"
1994,"T4Q5","Aristida warburgii",0,"4774"
1994,"T4Q6","Aristida warburgii",0,"4774"
1994,"T4Q7","Aristida warburgii",0,"4774"
1994,"T5Q1","Aristida warburgii",0,"4774"
1994,"T5Q2","Aristida warburgii",0,"4774"
1994,"T5Q3","Aristida warburgii",0,"4774"
1994,"T5Q4","Aristida warburgii",0,"4774"
1994,"T5Q5","Aristida warburgii",0,"4774"
1994,"T5Q6","Aristida warburgii",0,"4774"
1994,"T5Q7","Aristida warburgii",0,"4774"
1994,"T6Q1","Aristida warburgii",0,"4774"
1994,"T6Q2","Aristida warburgii",0,"4774"
1994,"T6Q3","Aristida warburgii",0,"4774"
1994,"T6Q4","Aristida warburgii",0,"4774"
1994,"T6Q5","Aristida warburgii",0,"4774"
1994,"T6Q6","Aristida warburgii",0,"4774"
1994,"T6Q7","Aristida warburgii",0,"4774"
1994,"T7Q1","Aristida warburgii",0,"4774"
1994,"T7Q2","Aristida warburgii",0,"4774"
1994,"T7Q3","Aristida warburgii",0,"4774"
1994,"T7Q4","Aristida warburgii",0,"4774"
1994,"T7Q5","Aristida warburgii",0,"4774"
1994,"T7Q6","Aristida warburgii",0,"4774"
1994,"T7Q7","Aristida warburgii",0,"4774"
1994,"T8Q1","Aristida warburgii",0,"4774"
1994,"T8Q2","Aristida warburgii",0,"4774"
1994,"T8Q3","Aristida warburgii",0,"4774"
1994,"T8Q4","Aristida warburgii",0,"4774"
1994,"T8Q5","Aristida warburgii",0,"4774"
1994,"T8Q6","Aristida warburgii",0,"4774"
1994,"T8Q7","Aristida warburgii",0,"4774"
1999,"T1Q1","Aristida warburgii",0,"4774"
1999,"T1Q2","Aristida warburgii",0,"4774"
1999,"T1Q3","Aristida warburgii",0,"4774"
