species,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,23
Achillea millefolium,"","","","","","","","","",1,"","","",1,"","",+,1,"","","",""
Aconitum lycoctonum,"","","","",+,"","","","","",1,"","","","","","","","","","",""
Adenostyles alpina s.l.,"",+,1,1,+,1,+,"",2,"",1,"","","","","","","","","","",""
Aegopodium podagraria,"","","","","","","","","","","","","","","","","","","","","",""
Agrimonia eupatoria subsp. eupatoria,"","","","","","","","","","","","","","","","",+,"",+,"","",""
Aira elegantissima subsp. elegantissima,"","","","","","","","","",+,"","","","","","","","","","","",""
Ajuga reptans,"","","","","",+,"",+,"","",+,"","","","","","","",+,"","",+
Alchemilla vulgaris,"","","","",1,+,"",+,"","",+,"","","","","","","","","","",""
Allium ursinum,"","",1,"","","","","","","","","","","","","","","","","","",""
Anemonoides nemorosa,"","","","","",+,"","","","","","","",+,"","","","","","","",""
Anemonoides ranunculoides,+,"",+,"","","",+,"","","","","","","","","","","","","","",""
Anthoxanthum odoratum,"","","",+,"","","","","",1,"","","","",1,"",+,"",1,"",2,""
Aquilegia vulgaris,"","","","",1,"","","","","","","","","","","","","","","","",""
Arabis alpina s.l.,"","","","","","","","",2,"",2,"","","","","","","","","","",""
Arabis sagittata,"","","","","","","","","","","","","","","","",+,"","","","",""
Arctium lappa,"","",+,"","","","","","","","","","","","","","","","","","",""
Aremonia agrimonoides subsp. agrimonoides,"","",+,"","","","","","","","",+,+,"","","","","","","","",""
Arisarum proboscideum,"","","","","","","","","","","",+,"","","","","","","","","",""
Arum maculatum,"","","","","","","","","","","",+,"","","","","","","","","",""
Asarum europaeum,"","","","","","","","","","","",1,+,"","","","","","","","",""
Asperula purpurea,"","","","","","","","","","","","","","","",+,"","","","","",""
Asperula taurina subsp. taurina,"","","","","","","","",+,"","","","","","","","","","","","",""
Asplenium scolopendrium subsp. scolopendrium,"","","","","","","","",+,"","",1,"","","","","","","","","",""
Atropa bella-donna,+,"","","","","","","",+,"","","","","","","","","","","","",""
Bellidiastrum michelii,+,"","","","","","","","","","","","","","","",+,+,"","",+,""
Bellis perennis,"","","","","","","","","","","","","","",+,+,"","","","","",+
Betonica officinalis,"","","","","","","","","",+,"","","","",+,"",+,+,+,"","",+
Brachypodium rupestre,"","","","","","","","","",1,"","","","","","","","","","","",4
Brachypodium sylvaticum,"","","","","","","","",2,"","",+,"","","","",1,"",1,"",2,""
Bromopsis erecta s.l.,"","","","","","","","","",+,"","","","","",+,"","","","","",""
Bromopsis ramosa subsp. ramosa,"","","","","",1,"","",+,+,1,+,"","","","","","","","","",""
Bunium bulbocastanum,"","","","","","","","","","","","","","","",+,"","","","","",""
Calamagrostis varia,"","","","","","","","",1,"",+,+,"","","","","","","","","",""
Campanula rapunculus,"","","","","","","","","",+,"","","","","",+,+,"",+,"","",""
Campanula rotundifolia subsp. rotundifolia,"","","","","","","","","","","","","","","",+,"","","","","",""
Campanula trachelium,"","","","","","","","",2,"","","","","","","",+,"",+,"","",+
Cardamine bulbifera,+,"","","","","",+,+,+,"","","","","","","","","","","","",""
Cardamine heptaphylla,"","","",1,+,"","","",1,"","","","","","","","","","","","",""
Cardamine impatiens subsp. impatiens,"","","","","","",+,+,"","","","","","","","","","","","","",""
Carduus nutans s.l.,"","","","","","","","","","","","","","","",+,"","","","","",""
Carduus personata subsp. personata,"","","","","","","","","","",+,"","","","","","","","","","",""
Carduus pycnocephalus subsp. pycnocephalus,"","","","","","","","","","","","","","","","","","","","",+,""
