"id","visit_code","species","abundance","recapture","sex","age_cohort","trap_type","trap_number","tissue"
"19337","121-1-10-1","Antechinus stuartii",1,"No","Female","Adult","Elliott","1","No"
"19338","121-1-10-1","Antechinus stuartii",1,"No","Female","Adult","Elliott","6","No"
"19339","121-1-10-1","Antechinus stuartii",1,"No","Female","Adult","Elliott","9","No"
"19340","121-1-10-2","Antechinus stuartii",1,"Yes","Female","Adult","Elliott","9","No"
"19341","121-1-10-3","Antechinus stuartii",1,"Yes","Female","Adult","Elliott","9","No"
"19342","121-1-25-1","Rattus fuscipes",1,"No","Female","Adult","Elliott","2","No"
"19343","121-1-25-2","Rattus fuscipes",1,"No","Female","Subadult","Elliott","1","No"
"19344","121-1-25-2","Rattus fuscipes",1,"No","Male","Adult","Elliott","5","No"
"19345","121-1-25-2","Rattus fuscipes",1,"Yes","Female","Adult","Elliott","6","No"
"19346","121-1-25-2","Antechinus stuartii",1,"No","Female","Adult","Elliott","10","No"
"19347","121-1-25-3","Rattus fuscipes",1,"No","Female","Juvenile","Elliott","1","No"
"19348","121-1-25-3","Rattus fuscipes",1,"No","Male","Adult","Elliott","3","No"
"19349","121-1-25-3","Rattus fuscipes",1,"No","Female","Adult","Elliott","4","No"
"19350","121-1-25-3","Rattus fuscipes",1,"No","Male","Adult","Elliott","5","No"
"19351","121-1-25-3","Rattus fuscipes",1,"No","Male","Juvenile","Elliott","10","No"
"19680","121-1-43-1","Antechinus stuartii",1,"No","Female","Adult","Elliott","3","No"
"19681","121-1-43-1","Antechinus stuartii",1,"No","","","Elliott","8","No"
"19682","121-1-43-2","Trichosurus vulpecula",1,"No","Female","Adult","Large Cage","6","No"
"19683","121-1-43-3","Antechinus stuartii",1,"Yes","Female","Adult","Elliott","2","No"
"19684","121-1-43-3","Trichosurus vulpecula",1,"Yes","","","Small Cage","2",""
"19355","121-1-44-1","Rattus fuscipes",1,"No","","Adult","Elliott","3","No"
"19356","121-1-44-1","Antechinus stuartii",1,"No","Female","Adult","Elliott","4","No"
"19357","121-1-44-1","Antechinus stuartii",1,"No","Female","Adult","Elliott","7","No"
"19358","121-1-44-2","Antechinus stuartii",1,"No","Female","Adult","Elliott","6","No"
"19359","121-1-44-3","Rattus fuscipes",1,"No","Male","Adult","Elliott","2","No"
"19360","121-1-44-3","Rattus fuscipes",1,"No","Female","Subadult","Elliott","4","No"
"19361","121-1-44-3","Rattus fuscipes",1,"Yes","Female","Adult","Small Cage","4","No"
"19687","121-1-47-3","Rattus fuscipes",1,"No","Male","Adult","Elliott","4","No"
"19367","121-1-49-3","Antechinus stuartii",1,"No","","","Elliott","5","No"
"19369","121-1-50-2","Trichosurus vulpecula",1,"No","Female","Adult","Small Cage","4","No"
"19370","121-1-50-2","Trichosurus vulpecula",1,"No","Male","Adult","Large Cage","6","No"
"19371","121-1-50-3","Rattus fuscipes",1,"No","Female","","Elliott","8","No"
"19372","121-1-50-3","Trichosurus vulpecula",1,"Yes","Female","","Large Cage","6","No"
"19373","121-1-51-1","Antechinus stuartii",1,"No","Female","Adult","Elliott","1","No"
"19374","121-1-51-1","Antechinus stuartii",1,"No","Female","Adult","Elliott","3","No"
"19375","121-1-51-2","Antechinus stuartii",1,"No","Female","Adult","Elliott","1","No"
"19376","121-1-51-2","Antechinus stuartii",1,"Yes","Female","Adult","Elliott","3","No"
"19377","121-1-51-3","Antechinus stuartii",1,"Yes","Female","Adult","Elliott","2","No"
"19378","121-1-51-3","Antechinus stuartii",1,"No","Female","Adult","Elliott","3","No"
"19677","121-1-53-1","Rattus fuscipes",1,"No","Female","Adult","Small Cage","6","No"
"19382","121-1-54-1","Rattus fuscipes",1,"No","Female","Adult","Small Cage","3","No"
"19383","121-1-54-2","Antechinus stuartii",1,"No","Female","Adult","Elliott","2","No"
"19384","121-1-54-2","Rattus fuscipes",1,"No","Female","Adult","Elliott","6","No"
"19385","121-1-54-2","Trichosurus vulpecula",1,"Yes","","","Small Cage","1","No"
"19389","121-1-55-3","Antechinus stuartii",1,"No","Female","Adult","Elliott","6","No"
"19392","121-1-56-3","Antechinus stuartii",1,"No","Female","Adult","Elliott","10","No"
"19393","121-1-57-1","Antechinus stuartii",1,"No","Female","Adult","Elliott","3","No"
"19394","121-1-57-2","Antechinus stuartii",1,"No","Female","Adult","Elliott","5","No"
"19395","121-1-57-3","Antechinus stuartii",1,"Yes","Female","Adult","Elliott","3","No"
"19396","121-1-58-1","Antechinus stuartii",1,"No","Female","Adult","Elliott","7","No"
"19397","121-1-58-2","Antechinus stuartii",1,"No","Female","Adult","Elliott","4","No"
"19398","121-1-58-2","Rattus fuscipes",1,"No","Male","Adult","Elliott","7","No"
"19399","121-1-58-3","Antechinus stuartii",1,"Yes","Female","Adult","Elliott","5","No"
"19400","121-1-58-3","Antechinus stuartii",1,"Yes","","","Elliott","10","No"
"19401","121-1-58-3","Trichosurus vulpecula",1,"No","Female","Adult","Large Cage","1","No"
"19402","121-1-59-1","Rattus fuscipes",1,"No","Female","Adult","Elliott","5","No"
"19403","121-1-59-1","Tachyglossus aculeatus",1,"","","","Small Cage","5","No"
"19404","121-1-59-2","Rattus fuscipes",1,"Yes","","","Elliott","2","No"
"19405","121-1-59-3","Rattus fuscipes",1,"Yes","","","Elliott","1","No"
"19406","121-1-59-3","Trichosurus vulpecula",1,"No","Male","Adult","Large Cage","1","No"
"19325","121-1-6-1","Trichosurus vulpecula",1,"No","Male","Subadult","Large Cage","1","No"
"19326","121-1-6-2","Rattus fuscipes",1,"No","Male","Adult","Elliott","3","No"
"19327","121-1-6-3","Rattus fuscipes",1,"No","Female","Subadult","Elliott","3","No"
"19408","121-1-60-2","Rattus fuscipes",1,"No","Female","Adult","Elliott","10","No"
"19409","121-1-60-3","Perameles nasuta",1,"No","Female","Adult","Small Cage","3","No"
"19413","121-1-62-1","Trichosurus vulpecula",1,"No","Male","Adult","Large Cage","6","No"
"19415","121-1-62-3","Trichosurus vulpecula",1,"No","Female","Adult","Large Cage","6","No"
"19417","121-1-63-2","Trichosurus vulpecula",1,"No","Female","Adult","Small Cage","4","No"
"19418","121-1-63-3","Wallabia bicolor",1,"","","","Large Cage","6",""
"19420","121-1-64-2","Rattus fuscipes",1,"No","Male","Adult","Small Cage","4","No"
"19423","121-1-65-2","Rattus fuscipes",1,"No","Female","Subadult","Elliott","4","No"
"19424","121-1-65-3","Rattus fuscipes",1,"Yes","","Adult","Elliott","9","No"
"19328","121-1-8-1","Trichosurus vulpecula",1,"No","Male","Adult","Large Cage","1","No"
"19329","121-1-8-2","Rattus fuscipes",1,"Yes","Female","Subadult","Elliott","1","No"
"19330","121-1-8-2","Antechinus stuartii",1,"No","Female","Adult","Elliott","7","No"
"19331","121-1-8-3","Antechinus stuartii",1,"No","Male","Juvenile","Elliott","4","No"
"19336","121-1-9-3","Trichosurus vulpecula",1,"No","Male","Adult","Large Cage","1","No"
"19616","121-10-18-2","Rattus fuscipes",1,"Yes","Female","Adult","Elliott","7","No"
"19617","121-10-18-2","Rattus fuscipes",1,"No","Male","Adult","Elliott","10","No"
"19618","121-10-18-3","Rattus fuscipes",1,"Yes","Male","Adult","Elliott","7","No"
"19619","121-10-18-3","Rattus fuscipes",1,"Yes","","","Elliott","10","No"
"19620","121-10-32-1","Rattus fuscipes",1,"No","Female","Adult","Elliott","3","No"
"19621","121-10-32-1","Antechinus stuartii",1,"No","Female","Adult","Elliott","4","No"
"19622","121-10-32-1","Rattus fuscipes",1,"No","Female","Adult","Small Cage","3","No"
