"visit_code","date","year","survey_year","survey_season","site","trapping_night","date_of_last_fire","x_elliotts_open","x_cages_open","comments"
"161-10-12-1",2016-12-07,2016,"161","1617","site_10-12","1",1972-12-23,10,6,""
"161-10-12-2",2016-12-08,2016,"161","1617","site_10-12","2",1972-12-23,10,6,""
"161-10-12-3",2016-12-09,2016,"161","1617","site_10-12","3",1972-12-23,10,6,""
"161-10-17-1",2016-12-08,2016,"161","1617","site_10-17","1",1982-09-12,10,6,""
"161-10-17-2",2016-12-09,2016,"161","1617","site_10-17","2",1982-09-12,10,6,""
"161-10-17-3",2016-12-10,2016,"161","1617","site_10-17","3",1982-09-12,10,6,""
"161-10-18-1",2016-12-11,2016,"161","1617","site_10-18","1",1972-12-23,10,6,""
"161-10-18-2",2016-12-12,2016,"161","1617","site_10-18","2",1972-12-23,10,6,""
"161-10-18-3",2016-12-12,2016,"161","1617","site_10-18","3",1972-12-23,10,6,""
"161-10-20-1",2016-12-10,2016,"161","1617","site_10-20","1",1972-12-23,10,6,""
"161-10-20-2",2016-12-11,2016,"161","1617","site_10-20","2",1972-12-23,10,6,""
"161-10-20-3",2016-12-12,2016,"161","1617","site_10-20","3",1972-12-23,10,6,""
"161-10-5-1",2016-12-11,2016,"161","1617","site_10-5","1",2007-10-29,10,6,""
"161-10-5-2",2016-12-12,2016,"161","1617","site_10-5","2",2007-10-29,10,6,"Nil Captures"
"161-10-5-3",2016-12-13,2016,"161","1617","site_10-5","3",2007-10-29,10,6,"Nil Captures"
"161-10-71-1",2016-12-10,2016,"161","1617","site_10-71","1",1991-10-01,10,6,""
"161-10-71-2",2016-12-11,2016,"161","1617","site_10-71","2",1991-10-01,10,6,""
"161-10-71-3",2016-12-12,2016,"161","1617","site_10-71","3",1991-10-01,10,6,"Nil Captures"
"161-1-10-1",2016-12-07,2016,"161","1617","site_1-10","1",2003-12-22,10,6,""
"161-1-10-2",2016-12-08,2016,"161","1617","site_1-10","2",2003-12-22,10,6,""
"161-1-10-3",2016-12-09,2016,"161","1617","site_1-10","3",2003-12-22,10,6,""
"161-11-3-1",2016-12-11,2016,"161","1617","site_11-3","1",2003-12-22,10,6,"Nil captures"
"161-11-3-2",2016-12-12,2016,"161","1617","site_11-3","2",2003-12-22,10,6,""
"161-11-3-3",2016-12-13,2016,"161","1617","site_11-3","3",2003-12-22,10,6,""
"161-11-4-1",2016-12-09,2016,"161","1617","site_11-4","1",2002-01-02,10,6,""
"161-11-4-2",2016-12-10,2016,"161","1617","site_11-4","2",2002-01-02,10,6,"Nil Captures"
"161-11-4-3",2016-12-11,2016,"161","1617","site_11-4","3",2002-01-02,10,6,""
"161-1-25-1",2016-12-11,2016,"161","1617","site_1-25","1",NA,10,6,""
"161-1-25-2",2016-12-12,2016,"161","1617","site_1-25","2",NA,10,6,""
"161-1-25-3",2016-12-13,2016,"161","1617","site_1-25","3",NA,10,6,""
"161-12-8-1",2016-12-05,2016,"161","1617","site_12-8","1",NA,10,6,"Nil captures"
"161-12-8-2",2016-12-06,2016,"161","1617","site_12-8","2",NA,10,6,"Nil captures"
"161-12-8-3",2016-12-07,2016,"161","1617","site_12-8","3",NA,10,6,"Nil captures"
"161-12-A-1",2016-12-08,2016,"161","1617","site_12-A","1",2007-10-29,10,6,""
"161-12-A-2",2016-12-09,2016,"161","1617","site_12-A","2",2007-10-29,10,6,""
"161-12-A-3",2016-12-10,2016,"161","1617","site_12-A","3",2007-10-29,10,6,"Nil captures"
"161-12-C-1",2016-12-08,2016,"161","1617","site_12-C","1",2003-12-22,10,6,""
"161-12-C-2",2016-12-09,2016,"161","1617","site_12-C","2",2003-12-22,10,6,""
"161-12-C-3",2016-12-10,2016,"161","1617","site_12-C","3",2003-12-22,10,6,""
"161-1-33-1",2016-12-11,2016,"161","1617","site_1-33","1",2003-12-22,10,6,"Nil Captures"
"161-1-33-2",2016-12-12,2016,"161","1617","site_1-33","2",2003-12-22,10,6,"Nil Captures"
"161-1-33-3",2016-12-13,2016,"161","1617","site_1-33","3",2003-12-22,10,6,"Nil Captures"
"161-1-37-1",2016-12-08,2016,"161","1617","site_1-37","1",2007-10-29,10,6,""
"161-1-37-2",2016-12-09,2016,"161","1617","site_1-37","2",2007-10-29,10,6,""
"161-1-37-3",2016-12-10,2016,"161","1617","site_1-37","3",2007-10-29,10,6,""
"161-1-41-1",2016-12-08,2016,"161","1617","site_1-41","1",NA,10,6,""
"161-1-41-2",2016-12-09,2016,"161","1617","site_1-41","2",NA,10,6,""
"161-1-41-3",2016-12-10,2016,"161","1617","site_1-41","3",NA,10,6,""
"161-1-43-1",2016-12-11,2016,"161","1617","site_1-43","1",2003-12-22,10,6,""
"161-1-43-2",2016-12-12,2016,"161","1617","site_1-43","2",2003-12-22,10,6,""
"161-1-43-3",2016-12-12,2016,"161","1617","site_1-43","3",2003-12-22,10,6,""
"161-1-44-1",2016-12-11,2016,"161","1617","site_1-44","1",2003-12-22,10,6,""
"161-1-44-2",2016-12-12,2016,"161","1617","site_1-44","2",2003-12-22,10,6,""
"161-1-44-3",2016-12-13,2016,"161","1617","site_1-44","3",2003-12-22,10,6,""
"161-1-47-1",2016-12-05,2016,"161","1617","site_1-47","1",2007-10-24,10,6,""
"161-1-47-2",2016-12-06,2016,"161","1617","site_1-47","2",2007-10-24,10,6,""
"161-1-47-3",2016-12-06,2016,"161","1617","site_1-47","3",2007-10-24,10,6,""
"161-1-48-1",2016-12-05,2016,"161","1617","site_1-48","1",2007-10-24,10,6,"Nil captures"
"161-1-48-2",2016-12-06,2016,"161","1617","site_1-48","2",2007-10-24,10,6,"Nil captures"
"161-1-48-3",2016-12-07,2016,"161","1617","site_1-48","3",2007-10-24,10,6,""
"161-1-49-1",2016-12-12,2016,"161","1617","site_1-49","1",2009-03-24,10,6,""
"161-1-49-2",2016-12-13,2016,"161","1617","site_1-49","2",2009-03-24,10,6,"Nil Captures"
"161-1-49-3",2016-12-14,2016,"161","1617","site_1-49","3",2009-03-24,10,6,"Nil Captures"
"161-1-50-1",2016-12-09,2016,"161","1617","site_1-50","1",2009-03-24,10,5,""
"161-1-50-2",2016-12-10,2016,"161","1617","site_1-50","2",2009-03-24,10,5,""
"161-1-50-3",2016-12-11,2016,"161","1617","site_1-50","3",2009-03-24,10,6,""
"161-1-51-1",2016-12-12,2016,"161","1617","site_1-51","1",2001-03-01,10,6,""
"161-1-51-2",2016-12-12,2016,"161","1617","site_1-51","2",2001-03-01,10,6,""
"161-1-51-3",2016-12-14,2016,"161","1617","site_1-51","3",2001-03-01,10,6,""
"161-1-52-1",2016-12-08,2016,"161","1617","site_1-52","1",2007-10-29,10,6,"Nil captures"
"161-1-52-2",2016-12-09,2016,"161","1617","site_1-52","2",2007-10-29,10,6,""
"161-1-52-3",2016-12-10,2016,"161","1617","site_1-52","3",2007-10-29,10,6,""
"161-1-53-1",2016-12-08,2016,"161","1617","site_1-53","1",2007-10-29,10,6,""
"161-1-53-2",2016-12-09,2016,"161","1617","site_1-53","2",2007-10-29,10,6,""
"161-1-53-3",2016-12-10,2016,"161","1617","site_1-53","3",2007-10-29,10,6,"Nil captures"
"161-1-54-1",2016-12-08,2016,"161","1617","site_1-54","1",2005-09-14,10,6,""
"161-1-54-2",2016-12-09,2016,"161","1617","site_1-54","2",2005-09-14,10,6,""
"161-1-54-3",2016-12-10,2016,"161","1617","site_1-54","3",2005-09-14,10,6,""
"161-1-55-1",2016-12-08,2016,"161","1617","site_1-55","1",2007-10-29,10,6,"Nil captures"
"161-1-55-2",2016-12-09,2016,"161","1617","site_1-55","2",2007-10-29,10,6,"Nil captures"
"161-1-55-3",2016-12-10,2016,"161","1617","site_1-55","3",2007-10-29,10,6,""
"161-1-56-1",2016-12-08,2016,"161","1617","site_1-56","1",2007-10-29,10,6,""
"161-1-56-2",2016-12-09,2016,"161","1617","site_1-56","2",2007-10-29,10,6,""
"161-1-56-3",2016-12-10,2016,"161","1617","site_1-56","3",2007-10-29,10,6,""
"161-1-57-1",2016-12-12,2016,"161","1617","site_1-57","1",2001-03-01,10,6,""
"161-1-57-2",2016-12-13,2016,"161","1617","site_1-57","2",2001-03-01,10,6,""
"161-1-57-3",2016-12-14,2016,"161","1617","site_1-57","3",2001-03-01,10,6,""
"161-1-58-1",2016-12-09,2016,"161","1617","site_1-58","1",2014-05-15,10,6,""
"161-1-58-2",2016-12-10,2016,"161","1617","site_1-58","2",2014-05-15,10,6,""
"161-1-58-3",2016-12-11,2016,"161","1617","site_1-58","3",2014-05-15,10,6,""
"161-1-59-1",2016-12-09,2016,"161","1617","site_1-59","1",1986-10-09,10,6,""
"161-1-59-2",2016-12-10,2016,"161","1617","site_1-59","2",1986-10-09,10,6,""
"161-1-59-3",2016-12-11,2016,"161","1617","site_1-59","3",1986-10-09,10,6,""
"161-1-60-1",2016-12-12,2016,"161","1617","site_1-60","1",2009-03-24,10,6,""
"161-1-60-2",2016-12-13,2016,"161","1617","site_1-60","2",2009-03-24,10,6,""
"161-1-60-3",2016-12-14,2016,"161","1617","site_1-60","3",2009-03-24,10,6,""
"161-1-6-1",2016-12-11,2016,"161","1617","site_1-6","1",1994-08-01,10,6,""
"161-1-61-1",2016-12-09,2016,"161","1617","site_1-61","1",2002-01-02,10,6,"Nil Captures"
"161-1-61-2",2016-12-10,2016,"161","1617","site_1-61","2",2002-01-02,10,6,""
"161-1-61-3",2016-12-11,2016,"161","1617","site_1-61","3",2002-01-02,10,6,""
