"id","visit_code","veg_species","structural_layer","comments"
"12002","012-1-4-1","Notelaea ovata","Mid Storey",""
"12003","012-1-4-1","Monotoca elliptica","Mid Storey",""
"12004","012-1-4-1","Banksia serrata","Mid Storey",""
"12005","012-1-4-1","Marsdenia rostrata","Mid Storey",""
"12006","012-1-4-1","Eucalyptus pilularis","Overstorey",""
"12007","012-1-4-1","Schelhammera undulata","Understorey",""
"12008","012-1-4-1","Pteridium esculentum","Understorey",""
"12009","012-1-4-1","Pittosporum undulatum","Understorey",""
"12010","012-1-4-1","Parsonsia straminea","Understorey",""
"12011","012-1-4-1","Microlaena stipoides var. stipoides","Understorey",""
"12012","012-1-4-1","Lomandra longifolia","Understorey",""
"12013","012-1-4-1","Desmodium rhytidophyllum","Understorey",""
"12014","012-1-4-1","Imperata cylindrica var. major","Understorey",""
"12015","012-1-4-1","Hibbertia scandens","Understorey",""
"12016","012-1-4-1","Gonocarpus teucrioides","Understorey",""
"12017","012-1-4-1","Glycine clandestina","Understorey",""
"12018","012-1-4-1","Desmodium varians","Understorey",""
"12019","012-1-4-1","Acacia longissima","Understorey",""
"12020","012-1-4-1","Entolasia marginata","Understorey",""
"12021","012-1-4-1","Themeda australis","Understorey",""
"12022","012-1-4-1","Marsdenia rostrata","Understorey",""
"12023","012-1-4-1","Pratia purpurascens","Understorey",""
"12024","012-1-4-1","Notelaea ovata","Understorey",""
"12025","012-1-4-1","Clematis aristata","Understorey",""
"12026","012-1-4-1","Eucalyptus sp.","Understorey","seedling"
"12027","012-1-4-1","Synoum glandulosum","Understorey",""
"12028","012-1-4-1","Dianella caerulea","Understorey",""
"12029","012-1-4-1","Hardenbergia violacea","Understorey",""
"12030","012-1-4-1","Leucopogon lanceolatus","Understorey",""
"12031","012-1-4-1","Elaeocarpus reticulatus","Understorey",""
"12032","012-1-4-1","Billardiera scandens","Understorey",""
"12033","012-1-4-2","Monotoca elliptica","Mid Storey",""
"12034","012-1-4-2","Banksia integrifolia","Mid Storey",""
"12035","012-1-4-2","Eucalyptus pilularis","Overstorey",""
"12036","012-1-4-2","Banksia integrifolia","Overstorey",""
"12037","012-1-4-2","Schelhammera undulata","Understorey",""
"12038","012-1-4-2","Pteridium esculentum","Understorey",""
"12039","012-1-4-2","Pittosporum undulatum","Understorey",""
"12040","012-1-4-2","Parsonsia straminea","Understorey",""
"12041","012-1-4-2","Oplismenus aemulus","Understorey",""
"12042","012-1-4-2","Notelaea ovata","Understorey",""
"12043","012-1-4-2","Leucopogon lanceolatus","Understorey",""
"12044","012-1-4-2","Imperata cylindrica var. major","Understorey",""
"12045","012-1-4-2","Hibbertia scandens","Understorey",""
"12046","012-1-4-2","Gonocarpus teucrioides","Understorey",""
"12047","012-1-4-2","Dianella caerulea","Understorey",""
"12048","012-1-4-2","Desmodium varians","Understorey",""
"12049","012-1-4-2","Lagenifera stipitata","Understorey",""
"12050","012-1-4-2","Galium propinquum","Understorey",""
"12051","012-1-4-2","Entolasia marginata","Understorey",""
"12052","012-1-4-2","Themeda australis","Understorey",""
"12053","012-1-4-2","Elaeocarpus reticulatus","Understorey",""
"12054","012-1-4-2","Lomandra longifolia","Understorey",""
"12055","012-1-4-2","Corybas sp.","Understorey",""
"12056","012-1-4-2","Acianthus sp.","Understorey",""
"12057","012-1-4-2","Ficinia nodusa","Understorey",""
"12058","012-1-4-2","Glycine clandestina","Understorey",""
"12059","012-1-4-2","Poa labillardieri","Understorey",""
"12060","012-10-12-1","Leptospermum laevigatum","Mid Storey",""
"12061","012-10-12-1","Ficus coronata","Mid Storey",""
"12062","012-10-12-1","Corymbia gummifera","Mid Storey",""
"12063","012-10-12-1","Cissus hypoglauca","Mid Storey",""
"12064","012-10-12-1","Muellerina celastroides","Mid Storey",""
"12065","012-10-12-1","Banksia serrata","Mid Storey",""
"12066","012-10-12-1","Corymbia gummifera","Overstorey",""
"12067","012-10-12-1","Banksia integrifolia","Overstorey",""
"12068","012-10-12-1","Pteridium esculentum","Understorey",""
"12069","012-10-12-1","Poranthera microphylla","Understorey",""
"12070","012-10-12-1","Lomandra longifolia","Understorey",""
"12071","012-10-12-1","Imperata cylindrica var. major","Understorey",""
"12072","012-10-12-1","Hibbertia scandens","Understorey",""
"12073","012-10-12-1","Gahnia clarkei","Understorey",""
"12074","012-10-12-1","Eustrephus latifolius","Understorey",""
"12075","012-10-12-1","Dichondra repens","Understorey",""
"12076","012-10-12-1","Dianella caerulea","Understorey",""
"12077","012-10-12-1","Cissus hypoglauca","Understorey",""
"12078","012-10-12-1","Blechnum camfieldii","Understorey",""
"12079","012-10-12-1","Banksia integrifolia","Understorey",""
"12080","012-10-12-1","Lepidosperma concavum","Understorey",""
"12081","012-10-12-1","Pratia purpurascens","Understorey",""
"12082","012-10-12-1","Melanthera biflora","Understorey",""
"12083","012-10-12-1","Oplismenus aemulus","Understorey",""
"12084","012-10-12-1","Microlaena stipoides var. stipoides","Understorey",""
"12085","012-10-12-1","Glycine clandestina","Understorey",""
"12086","012-10-12-1","Desmodium varians","Understorey",""
"12087","012-10-12-1","Oxalis articulata","Understorey",""
"12088","012-10-12-1","Oplismenus imbecillis","Understorey",""
