"survey_year","survey_date","site_code","plot_number","species","status","abundance"
2012,2012-05-08,"1","1","Acacia dealbata","alive",0
2012,2012-05-08,"1","3","Acacia dealbata","alive",0
2012,2012-05-08,"1","2","Acacia dealbata","alive",0
2012,2012-05-08,"2","1","Acacia dealbata","alive",1
2012,2012-05-08,"2","2","Acacia dealbata","alive",1
2012,2012-05-08,"2","3","Acacia dealbata","alive",0
2012,2012-04-30,"3","3","Acacia dealbata","alive",0
2012,2012-04-30,"3","1","Acacia dealbata","alive",0
2012,2012-04-30,"3","2","Acacia dealbata","alive",0
2012,2012-05-08,"4","1","Acacia dealbata","alive",3
2012,2012-05-08,"4","2","Acacia dealbata","alive",3
2012,2012-05-08,"4","3","Acacia dealbata","alive",4
2012,2012-06-08,"5","1","Acacia dealbata","alive",0
2012,2012-06-08,"5","2","Acacia dealbata","alive",0
2012,2012-06-08,"5","3","Acacia dealbata","alive",0
2012,2012-05-08,"6","1","Acacia dealbata","alive",0
2012,2012-05-08,"6","2","Acacia dealbata","alive",9
2012,2012-05-08,"6","3","Acacia dealbata","alive",3
2012,2012-04-13,"7","3","Acacia dealbata","alive",10
2012,2012-04-13,"7","1","Acacia dealbata","alive",19
2012,2012-04-13,"7","2","Acacia dealbata","alive",13
2012,2012-06-08,"8","2","Acacia dealbata","alive",0
2012,2012-06-08,"8","3","Acacia dealbata","alive",0
2012,2012-06-08,"8","1","Acacia dealbata","alive",11
2012,2012-04-26,"11","1","Acacia dealbata","alive",0
2012,2012-04-26,"11","2","Acacia dealbata","alive",0
2012,2012-04-26,"11","3","Acacia dealbata","alive",0
2012,2012-05-17,"12","2","Acacia dealbata","alive",0
2012,2012-05-17,"12","3","Acacia dealbata","alive",0
2012,2012-05-17,"12","1","Acacia dealbata","alive",0
2012,2012-05-25,"15","1","Acacia dealbata","alive",0
2012,2012-05-25,"15","2","Acacia dealbata","alive",0
2012,2012-05-25,"15","3","Acacia dealbata","alive",0
2012,2012-05-29,"17","1","Acacia dealbata","alive",1
2012,2012-05-29,"17","2","Acacia dealbata","alive",6
2012,2012-05-29,"17","3","Acacia dealbata","alive",7
2012,2012-06-07,"18","1","Acacia dealbata","alive",1
2012,2012-06-07,"18","2","Acacia dealbata","alive",7
2012,2012-06-07,"18","3","Acacia dealbata","alive",2
2012,2012-05-23,"21","1","Acacia dealbata","alive",0
2012,2012-05-23,"21","2","Acacia dealbata","alive",0
2012,2012-05-23,"21","3","Acacia dealbata","alive",0
2012,2012-05-21,"22","2","Acacia dealbata","alive",0
2012,2012-05-21,"22","1","Acacia dealbata","alive",1
2012,2012-05-21,"22","3","Acacia dealbata","alive",0
2012,2012-05-18,"25","1","Acacia dealbata","alive",0
2012,2012-05-18,"25","2","Acacia dealbata","alive",0
2012,2012-05-18,"25","3","Acacia dealbata","alive",0
2012,2012-05-07,"27","1","Acacia dealbata","alive",0
2012,2012-05-07,"27","2","Acacia dealbata","alive",0
2012,2012-05-07,"27","3","Acacia dealbata","alive",0
2012,2012-07-12,"28","1","Acacia dealbata","alive",0
2012,2012-07-12,"28","2","Acacia dealbata","alive",5
2012,2012-07-12,"28","3","Acacia dealbata","alive",4
2012,2012-05-07,"29","1","Acacia dealbata","alive",2
2012,2012-05-07,"29","2","Acacia dealbata","alive",4
2012,2012-05-07,"29","3","Acacia dealbata","alive",5
2012,2012-07-12,"30","1","Acacia dealbata","alive",0
2012,2012-07-12,"30","2","Acacia dealbata","alive",0
2012,2012-07-12,"30","3","Acacia dealbata","alive",0
2012,2012-05-07,"32","1","Acacia dealbata","alive",4
2012,2012-05-07,"32","2","Acacia dealbata","alive",2
2012,2012-05-07,"32","3","Acacia dealbata","alive",0
2012,2012-04-03,"100","1","Acacia dealbata","alive",6
2012,2012-04-03,"100","2","Acacia dealbata","alive",6
2012,2012-04-03,"100","3","Acacia dealbata","alive",3
2012,2012-05-17,"101","1","Acacia dealbata","alive",2
2012,2012-05-17,"101","2","Acacia dealbata","alive",1
2012,2012-05-17,"101","3","Acacia dealbata","alive",5
2012,2012-04-02,"105","1","Acacia dealbata","alive",1
2012,2012-04-02,"105","2","Acacia dealbata","alive",3
2012,2012-04-02,"105","3","Acacia dealbata","alive",0
2012,2012-05-10,"107","1","Acacia dealbata","alive",0
2012,2012-05-10,"107","2","Acacia dealbata","alive",0
2012,2012-05-10,"107","3","Acacia dealbata","alive",0
2012,2012-05-08,"110","1","Acacia dealbata","alive",1
2012,2012-05-08,"110","2","Acacia dealbata","alive",0
2012,2012-05-08,"110","3","Acacia dealbata","alive",0
2012,2012-04-30,"111","1","Acacia dealbata","alive",3
2012,2012-04-30,"111","2","Acacia dealbata","alive",7
2012,2012-04-30,"111","3","Acacia dealbata","alive",0
2012,2012-05-10,"112","1","Acacia dealbata","alive",0
2012,2012-05-10,"112","2","Acacia dealbata","alive",0
2012,2012-05-10,"112","3","Acacia dealbata","alive",0
2012,2012-04-03,"119","1","Acacia dealbata","alive",0
2012,2012-04-03,"119","2","Acacia dealbata","alive",0
2012,2012-04-03,"119","3","Acacia dealbata","alive",0
2012,2012-07-06,"121","1","Acacia dealbata","alive",1
2012,2012-07-06,"121","2","Acacia dealbata","alive",0
2012,2012-07-06,"121","3","Acacia dealbata","alive",0
2012,2012-05-09,"126","1","Acacia dealbata","alive",5
2012,2012-05-09,"126","2","Acacia dealbata","alive",4
2012,2012-05-09,"126","3","Acacia dealbata","alive",1
2012,2012-07-06,"129","1","Acacia dealbata","alive",8
2012,2012-07-06,"129","2","Acacia dealbata","alive",4
2012,2012-07-06,"129","3","Acacia dealbata","alive",4
2012,2012-04-12,"136","1","Acacia dealbata","alive",0
2012,2012-04-12,"136","2","Acacia dealbata","alive",1
2012,2012-04-12,"136","3","Acacia dealbata","alive",0
2012,2015-04-13,"139","1","Acacia dealbata","alive",0
2012,2015-04-13,"139","2","Acacia dealbata","alive",2
2012,2015-04-13,"139","3","Acacia dealbata","alive",6
2012,2012-04-13,"142","1","Acacia dealbata","alive",0
2012,2012-04-13,"142","2","Acacia dealbata","alive",4
2012,2012-04-13,"142","3","Acacia dealbata","alive",2
2012,2012-06-06,"172","1","Acacia dealbata","alive",17
2012,2012-06-06,"172","2","Acacia dealbata","alive",0
2012,2012-06-06,"172","3","Acacia dealbata","alive",4
2012,2012-05-17,"176","1","Acacia dealbata","alive",1
2012,2012-05-17,"176","2","Acacia dealbata","alive",0
2012,2012-05-17,"176","3","Acacia dealbata","alive",0
2012,2012-07-11,"203","1","Acacia dealbata","alive",0
2012,2012-07-11,"203","2","Acacia dealbata","alive",0
2012,2012-07-11,"203","3","Acacia dealbata","alive",0
2012,2012-07-11,"215","1","Acacia dealbata","alive",0
2012,2012-07-11,"215","2","Acacia dealbata","alive",2
2012,2012-07-11,"215","3","Acacia dealbata","alive",6
2012,2012-05-07,"220","1","Acacia dealbata","alive",0
2012,2012-05-07,"220","2","Acacia dealbata","alive",0
2012,2012-05-07,"220","3","Acacia dealbata","alive",2
2012,2012-07-13,"221","1","Acacia dealbata","alive",0
2012,2012-07-13,"221","2","Acacia dealbata","alive",0
2012,2012-07-13,"221","3","Acacia dealbata","alive",0
2012,2012-07-13,"222","1","Acacia dealbata","alive",0
2012,2012-07-13,"222","2","Acacia dealbata","alive",0
2012,2012-07-13,"222","3","Acacia dealbata","alive",0
2012,2012-07-11,"233","1","Acacia dealbata","alive",0
2012,2012-07-11,"233","2","Acacia dealbata","alive",0
2012,2012-07-11,"233","3","Acacia dealbata","alive",0
2012,2012-06-01,"269","1","Acacia dealbata","alive",5
2012,2012-06-01,"269","2","Acacia dealbata","alive",2
2012,2012-06-01,"269","3","Acacia dealbata","alive",5
2012,2012-04-02,"274","1","Acacia dealbata","alive",1
2012,2012-04-02,"274","2","Acacia dealbata","alive",0
2012,2012-04-02,"274","3","Acacia dealbata","alive",0
2012,2012-05-17,"277","1","Acacia dealbata","alive",0
2012,2012-05-17,"277","2","Acacia dealbata","alive",0
2012,2012-05-17,"277","3","Acacia dealbata","alive",0
2012,2012-04-12,"278","1","Acacia dealbata","alive",1
2012,2012-04-12,"278","2","Acacia dealbata","alive",6
2012,2012-04-12,"278","3","Acacia dealbata","alive",0
2012,2012-07-13,"299","1","Acacia dealbata","alive",3
2012,2012-07-13,"299","2","Acacia dealbata","alive",3
2012,2012-07-13,"299","3","Acacia dealbata","alive",2
2012,2012-07-13,"300","1","Acacia dealbata","alive",0
2012,2012-07-13,"300","2","Acacia dealbata","alive",1
2012,2012-07-13,"300","3","Acacia dealbata","alive",0
2012,2012-06-01,"301","1","Acacia dealbata","alive",1
2012,2012-06-01,"301","2","Acacia dealbata","alive",0
2012,2012-06-01,"301","3","Acacia dealbata","alive",0
2012,2012-04-30,"302","1","Acacia dealbata","alive",0
