"visit_code_1","survey_year","survey_date","site_code","plot_number","seedling_height","species","abundance"
"2012-1",2012,2012-05-08,"1","1","0-10cm","Stellaria flaccida",10
"2012-1",2012,2012-05-08,"1","1","0-10cm","Hydrocotyle hirta",10
"2012-1",2012,2012-05-08,"1","1","0-10cm","Asperula euryphylla",6
"2012-1",2012,2012-05-08,"1","1","10-25cm","Polystichum proliferum",1
"2012-1",2012,2012-05-08,"1","1","10-25cm","Senecio velleioides",3
"2012-1",2012,2012-05-08,"1","1","25-50cm","Cassinia aculeata",2
"2012-1",2012,2012-05-08,"1","1","50-200cm","NULL",NA
"2012-1",2012,2012-05-08,"1","1","200-500cm","NULL",NA
"2012-1",2012,2012-05-08,"1","2","0-10cm","Stellaria flaccida",20
"2012-1",2012,2012-05-08,"1","2","0-10cm","Hydrocotyle hirta",10
"2012-1",2012,2012-05-08,"1","2","0-10cm","Geranium potentilloides",5
"2012-1",2012,2012-05-08,"1","2","10-25cm","Coprosma hirtella",1
"2012-1",2012,2012-05-08,"1","2","10-25cm","Acacia dealbata",1
"2012-1",2012,2012-05-08,"1","2","25-50cm","Dryopoa dives",6
"2012-1",2012,2012-05-08,"1","2","50-200cm","Senecio vagus",4
"2012-1",2012,2012-05-08,"1","2","200-500cm","NULL",NA
"2012-1",2012,2012-05-08,"1","3","0-10cm","Stellaria flaccida",4
"2012-1",2012,2012-05-08,"1","3","0-10cm","Eucalyptus regnans",1
"2012-1",2012,2012-05-08,"1","3","0-10cm","Geranium potentilloides",2
"2012-1",2012,2012-05-08,"1","3","10-25cm","Polystichum proliferum",3
"2012-1",2012,2012-05-08,"1","3","25-50cm","Polystichum proliferum",3
"2012-1",2012,2012-05-08,"1","3","25-50cm","Dryopoa dives",1
"2012-1",2012,2012-05-08,"1","3","25-50cm","Olearia phlogopappa",1
"2012-1",2012,2012-05-08,"1","3","50-200cm","NULL",NA
"2012-1",2012,2012-05-08,"1","3","200-500cm","Polystichum proliferum",2
"2012-1",2012,2012-05-08,"1","3","200-500cm","Senecio velleioides",1
"2012-2",2012,2012-05-08,"2","1","0-10cm","Hydrocotyle hirta",2
"2012-2",2012,2012-05-08,"2","1","10-25cm","Stellaria flaccida",1
"2012-2",2012,2012-05-08,"2","1","25-50cm","NULL",NA
"2012-2",2012,2012-05-08,"2","1","50-200cm","NULL",NA
"2012-2",2012,2012-05-08,"2","1","200-500cm","Eucalyptus regnans",6
"2012-2",2012,2012-05-08,"2","2","0-10cm","Hydrocotyle hirta",2
"2012-2",2012,2012-05-08,"2","2","10-25cm","Blechnum wattsii",2
