"visit_code_1","survey_year","survey_date","site_code","species"
"2012-1",2012,2012-05-08,"1","Acacia dealbata"
"2012-1",2012,2012-05-08,"1","Asperula euryphylla"
"2012-1",2012,2012-05-08,"1","Cassinia aculeata"
"2012-1",2012,2012-05-08,"1","Cirsium vulgare"
"2012-1",2012,2012-05-08,"1","Clematis aristata"
"2012-1",2012,2012-05-08,"1","Coprosma hirtella"
"2012-1",2012,2012-05-08,"1","Dicksonia antarctica"
"2012-1",2012,2012-05-08,"1","Dryopoa dives"
"2012-1",2012,2012-05-08,"1","Eucalyptus regnans"
"2012-1",2012,2012-05-08,"1","Geranium potentilloides"
"2012-1",2012,2012-05-08,"1","Histiopteris incisa"
"2012-1",2012,2012-05-08,"1","Hydrocotyle hirta"
"2012-1",2012,2012-05-08,"1","Lomatia fraseri"
"2012-1",2012,2012-05-08,"1","Mentha australis"
"2012-1",2012,2012-05-08,"1","Olearia phlogopappa"
"2012-1",2012,2012-05-08,"1","Poa ensiformis"
"2012-1",2012,2012-05-08,"1","Polyscias sambucifolia"
"2012-1",2012,2012-05-08,"1","Polystichum proliferum"
"2012-1",2012,2012-05-08,"1","Prostanthera lasianthos"
"2012-1",2012,2012-05-08,"1","Pteridium esculentum"
"2012-1",2012,2012-05-08,"1","Senecio vagus"
"2012-1",2012,2012-05-08,"1","Senecio velleioides"
"2012-1",2012,2012-05-08,"1","Stellaria flaccida"
"2012-1",2012,2012-05-08,"1","Urtica incisa"
"2012-1",2012,2012-05-08,"1","Zieria arborescens"
"2012-2",2012,2012-05-08,"2","Acacia dealbata"
"2012-2",2012,2012-05-08,"2","Australina pusilla"
"2012-2",2012,2012-05-08,"2","Bedfordia arborescens"
"2012-2",2012,2012-05-08,"2","Blechnum wattsii"
"2012-2",2012,2012-05-08,"2","Cassinia aculeata"
"2012-2",2012,2012-05-08,"2","Cassinia longifolia"
"2012-2",2012,2012-05-08,"2","Cirsium vulgare"
"2012-2",2012,2012-05-08,"2","Clematis aristata"
"2012-2",2012,2012-05-08,"2","Conyza bonariensis"
"2012-2",2012,2012-05-08,"2","Dicksonia antarctica"
"2012-2",2012,2012-05-08,"2","Dryopoa dives"
"2012-2",2012,2012-05-08,"2","Eucalyptus regnans"
"2012-2",2012,2012-05-08,"2","Histiopteris incisa"
"2012-2",2012,2012-05-08,"2","Hydrocotyle hirta"
"2012-2",2012,2012-05-08,"2","Nothofagus cunninghamii"
"2012-2",2012,2012-05-08,"2","Olearia phlogopappa"
"2012-2",2012,2012-05-08,"2","Polyscias sambucifolia"
"2012-2",2012,2012-05-08,"2","Polystichum proliferum"
"2012-2",2012,2012-05-08,"2","Pteridium esculentum"
"2012-2",2012,2012-05-08,"2","Senecio velleioides"
"2012-2",2012,2012-05-08,"2","Stellaria flaccida"
"2012-2",2012,2012-05-08,"2","Tetrarrhena juncea"
"2012-2",2012,2012-05-08,"2","Urtica incisa"
"2012-2",2012,2012-05-08,"2","Zieria arborescens"
"2012-3",2012,2012-04-30,"3","Acacia dealbata"
"2012-3",2012,2012-04-30,"3","Bedfordia arborescens"
"2012-3",2012,2012-04-30,"3","Blechnum nudum"
"2012-3",2012,2012-04-30,"3","Blechnum wattsii"
"2012-3",2012,2012-04-30,"3","Cassinia aculeata"
"2012-3",2012,2012-04-30,"3","Cassinia longifolia"
"2012-3",2012,2012-04-30,"3","Cirsium vulgare"
"2012-3",2012,2012-04-30,"3","Clematis aristata"
"2012-3",2012,2012-04-30,"3","Cyathea australis"
"2012-3",2012,2012-04-30,"3","Dicksonia antarctica"
"2012-3",2012,2012-04-30,"3","Eucalyptus nitens"
"2012-3",2012,2012-04-30,"3","Eucalyptus obliqua"
"2012-3",2012,2012-04-30,"3","Eucalyptus regnans"
"2012-3",2012,2012-04-30,"3","Geranium potentilloides"
"2012-3",2012,2012-04-30,"3","Gonocarpus humilis"
"2012-3",2012,2012-04-30,"3","Goodia lotifolia"
"2012-3",2012,2012-04-30,"3","Hydrocotyle hirta"
"2012-3",2012,2012-04-30,"3","Leptostigma reptans"
"2012-3",2012,2012-04-30,"3","Olearia argophylla"
"2012-3",2012,2012-04-30,"3","Olearia phlogopappa"
"2012-3",2012,2012-04-30,"3","Oxalis exilis"
"2012-3",2012,2012-04-30,"3","Poa ensiformis"
"2012-3",2012,2012-04-30,"3","Polystichum proliferum"
"2012-3",2012,2012-04-30,"3","Pomaderris aspera"
"2012-3",2012,2012-04-30,"3","Prunella vulgaris"
"2012-3",2012,2012-04-30,"3","Pteridium esculentum"
"2012-3",2012,2012-04-30,"3","Ranunculus plebeius"
"2012-3",2012,2012-04-30,"3","Rubus fruticosus"
"2012-3",2012,2012-04-30,"3","Sonchus oleraceus"
"2012-3",2012,2012-04-30,"3","Stellaria flaccida"
"2012-3",2012,2012-04-30,"3","Tetrarrhena juncea"
"2012-3",2012,2012-04-30,"3","Trifolium sp."
"2012-3",2012,2012-04-30,"3","Viola hederacea"
"2012-4",2012,2012-05-08,"4","Acacia dealbata"
"2012-4",2012,2012-05-08,"4","Acacia frigescens"
"2012-4",2012,2012-05-08,"4","Acaena novae-zelandiae"
"2012-4",2012,2012-05-08,"4","Blechnum wattsii"
"2012-4",2012,2012-05-08,"4","Clematis aristata"
"2012-4",2012,2012-05-08,"4","Dianella tasmanica"
"2012-4",2012,2012-05-08,"4","Dicksonia antarctica"
"2012-4",2012,2012-05-08,"4","Dryopoa dives"
"2012-4",2012,2012-05-08,"4","Eucalyptus regnans"
"2012-4",2012,2012-05-08,"4","Geranium potentilloides"
"2012-4",2012,2012-05-08,"4","Gonocarpus humilis"
"2012-4",2012,2012-05-08,"4","Hydrocotyle hirta"
"2012-4",2012,2012-05-08,"4","Leptostigma reptans"
"2012-4",2012,2012-05-08,"4","Lomatia fraseri"
"2012-4",2012,2012-05-08,"4","Nothofagus cunninghamii"
"2012-4",2012,2012-05-08,"4","Olearia phlogopappa"
"2012-4",2012,2012-05-08,"4","Oxalis exilis"
"2012-4",2012,2012-05-08,"4","Poa ensiformis"
"2012-4",2012,2012-05-08,"4","Polyscias sambucifolia"
"2012-4",2012,2012-05-08,"4","Polystichum proliferum"
"2012-4",2012,2012-05-08,"4","Poranthera microphylla"
"2012-4",2012,2012-05-08,"4","Prostanthera lasianthos"
"2012-4",2012,2012-05-08,"4","Pteridium esculentum"
"2012-4",2012,2012-05-08,"4","Rubus fruticosus"
"2012-4",2012,2012-05-08,"4","Senecio velleioides"
"2012-4",2012,2012-05-08,"4","Stellaria flaccida"
"2012-4",2012,2012-05-08,"4","Tasmannia lanceolata"
"2012-4",2012,2012-05-08,"4","Tetrarrhena juncea"
"2012-4",2012,2012-05-08,"4","Viola eminens"
"2012-4",2012,2012-05-08,"4","Viola hederacea"
"2012-4",2012,2012-05-08,"4","Zieria arborescens"
"2012-5",2012,2012-06-08,"5","Clematis aristata"
"2012-5",2012,2012-06-08,"5","Coprosma hirtella"
"2012-5",2012,2012-06-08,"5","Dianella tasmanica"
"2012-5",2012,2012-06-08,"5","Dicksonia antarctica"
"2012-5",2012,2012-06-08,"5","Dryopoa dives"
"2012-5",2012,2012-06-08,"5","Eucalyptus delegatensis"
"2012-5",2012,2012-06-08,"5","Lomatia fraseri"
"2012-5",2012,2012-06-08,"5","Nothofagus cunninghamii"
"2012-5",2012,2012-06-08,"5","Olearia phlogopappa"
"2012-5",2012,2012-06-08,"5","Pittosporum bicolor"
"2012-5",2012,2012-06-08,"5","Polyscias sambucifolia"
"2012-5",2012,2012-06-08,"5","Polystichum proliferum"
"2012-5",2012,2012-06-08,"5","Senecio velleioides"
"2012-5",2012,2012-06-08,"5","Stellaria flaccida"
"2012-6",2012,2012-05-08,"6","Acacia dealbata"
"2012-6",2012,2012-05-08,"6","Cassinia aculeata"
"2012-6",2012,2012-05-08,"6","Cyathea australis"
"2012-6",2012,2012-05-08,"6","Dicksonia antarctica"
"2012-6",2012,2012-05-08,"6","Eucalyptus regnans"
"2012-6",2012,2012-05-08,"6","Geranium potentilloides"
"2012-6",2012,2012-05-08,"6","Hydrocotyle hirta"
"2012-6",2012,2012-05-08,"6","Leptostigma reptans"
"2012-6",2012,2012-05-08,"6","Olearia phlogopappa"
"2012-6",2012,2012-05-08,"6","Oxalis exilis"
"2012-6",2012,2012-05-08,"6","Poa ensiformis"
"2012-6",2012,2012-05-08,"6","Polyscias sambucifolia"
"2012-6",2012,2012-05-08,"6","Polystichum proliferum"
"2012-6",2012,2012-05-08,"6","Prostanthera lasianthos"
"2012-6",2012,2012-05-08,"6","Pteridium esculentum"
"2012-6",2012,2012-05-08,"6","Rubus fruticosus"
"2012-6",2012,2012-05-08,"6","Sambucus gaudichaudiana"
"2012-6",2012,2012-05-08,"6","Senecio velleioides"
"2012-6",2012,2012-05-08,"6","Stellaria flaccida"
"2012-6",2012,2012-05-08,"6","Tasmannia lanceolata"
"2012-6",2012,2012-05-08,"6","Tetrarrhena juncea"
"2012-6",2012,2012-05-08,"6","Viola hederacea"
"2012-7",2012,2012-04-13,"7","Acacia dealbata"
"2012-7",2012,2012-04-13,"7","Blechnum wattsii"
"2012-7",2012,2012-04-13,"7","Clematis aristata"
"2012-7",2012,2012-04-13,"7","Dicksonia antarctica"
"2012-7",2012,2012-04-13,"7","Histiopteris incisa"
"2012-7",2012,2012-04-13,"7","Hydrocotyle hirta"
"2012-7",2012,2012-04-13,"7","Leptostigma reptans"
"2012-7",2012,2012-04-13,"7","Nothofagus cunninghamii"
"2012-7",2012,2012-04-13,"7","Oxalis exilis"
"2012-7",2012,2012-04-13,"7","Pittosporum bicolor"
"2012-7",2012,2012-04-13,"7","Poa ensiformis"
"2012-7",2012,2012-04-13,"7","Polystichum proliferum"
"2012-7",2012,2012-04-13,"7","Tetrarrhena juncea"
"2012-7",2012,2012-04-13,"7","Zieria arborescens"
"2012-8",2012,2012-06-08,"8","Acacia dealbata"
"2012-8",2012,2012-06-08,"8","Australina pusilla"
"2012-8",2012,2012-06-08,"8","Cassinia aculeata"
"2012-8",2012,2012-06-08,"8","Coprosma hirtella"
"2012-8",2012,2012-06-08,"8","Dicksonia antarctica"
"2012-8",2012,2012-06-08,"8","Dryopoa dives"
"2012-8",2012,2012-06-08,"8","Eucalyptus delegatensis"
"2012-8",2012,2012-06-08,"8","Geranium potentilloides"
"2012-8",2012,2012-06-08,"8","Hydrocotyle hirta"
"2012-8",2012,2012-06-08,"8","Mentha australis"
"2012-8",2012,2012-06-08,"8","Olearia argophylla"
"2012-8",2012,2012-06-08,"8","Olearia phlogopappa"
"2012-8",2012,2012-06-08,"8","Poa ensiformis"
"2012-8",2012,2012-06-08,"8","Polyscias sambucifolia"
"2012-8",2012,2012-06-08,"8","Polystichum proliferum"
"2012-8",2012,2012-06-08,"8","Prostanthera lasianthos"
"2012-8",2012,2012-06-08,"8","Pteridium esculentum"
"2012-8",2012,2012-06-08,"8","Stellaria flaccida"
"2012-8",2012,2012-06-08,"8","Urtica incisa"
"2012-11",2012,2012-04-26,"11","Acacia dealbata"
"2012-11",2012,2012-04-26,"11","Acacia obliquinervia"
"2012-11",2012,2012-04-26,"11","Cassinia longifolia"
"2012-11",2012,2012-04-26,"11","Correa lawrenciana"
"2012-11",2012,2012-04-26,"11","Cyathea australis"
"2012-11",2012,2012-04-26,"11","Eucalyptus obliqua"
"2012-11",2012,2012-04-26,"11","Eucalyptus regnans"
"2012-11",2012,2012-04-26,"11","Leionema bilobum"
"2012-11",2012,2012-04-26,"11","Leptospermum grandiflorum"
"2012-11",2012,2012-04-26,"11","Poa ensiformis"
"2012-11",2012,2012-04-26,"11","Polyscias sambucifolia"
"2012-11",2012,2012-04-26,"11","Pteridium esculentum"
"2012-11",2012,2012-04-26,"11","Tetrarrhena juncea"
"2012-11",2012,2012-04-26,"11","Zieria arborescens"
"2012-12",2012,2012-05-17,"12","Acacia obliquinervia"
"2012-12",2012,2012-05-17,"12","Clematis aristata"
"2012-12",2012,2012-05-17,"12","Dawsonia superba"
"2012-12",2012,2012-05-17,"12","Dicksonia antarctica"
"2012-12",2012,2012-05-17,"12","Eucalyptus nitens"
"2012-12",2012,2012-05-17,"12","Eucalyptus obliqua"
"2012-12",2012,2012-05-17,"12","Eucalyptus regnans"
"2012-12",2012,2012-05-17,"12","Eucalyptus viminalis"
"2012-12",2012,2012-05-17,"12","Gonocarpus humilis"
"2012-12",2012,2012-05-17,"12","Histiopteris incisa"
"2012-12",2012,2012-05-17,"12","Lepidosperma elatius"
"2012-12",2012,2012-05-17,"12","Lomatia fraseri"
"2012-12",2012,2012-05-17,"12","Olearia phlogopappa"
"2012-12",2012,2012-05-17,"12","Philotheca myoporoides"
"2012-12",2012,2012-05-17,"12","Pimelea axiflora"
"2012-12",2012,2012-05-17,"12","Polyscias sambucifolia"
"2012-12",2012,2012-05-17,"12","Polystichum proliferum"
"2012-12",2012,2012-05-17,"12","Prostanthera lasianthos"
"2012-12",2012,2012-05-17,"12","Prostanthera melissifolia"
"2012-12",2012,2012-05-17,"12","Pteridium esculentum"
"2012-12",2012,2012-05-17,"12","Tasmannia lanceolata"
"2012-12",2012,2012-05-17,"12","Tetrarrhena juncea"
"2012-12",2012,2012-05-17,"12","Viola hederacea"
"2012-12",2012,2012-05-17,"12","Zieria arborescens"
"2012-15",2012,2012-05-25,"15","Acacia frigescens"
"2012-15",2012,2012-05-25,"15","Blechnum wattsii"
