"",,BOA VISTA,PINHEIROS,SANTO ANTÔNIO,CHATO,GAVIÃO
"",SPECIES,,,,,
"",,2000s 2010s,2000s 2010s,2000s 2010s,2000s 2010s,2000s 2010s
NATIVE,,,,,,
Hyphessobrycon bifasciatus,,217,1,,1,1
"",Rhamdia quelen,27 1,6,,2,1
"",Hypostomus affinis,7,24 15,98 4,149 6,99 7
"",Gymnotus cf. carapo,19,21 14,16,6,1 3
"",Astyanax janeiroensis,93 20,38,363 9,41 79,1 21
"",Astyanax parahybae,,,1,,
Geophagus brasiliensis,,30,18,1367 15,31 22,3 1
"",Hoplias malabaricus,10 3,2,,,
"",Leporinus copelandii,1,,,,
"",Pimelodella vittata,2,,,,
Phalloceros cf. leptokeras,,100 1,,,,14
"",Trichomycterus sp.,8,201 12,2,1,6
Trichomycterus immaculatus,,,,1,,
"",Characidium sp.,3,,,,
"",Oligosarcus hepsetus,1,,,,
Microglanis cf. parahybae,,1,,,,
Neoplecostomus microps,,,12,,,
Rhamdioglanis transfasciatus,,,2 2,,,
"",Corydoras nattereri,6,,48,,
NON-NATIVE,,,,,,
Xiphophorus maculatus,,115 23,199 15,580 65,803 48,792 11
"",Xiphophorus hellerii,234 4,221 14,1178 27,949 16,983 2
