extracted from matthews_2016 DataS1 excel table. Piney Ck 12-site data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Season,Year,Station,Ichthyomyzon gagei,Lampetra aepyptera,Lethenteron appendix,Campostoma spp.,Chrosomus erythrogaster,Cyprinella galactura,Erimystax dissimilis,Hybopsis amblops,Luxilus chrysocephalus,Luxilus pilsbryi,Nocomis c.f. biguttatus,Notemigonus crysoleucas,Notropis boops,Notropis greenei,Notropis nubilus,Notropis ozarcanus,Notropis percobromus,Notropis sabinae,Notropis telescopus,Pimephales notatus,Pimeplales promelas,Semotilus atromaculatus,Carpiodes carpio,Erimyon oblongus,Hypentelium nigricans,Moxostoma duquesnei,Moxostoma erythrurum,Ameiurus natalis,Noturus albater,Noturus exilis,Fundulus catenatus,Fundulus olivaceus,Gambusia affinis,Labidesthes sicculus,Ambloplites constellatus,Lepomis cyanellus,Lepomis macrochirus,Lepomis megalotis,Lepomis microlophus,Micropterus dolomieu,Microperus punctulatus,Microperus salmoides,Etheostoma blennioides,Etheostoma caeruleum,Etheostoma spectabile,Etheostoma zonale,Cottus carolinae,Cottus immaculatus
sum,1972,p1,0,0,0,1,0,15,0,23,0,123,1,0,0,0,20,0,1,0,34,0,0,0,0,0,4,1,1,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
sum,1972,p2,0,0,0,4,0,13,0,1,0,79,4,0,0,0,9,1,8,0,100,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sum,1972,p4,0,0,0,0,0,16,0,0,0,54,1,0,0,0,3,0,18,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sum,1972,p5,0,0,0,1,0,32,0,0,0,219,2,0,19,0,0,0,19,0,261,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
sum,1972,p6,0,0,0,78,0,16,0,14,0,106,0,0,38,0,12,0,0,0,276,4,0,0,0,0,0,0,0,0,0,0,56,5,0,0,0,0,1,18,0,3,0,0,0,1,0,0,0,0
sum,1972,p7,0,0,0,1,0,50,0,5,0,2,0,0,13,0,0,0,0,0,23,19,0,0,0,0,0,0,0,0,0,0,3,17,0,0,0,1,6,9,1,1,0,0,0,0,0,0,0,0
sum,1972,p8,0,0,0,5,0,93,0,11,0,36,0,0,11,0,47,0,0,0,16,5,0,0,0,0,0,0,0,0,0,0,26,10,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0
sum,1972,p9,0,0,0,7,0,0,0,1,0,76,9,0,0,0,23,0,0,0,68,10,0,0,0,0,0,0,0,0,0,0,78,36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
sum,1972,p10,0,0,0,66,0,0,0,0,1,21,0,0,1,0,6,0,0,0,67,16,0,0,0,0,1,0,0,0,0,0,0,28,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
sum,1972,m1,0,0,0,10,0,1,0,0,0,37,0,0,0,0,21,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
