"codes","long_names"
"ACIL","Acilius"
"AEDE","Aedes"
"AESH","Aeshnidae"
"AESH2","Aeshna"
"AGAB","Agabus"
"ALON","Alonella"
"ANAB","Anabolia"
"ANAX","Anax"
"ANOS","Anostraca"
"APHY","Aplexa hypnorum"
"ARCR","Armiger crista"
"BAET","Baetis"
"BAGO","Bagous"
"BELO","Belostomatidae"
"BERO","Berosus"
"BRAN","Brachycentridae"
"BRLI","Branchinecta lindahli"
"BUEN","Buenoa"
"BUNO","Bunops serricaudata"
"CAEN","Caenis"
"CALA","Calanoida"
"CALI","Callicorixa"
"CALL","Callibaetis"
"CENO","Cenocorixa"
"CERA","Ceratopogonidae"
"CERC","Cercyon"
"CERI","Ceriodaphnia"
"CERN","Cernotina"
"CHAO","Chaoborus"
"CHIR3","Chironominae"
"CHYD","Chydorus"
"CLAD","Cladocera"
"COEN","Coenagrion"
"COLE","Coleoptera"
"COLO","Coptotomus longulus"
"COLY","Colymbetes"
"CONC","Laevicaudata"
"COPT","Coptotomus"
"CORI3","Corisella"
"COSC","Colymbetes sculptilis"
"COTA","Corisella tarsalis"
"CULE","Culex"
"CULI2","Culiseta"
"CURC","Curculionidae"
"CYCL","Cyclopoida"
"CYDO","Cymbiodyta dorsalis"
"CYMA","Cymatia"
"DAPH","Daphnia"
"DASY","Dasycorixa sp."
"DIAP","Diaphanosoma"
"DIXI","Dixidae"
"DOLI","Dolichopodidae"
"DYTI","Dytiscidae"
"DYTI2","Dytiscus"
"ELMI","Elmidae"
"ENAL","Enallagma"
"ENOC","Enochrus"
"ENTO","Entomobryidae"
"EPHY","Ephydridae"
"ERGA","Ergasilus"
"ERPO","Erpobdella"
"EUBU","Eubranchipus bundyi"
"EULA","Eurycercus lamellatus"
"EUOR","Eubranchipus ornatus"
"GAMM","Gammarus lacustris"
"GERR","Gerris"
"GLOS","Glossiphonia"
"GRAP","Graphoderus"
"GRAP2","Graptocorixa"
"GYCI","Gyraulus circumstriatus"
"GYPA","Gyraulus parvus"
"GYRI2","Gyrinus"
"HALI","Haliplus"
"HEAN","Helisoma anceps"
"HELO","Helophorus oblongus"
"HELO3","Helobdella"
"HELOL","Scirtidae"
"HESP","Hesperocorixa"
"HETR","Planorbella trivolvis"
"HOMO","Auchenorrhyncha"
"HYAL","Hyalella azteca"
"HYDA","Hydaticus"
"HYDR1","Hydrachnidae"
"HYDR3","Hydrochara"
"HYDR5","Hydroporus"
"HYDR6","Hydrobius"
"HYDR7","Hydrochus "
"HYFU","Hydrobius fuscipes"
"HYGR","Hygrotus"
"HYOB","Hydrochara obtusata"
"ILYB","Ilybius fraterculus"
"ISCH","Ischnura"
"ISOT","Isotomidae"
"LACC","Laccophilus"
"LACC2","Laccornis"
"LAMA","Laccophilus maculosus"
"LEAM","Lethocerus americanus"
"LEPI","Lepidoptera"
"LEPT","Leptoceridae"
"LEST2","Lestes"
"LEUC","Leucorrhinia"
"LIBE","Libellulidae"
"LIMN1","Limnephilidae"
"LIOD","Liodessus affinis"
"LYCA","Stagnicola caperata"
"LYEL","Stagnicola elodes"
"LYPA","Lymnaea palustris"
"LYRE","Stagnicola reflexa"
"LYST","Lymnaea stagnalis"
"MAPE","Mansonia perturbans"
"MESO","Mesoveliidae"
"MOIN","Moina macrocopa"
"MOLA","Molannidae"
"NECT","Nectopsyche"
"NEHA","Nehalennia"
"NEOP","Neoplea"
"NEPI","Nepidae"
"NOTO2","Notonecta"
"OLIG","Clitellata"
"ORTH2","Orthocladiinae"
"OSTR","Ostracoda"
"PALM","Palmacorixa"
"PARA","Paracymus"
"PASU","Paracymus subcupreus"
"PELT","Peltodytes"
"PHGY","Physa gyrina"
"PHJE","Physa jennessi"
"PHRY1","Phryganeidae"
"PISI","Pisidium"
"PLAC","Placobdella"
"PLCA","Planorbula campestris"
"PLEA","Paraplea"
"PODU","Poduridae"
"POLY","Polycentropodidae"
"PREX","Promenetus exacuous"
"PRUM","Promenetus umbilicatellus"
"PSCO","Pseudosuccinea columella"
"PSYC","Psychodidae"
"RAFU","Ranatra fusca"
"RHAN","Rhantus frontalis"
"SALD","immature Saldidae"
"SCAP","Scapholeberis"
"SIGA","Sigara"
"SIMO","Simocephalus"
"SMIN","Sminthuridae"
"SPHA","Sphaeridiinae"
"STAP","Staphylinidae"
"STRA","Stratiomyidae"
"STTE","Streptocephalus texanus"
"SYMP","Sympetrum"
"SYRP","Syrphidae"
"TABA","Tabanidae"
"TANY1","Tanypodinae"
"THER","Theromyzon"
"TIPU","Tipulidae"
"TRIC","Trichocorixa"
"TROP","Tropisternus"
"VALE","Valvata lewisi morph ontariensis"
"ZYGO","Zygoptera"
