"This table was prepared by Dr Roel van Klink to provide a taxonomical backbone to the taxa reported in Muschet et al 2017."
"","codes","long_names","Taxon","Phylum","Class","Subclass","Order","Suborder","Family","Subfamily","Genus","Species"
"1","ACIL","Acilius","Acilius","Arthropoda","Insecta","","Coleoptera","Adephaga","Dytiscidae","Dytiscinae","Acilius",""
"990","AEDE","Aedes","Aedes","Arthropoda","Insecta","","Diptera","Nematocera","Culicidae","Culicinae","Aedes",""
"1979","AESH2","Aeshna","Aeshna","Arthropoda","Insecta","","Odonata","Epiprocta","Aeshnidae","","Aeshna",""
"2968","AESH","Aeshnidae","Aeshnidae","Arthropoda","Insecta","","Odonata","Epiprocta","Aeshnidae","","",""
"3957","AGAB","Agabus","Agabus","Arthropoda","Insecta","","Coleoptera","Adephaga","Dytiscidae","Agabinae","Agabus",""
"4946","ALON","Alonella","Alonella","Arthropoda","Branchiopoda","","Diplostraca","Cladocera","Chydoridae","Alonella","Alonella",""
"5935","ANAB","Anabolia","Anabolia","Arthropoda","Insecta","","Trichoptera","Integripalpia","Limnephilidae","Limnephilinae","Anabolia",""
"6924","ANAX","Anax","Anax","Arthropoda","Insecta","","Odonata","Epiprocta","Aeshnidae","Anax","Anax",""
"7913","ANOS","Anostraca","Anostraca","Arthropoda","Branchiopoda","","Anostraca","","","","Anostraca",""
"8902","APHY","Aplexa hypnorum","Aplexa_hypnorum","Mollusca","Gastropoda","","","","Physidae","","Aplexa","hypnorum"
"9891","ARCR","Armiger crista","Armiger_crista","Mollusca","Gastropoda","","","","Planorbidae","","Armiger","crista"
"10880","HOMO","Auchenorrhyncha","Auchenorrhyncha","Arthropoda","Insecta","","Hemiptera","Auchenorrhyncha","","","",""
"11869","BAET","Baetis","Baetis","Arthropoda","Insecta","","Ephemeroptera","Pisciforma","Baetidae","","Baetis",""
"12858","BAGO","Bagous","Bagous","Arthropoda","Insecta","","Coleoptera","Polyphaga","Curculionidae","Bagoinae","Bagous",""
"13847","BELO","Belostomatidae","Belostomatidae","Arthropoda","Insecta","","Hemiptera","Heteroptera","Belostomatidae","","",""
"14836","BERO","Berosus","Berosus","Arthropoda","Insecta","","Coleoptera","Polyphaga","Hydrophilidae","Hydrophilinae","Berosus",""
"15825","BRAN","Brachycentridae","Brachycentridae","Arthropoda","Insecta","","Trichoptera","Integripalpia","Brachycentridae","","",""
"16814","BRLI","Branchinecta lindahli","Branchinecta_lindahli","Arthropoda","Branchiopoda","","Anostraca","","Branchinectidae","","Branchinecta","lindahli"
"17803","BUEN","Buenoa","Buenoa","Arthropoda","Insecta","","Hemiptera","Heteroptera","Notonectidae","Anisopinae","Buenoa",""
"18792","BUNO","Bunops serricaudata","Bunops_serricaudata","Arthropoda","Branchiopoda","","Diplostraca","Cladocera","Macrotrichidae","","Bunops","serricaudata"
"19781","CAEN","Caenis","Caenis","Arthropoda","Insecta","","Ephemeroptera","Furcatergalia","Caenidae","","Caenis",""
"20770","CALA","Calanoida","Calanoida","Arthropoda","Hexanauplia","","Calanoida","","","","",""
"21759","CALL","Callibaetis","Callibaetis","Arthropoda","Insecta","","Ephemeroptera","Pisciforma","Baetidae","","Callibaetis",""
"22748","CALI","Callicorixa","Callicorixa","Arthropoda","Insecta","","Hemiptera","Heteroptera","Corixidae","Corixinae","Callicorixa",""
"23737","CENO","Cenocorixa","Cenocorixa","Arthropoda","Insecta","","Hemiptera","Heteroptera","Corixidae","Corixinae","Cenocorixa",""
