WETLAND,TRANSECT,SPECIES,STAGE,SEX,COUNT,MONTH,DAY,YEAR
P01,A,PSMA,A,F,1,5,1,1992
P01,A,PSMA,A,M,2,5,1,1992
P02,A,AMMA,A,U,1,6,1,1992
P02,A,FROTAD,L,U,1,6,1,1992
P08,A,FROTAD,L,U,3,6,1,1992
P08,A,FROTAD,L,U,1,6,2,1992
P01,A,FROTAD,L,U,1,6,3,1992
P02,A,AMMA,A,F,1,6,3,1992
P06,A,RASY,A,U,1,6,3,1992
P01,A,FROTAD,L,U,1,6,4,1992
P02,A,FROTAD,L,U,1,6,4,1992
T02,A,THRA,A,U,1,6,4,1992
P02,A,FROTAD,L,U,1,7,1,1992
P06,A,PSMA,L,U,1,7,1,1992
P01,A,AMMA,A,F,1,7,2,1992
P08,A,AMMA,A,F,1,7,2,1992
P08,A,PSMA,L,U,1,7,2,1992
P02,A,PSMA,L,U,1,7,3,1992
P02,A,FROTAD,L,U,3,7,3,1992
P08,A,AMMA,A,M,1,7,4,1992
P11,A,AMMA,A,F,2,5,1,1993
P02,A,AMMA,A,F,1,5,2,1993
P08,A,AMMA,A,F,3,5,2,1993
P11,A,AMMA,A,F,1,5,2,1993
T02,A,PSMA,A,M,1,5,2,1993
P11,A,AMMA,A,M,1,5,3,1993
P08,A,AMMA,A,F,1,5,4,1993
P01,A,AMMA,A,F,1,6,1,1993
P11,A,AMMA,L,U,1,6,2,1993
P01,A,AMMA,A,M,1,6,3,1993
P08,A,AMMA,A,M,1,6,3,1993
P08,A,AMMA,L,U,1,6,3,1993
P08,A,FROTAD,L,U,2,6,3,1993
P11,A,AMMA,A,F,2,6,3,1993
P11,A,AMMA,A,M,1,6,3,1993
P08,A,AMMA,A,F,1,6,4,1993
P11,A,AMMA,A,F,1,6,4,1993
P11,A,AMMA,L,U,1,6,4,1993
P08,A,AMMA,L,U,12,7,1,1993
T02,A,AMMA,L,U,5,7,1,1993
P04,A,AMMA,A,F,1,7,2,1993
P08,A,AMMA,L,U,1,7,2,1993
P11,A,AMMA,L,U,11,7,2,1993
T02,A,AMMA,L,U,5,7,2,1993
P08,A,AMMA,L,U,4,7,3,1993
P11,A,AMMA,L,U,8,7,3,1993
T02,A,AMMA,L,U,3,7,3,1993
P08,A,AMMA,L,U,10,7,4,1993
P11,A,AMMA,L,U,4,7,4,1993
T02,A,AMMA,L,U,7,7,4,1993
T02,A,AMMA,A,U,1,8,1,1993
P11,A,AMMA,A,M,1,8,2,1993
T02,A,RAPI,A,F,1,8,2,1993
T06,A,RAPI,A,F,1,8,2,1993
P11,A,AMMA,A,F,1,8,3,1993
P11,A,AMMA,L,F,3,8,3,1993
T05,A,RASY,A,U,1,8,3,1993
P08,A,AMMA,A,F,1,8,4,1993
P08,A,AMMA,L,F,2,8,4,1993
P11,A,AMMA,A,F,1,8,4,1993
P11,A,AMMA,L,F,7,8,4,1993
P11,A,AMMA,L,M,2,8,4,1993
T02,A,AMMA,L,F,1,8,4,1993
T03,A,PSMA,A,F,1,8,4,1993
T09,A,AMMA,A,F,1,8,4,1993
P08,A,AMMA,L,F,2,9,1,1993
P11,A,AMMA,L,F,6,9,1,1993
P11,A,AMMA,L,M,2,9,1,1993
P08,A,AMMA,L,F,2,9,2,1993
P11,A,AMMA,L,F,3,9,2,1993
P11,A,AMMA,L,M,1,9,2,1993
P11,A,AMMA,L,F,6,9,3,1993
P11,A,AMMA,L,M,2,9,3,1993
P11,A,AMMA,L,U,1,9,3,1993
P11,A,AMMA,L,F,3,9,4,1993
P11,A,AMMA,L,M,3,9,4,1993
P01,A,AMMA,A,M,1,5,1,1994
P04,A,FROTAD,L,U,8,5,1,1994
P07,A,AMMA,A,M,2,5,1,1994
T03,A,FROTAD,L,U,1,5,1,1994
T04,A,FROTAD,L,U,2,5,1,1994
T06,A,FROTAD,L,U,4,5,1,1994
T09,A,FROTAD,L,U,1,5,1,1994
P01,A,AMMA,A,M,1,5,2,1994
