"OBSERVATION_TYPE","SITE_ID","DATE","VARIABLE_NAME","VARIABLE_UNITS","VALUE"
"ENV_VAR","PUPL01",NA,"longitude","dec.degrees","122.15966"
"ENV_VAR","PUPL02",NA,"longitude","dec.degrees","122.1598"
"ENV_VAR","PUPL03",NA,"longitude","dec.degrees","122.15995"
"ENV_VAR","PUPL04",NA,"longitude","dec.degrees","122.16009"
"ENV_VAR","PUPL05",NA,"longitude","dec.degrees","122.16026"
"ENV_VAR","PUPL06",NA,"longitude","dec.degrees","122.16035"
"ENV_VAR","PUPL07",NA,"longitude","dec.degrees","122.16022"
"ENV_VAR","PUPL08",NA,"longitude","dec.degrees","122.16017"
"ENV_VAR","PUPL09",NA,"longitude","dec.degrees","122.16007"
"ENV_VAR","PUPL10",NA,"longitude","dec.degrees","122.16011"
"ENV_VAR","PUPL11",NA,"longitude","dec.degrees","122.15998"
"ENV_VAR","PUPL12",NA,"longitude","dec.degrees","122.16013"
"ENV_VAR","PUPL01",NA,"latitude","dec.degrees","46.23413"
"ENV_VAR","PUPL02",NA,"latitude","dec.degrees","46.23365"
"ENV_VAR","PUPL03",NA,"latitude","dec.degrees","46.23322"
"ENV_VAR","PUPL04",NA,"latitude","dec.degrees","46.23285"
"ENV_VAR","PUPL05",NA,"latitude","dec.degrees","46.23241"
"ENV_VAR","PUPL06",NA,"latitude","dec.degrees","46.23194"
"ENV_VAR","PUPL07",NA,"latitude","dec.degrees","46.2315"
"ENV_VAR","PUPL08",NA,"latitude","dec.degrees","46.23102"
"ENV_VAR","PUPL09",NA,"latitude","dec.degrees","46.23056"
"ENV_VAR","PUPL10",NA,"latitude","dec.degrees","46.23016"
"ENV_VAR","PUPL11",NA,"latitude","dec.degrees","46.2297"
"ENV_VAR","PUPL12",NA,"latitude","dec.degrees","46.22931"
"TAXON_COUNT","PUPL01",1989,"Abilas","PERCENT_COVER","0"
"TAXON_COUNT","PUPL01",1990,"Abilas","PERCENT_COVER","0"
"TAXON_COUNT","PUPL01",1991,"Abilas","PERCENT_COVER","0"
"TAXON_COUNT","PUPL01",1992,"Abilas","PERCENT_COVER","0"
"TAXON_COUNT","PUPL01",1993,"Abilas","PERCENT_COVER","0"
"TAXON_COUNT","PUPL01",1994,"Abilas","PERCENT_COVER","0"
"TAXON_COUNT","PUPL01",1995,"Abilas","PERCENT_COVER","0"
"TAXON_COUNT","PUPL01",1996,"Abilas","PERCENT_COVER","0"
