"OBSERVATION_TYPE","SITE_ID","DATE","VARIABLE_UNITS","VARIABLE_NAME","VALUE"
"TAXON_COUNT","AA-17",2001,"count","ABTO",0
"TAXON_COUNT","AA-17",2002,"count","ABTO",0
"TAXON_COUNT","AA-17",2003,"count","ABTO",0
"TAXON_COUNT","AA-17",2004,"count","ABTO",0
"TAXON_COUNT","AA-17",2005,"count","ABTO",3
"TAXON_COUNT","AA-17",2006,"count","ABTO",1
"TAXON_COUNT","AA-17",2007,"count","ABTO",3
"TAXON_COUNT","AA-17",2008,"count","ABTO",2
"TAXON_COUNT","AA-17",2009,"count","ABTO",1
"TAXON_COUNT","AA-17",2010,"count","ABTO",2
"TAXON_COUNT","AA-17",2011,"count","ABTO",0
"TAXON_COUNT","AA-17",2012,"count","ABTO",0
"TAXON_COUNT","AA-17",2013,"count","ABTO",0
"TAXON_COUNT","AA-17",2014,"count","ABTO",1
"TAXON_COUNT","AA-17",2015,"count","ABTO",0
"TAXON_COUNT","AA-17",2016,"count","ABTO",0
"TAXON_COUNT","AA-20",2001,"count","ABTO",0
"TAXON_COUNT","AA-20",2002,"count","ABTO",0
"TAXON_COUNT","AA-20",2003,"count","ABTO",0
"TAXON_COUNT","AA-20",2004,"count","ABTO",0
"TAXON_COUNT","AA-20",2005,"count","ABTO",0
"TAXON_COUNT","AA-20",2006,"count","ABTO",0
"TAXON_COUNT","AA-20",2007,"count","ABTO",0
"TAXON_COUNT","AA-20",2008,"count","ABTO",0
"TAXON_COUNT","AA-20",2009,"count","ABTO",0
"TAXON_COUNT","AA-20",2010,"count","ABTO",0
"TAXON_COUNT","AA-20",2011,"count","ABTO",1
"TAXON_COUNT","AA-20",2012,"count","ABTO",0
"TAXON_COUNT","AA-20",2013,"count","ABTO",1
"TAXON_COUNT","AA-20",2014,"count","ABTO",0
"TAXON_COUNT","AA-20",2015,"count","ABTO",0
"TAXON_COUNT","AA-20",2016,"count","ABTO",1
"TAXON_COUNT","AB-19",2001,"count","ABTO",0
"TAXON_COUNT","AB-19",2002,"count","ABTO",0
"TAXON_COUNT","AB-19",2003,"count","ABTO",1
"TAXON_COUNT","AB-19",2004,"count","ABTO",2
"TAXON_COUNT","AB-19",2005,"count","ABTO",1
"TAXON_COUNT","AB-19",2006,"count","ABTO",2
"TAXON_COUNT","AB-19",2007,"count","ABTO",1
"TAXON_COUNT","AB-19",2008,"count","ABTO",0
"TAXON_COUNT","AB-19",2009,"count","ABTO",0
"TAXON_COUNT","AB-19",2010,"count","ABTO",2
"TAXON_COUNT","AB-19",2011,"count","ABTO",0
"TAXON_COUNT","AB-19",2012,"count","ABTO",0
"TAXON_COUNT","AB-19",2013,"count","ABTO",1
"TAXON_COUNT","AB-19",2014,"count","ABTO",0
"TAXON_COUNT","AB-19",2015,"count","ABTO",0
"TAXON_COUNT","AB-19",2016,"count","ABTO",1
"TAXON_COUNT","AC-16",2001,"count","ABTO",0
"TAXON_COUNT","AC-16",2002,"count","ABTO",0
"TAXON_COUNT","AC-16",2003,"count","ABTO",0
"TAXON_COUNT","AC-16",2004,"count","ABTO",0
"TAXON_COUNT","AC-16",2005,"count","ABTO",0
"TAXON_COUNT","AC-16",2006,"count","ABTO",0
"TAXON_COUNT","AC-16",2007,"count","ABTO",2
"TAXON_COUNT","AC-16",2008,"count","ABTO",1
"TAXON_COUNT","AC-16",2009,"count","ABTO",0
"TAXON_COUNT","AC-16",2010,"count","ABTO",1
"TAXON_COUNT","AC-16",2011,"count","ABTO",4
"TAXON_COUNT","AC-16",2012,"count","ABTO",2
"TAXON_COUNT","AC-16",2013,"count","ABTO",0
"TAXON_COUNT","AC-16",2014,"count","ABTO",1
"TAXON_COUNT","AC-16",2015,"count","ABTO",0
"TAXON_COUNT","AC-16",2016,"count","ABTO",1
"TAXON_COUNT","AD-10",2001,"count","ABTO",0
"TAXON_COUNT","AD-10",2002,"count","ABTO",0
"TAXON_COUNT","AD-10",2003,"count","ABTO",0
"TAXON_COUNT","AD-10",2004,"count","ABTO",0
"TAXON_COUNT","AD-10",2005,"count","ABTO",0
"TAXON_COUNT","AD-10",2006,"count","ABTO",0
"TAXON_COUNT","AD-10",2007,"count","ABTO",0
"TAXON_COUNT","AD-10",2008,"count","ABTO",0
"TAXON_COUNT","AD-10",2009,"count","ABTO",1
"TAXON_COUNT","AD-10",2010,"count","ABTO",1
"TAXON_COUNT","AD-10",2011,"count","ABTO",0
"TAXON_COUNT","AD-10",2012,"count","ABTO",0
"TAXON_COUNT","AD-10",2013,"count","ABTO",0
"TAXON_COUNT","AD-10",2014,"count","ABTO",0
"TAXON_COUNT","AD-10",2015,"count","ABTO",0
"TAXON_COUNT","AD-10",2016,"count","ABTO",0
"TAXON_COUNT","AD-21",2001,"count","ABTO",0
"TAXON_COUNT","AD-21",2002,"count","ABTO",0
"TAXON_COUNT","AD-21",2003,"count","ABTO",0
"TAXON_COUNT","AD-21",2004,"count","ABTO",0
"TAXON_COUNT","AD-21",2005,"count","ABTO",0
"TAXON_COUNT","AD-21",2006,"count","ABTO",0
"TAXON_COUNT","AD-21",2007,"count","ABTO",0
"TAXON_COUNT","AD-21",2008,"count","ABTO",2
"TAXON_COUNT","AD-21",2009,"count","ABTO",0
"TAXON_COUNT","AD-21",2010,"count","ABTO",0
"TAXON_COUNT","AD-21",2011,"count","ABTO",0
"TAXON_COUNT","AD-21",2012,"count","ABTO",0
"TAXON_COUNT","AD-21",2013,"count","ABTO",0
"TAXON_COUNT","AD-21",2014,"count","ABTO",0
"TAXON_COUNT","AD-21",2015,"count","ABTO",0
"TAXON_COUNT","AD-21",2016,"count","ABTO",0
"TAXON_COUNT","AE-23",2001,"count","ABTO",0
"TAXON_COUNT","AE-23",2002,"count","ABTO",2
"TAXON_COUNT","AE-23",2003,"count","ABTO",1
"TAXON_COUNT","AE-23",2004,"count","ABTO",2
"TAXON_COUNT","AE-23",2005,"count","ABTO",0
"TAXON_COUNT","AE-23",2006,"count","ABTO",3
"TAXON_COUNT","AE-23",2007,"count","ABTO",2
"TAXON_COUNT","AE-23",2008,"count","ABTO",2
"TAXON_COUNT","AE-23",2009,"count","ABTO",1
"TAXON_COUNT","AE-23",2010,"count","ABTO",0
"TAXON_COUNT","AE-23",2011,"count","ABTO",0
"TAXON_COUNT","AE-23",2012,"count","ABTO",0
"TAXON_COUNT","AE-23",2013,"count","ABTO",0
"TAXON_COUNT","AE-23",2014,"count","ABTO",2
"TAXON_COUNT","AE-23",2015,"count","ABTO",3
"TAXON_COUNT","AE-23",2016,"count","ABTO",3
"TAXON_COUNT","AF-12",2001,"count","ABTO",0
"TAXON_COUNT","AF-12",2002,"count","ABTO",0
