"OBSERVATION_TYPE","SITE_ID","DATE","VARIABLE_NAME","VARIABLE_UNITS","VALUE"
"SPATIAL_COORDINATE","ABUR",NA,"LAT","dec. degrees",34.400275
"SPATIAL_COORDINATE","AHND",NA,"LAT","dec. degrees",34.471817
"SPATIAL_COORDINATE","AQUE",NA,"LAT","dec. degrees",34.46774988
"SPATIAL_COORDINATE","BULL",NA,"LAT","dec. degrees",34.45850533
"SPATIAL_COORDINATE","CARP",NA,"LAT","dec. degrees",34.3916319
"SPATIAL_COORDINATE","GOLB",NA,"LAT","dec. degrees",34.4137165
"SPATIAL_COORDINATE","IVEE",NA,"LAT","dec. degrees",34.402783
"SPATIAL_COORDINATE","MOHK",NA,"LAT","dec. degrees",34.3940708
"SPATIAL_COORDINATE","NAPL",NA,"LAT","dec. degrees",34.4221216
"SPATIAL_COORDINATE","SCDI",NA,"LAT","dec. degrees",34.05865
"SPATIAL_COORDINATE","SCTW",NA,"LAT","dec. degrees",34.0444335
"SPATIAL_COORDINATE","ABUR",NA,"LONG","dec. degrees",-119.74459
"SPATIAL_COORDINATE","AHND",NA,"LONG","dec. degrees",-120.14261
"SPATIAL_COORDINATE","AQUE",NA,"LONG","dec. degrees",-120.11905
"SPATIAL_COORDINATE","BULL",NA,"LONG","dec. degrees",-120.33349
"SPATIAL_COORDINATE","CARP",NA,"LONG","dec. degrees",-119.54169
"SPATIAL_COORDINATE","GOLB",NA,"LONG","dec. degrees",-119.8221
"SPATIAL_COORDINATE","IVEE",NA,"LONG","dec. degrees",-119.85755
"SPATIAL_COORDINATE","MOHK",NA,"LONG","dec. degrees",-119.72957
"SPATIAL_COORDINATE","NAPL",NA,"LONG","dec. degrees",-119.95154
"SPATIAL_COORDINATE","SCDI",NA,"LONG","dec. degrees",-119.75763
"SPATIAL_COORDINATE","SCTW",NA,"LONG","dec. degrees",-119.71513
"ENV_VAR","ABUR",2002,"TEMP_MEAN_C","degrees C",15.0242322506767
"ENV_VAR","AHND",2002,"TEMP_MEAN_C","degrees C",15.1076735486656
"ENV_VAR","AQUE",2002,"TEMP_MEAN_C","degrees C",14.516654367127
"ENV_VAR","CARP",2002,"TEMP_MEAN_C","degrees C",15.1369279218843
"ENV_VAR","GOLB",2002,"TEMP_MEAN_C","degrees C",15.3999690984154
"ENV_VAR","IVEE",2002,"TEMP_MEAN_C","degrees C",14.6629423243176
"ENV_VAR","MOHK",2002,"TEMP_MEAN_C","degrees C",15.0302585617503
"ENV_VAR","NAPL",2002,"TEMP_MEAN_C","degrees C",14.6425653529558
"ENV_VAR","ABUR",2003,"TEMP_MEAN_C","degrees C",14.1504091303011
"ENV_VAR","AHND",2003,"TEMP_MEAN_C","degrees C",14.7675102609206
"ENV_VAR","AQUE",2003,"TEMP_MEAN_C","degrees C",13.6351388914473
"ENV_VAR","BULL",2003,"TEMP_MEAN_C","degrees C",13.9563909723014
"ENV_VAR","CARP",2003,"TEMP_MEAN_C","degrees C",14.8923954734365
"ENV_VAR","GOLB",2003,"TEMP_MEAN_C","degrees C",14.855385197499
"ENV_VAR","IVEE",2003,"TEMP_MEAN_C","degrees C",14.0961911966276
"ENV_VAR","MOHK",2003,"TEMP_MEAN_C","degrees C",14.7951060021679
"ENV_VAR","NAPL",2003,"TEMP_MEAN_C","degrees C",14.5314928691636
"ENV_VAR","ABUR",2004,"TEMP_MEAN_C","degrees C",15.0107994186047
"ENV_VAR","AHND",2004,"TEMP_MEAN_C","degrees C",14.8146413695594
"ENV_VAR","AQUE",2004,"TEMP_MEAN_C","degrees C",14.9836120925462
"ENV_VAR","BULL",2004,"TEMP_MEAN_C","degrees C",15.1195436628876
"ENV_VAR","CARP",2004,"TEMP_MEAN_C","degrees C",15.6466281123583
"ENV_VAR","GOLB",2004,"TEMP_MEAN_C","degrees C",15.6069621082621
"ENV_VAR","IVEE",2004,"TEMP_MEAN_C","degrees C",14.8615436356381
"ENV_VAR","MOHK",2004,"TEMP_MEAN_C","degrees C",15.4307618395917
"ENV_VAR","NAPL",2004,"TEMP_MEAN_C","degrees C",14.999066479202
"ENV_VAR","ABUR",2005,"TEMP_MEAN_C","degrees C",14.4362127878407
"ENV_VAR","AHND",2005,"TEMP_MEAN_C","degrees C",14.8911229774762
"ENV_VAR","AQUE",2005,"TEMP_MEAN_C","degrees C",14.6082530813937
"ENV_VAR","BULL",2005,"TEMP_MEAN_C","degrees C",14.2250017519271
"ENV_VAR","CARP",2005,"TEMP_MEAN_C","degrees C",15.04513242765
"ENV_VAR","GOLB",2005,"TEMP_MEAN_C","degrees C",15.0725409602101
"ENV_VAR","IVEE",2005,"TEMP_MEAN_C","degrees C",14.2617266967293
"ENV_VAR","MOHK",2005,"TEMP_MEAN_C","degrees C",14.4452045461052
"ENV_VAR","NAPL",2005,"TEMP_MEAN_C","degrees C",14.6951024309518
"ENV_VAR","ABUR",2006,"TEMP_MEAN_C","degrees C",14.5350337258489
"ENV_VAR","AHND",2006,"TEMP_MEAN_C","degrees C",14.5308745383057
"ENV_VAR","AQUE",2006,"TEMP_MEAN_C","degrees C",14.7383205387974
"ENV_VAR","BULL",2006,"TEMP_MEAN_C","degrees C",14.5205296182657
"ENV_VAR","CARP",2006,"TEMP_MEAN_C","degrees C",15.1657348727696
"ENV_VAR","GOLB",2006,"TEMP_MEAN_C","degrees C",15.0923674750357
"ENV_VAR","IVEE",2006,"TEMP_MEAN_C","degrees C",14.3939491907048
"ENV_VAR","MOHK",2006,"TEMP_MEAN_C","degrees C",15.0065381099303
"ENV_VAR","NAPL",2006,"TEMP_MEAN_C","degrees C",14.6084085720808
"ENV_VAR","ABUR",2007,"TEMP_MEAN_C","degrees C",13.9674977161128
"ENV_VAR","AHND",2007,"TEMP_MEAN_C","degrees C",13.9744518670778
"ENV_VAR","AQUE",2007,"TEMP_MEAN_C","degrees C",14.2245176490747
"ENV_VAR","BULL",2007,"TEMP_MEAN_C","degrees C",13.7291834113483
"ENV_VAR","CARP",2007,"TEMP_MEAN_C","degrees C",14.4414527889847
"ENV_VAR","GOLB",2007,"TEMP_MEAN_C","degrees C",14.6210657330666
"ENV_VAR","IVEE",2007,"TEMP_MEAN_C","degrees C",13.932250522466
"ENV_VAR","MOHK",2007,"TEMP_MEAN_C","degrees C",14.3267753447341
"ENV_VAR","NAPL",2007,"TEMP_MEAN_C","degrees C",14.2689405920808
"ENV_VAR","ABUR",2008,"TEMP_MEAN_C","degrees C",14.2395514807925
"ENV_VAR","AHND",2008,"TEMP_MEAN_C","degrees C",14.1320941243582
"ENV_VAR","AQUE",2008,"TEMP_MEAN_C","degrees C",14.4701826276834
"ENV_VAR","BULL",2008,"TEMP_MEAN_C","degrees C",13.3552830052375
"ENV_VAR","CARP",2008,"TEMP_MEAN_C","degrees C",14.961433612704
"ENV_VAR","GOLB",2008,"TEMP_MEAN_C","degrees C",14.5246382215644
"ENV_VAR","IVEE",2008,"TEMP_MEAN_C","degrees C",14.0954640701515
"ENV_VAR","MOHK",2008,"TEMP_MEAN_C","degrees C",15.0129764208697
"ENV_VAR","NAPL",2008,"TEMP_MEAN_C","degrees C",14.2278366068887
"ENV_VAR","ABUR",2009,"TEMP_MEAN_C","degrees C",14.4149882957465
"ENV_VAR","AHND",2009,"TEMP_MEAN_C","degrees C",14.4003111155572
"ENV_VAR","AQUE",2009,"TEMP_MEAN_C","degrees C",14.7098475679379
"ENV_VAR","BULL",2009,"TEMP_MEAN_C","degrees C",13.8919571355927
"ENV_VAR","CARP",2009,"TEMP_MEAN_C","degrees C",15.0218109111682
"ENV_VAR","GOLB",2009,"TEMP_MEAN_C","degrees C",15.0190045148779
"ENV_VAR","IVEE",2009,"TEMP_MEAN_C","degrees C",NA
"ENV_VAR","MOHK",2009,"TEMP_MEAN_C","degrees C",14.6521762062847
"ENV_VAR","NAPL",2009,"TEMP_MEAN_C","degrees C",14.5381563017532
"ENV_VAR","ABUR",2010,"TEMP_MEAN_C","degrees C",13.7706189636624
"ENV_VAR","AHND",2010,"TEMP_MEAN_C","degrees C",13.8403916187863
"ENV_VAR","AQUE",2010,"TEMP_MEAN_C","degrees C",13.8090334365102
"ENV_VAR","BULL",2010,"TEMP_MEAN_C","degrees C",13.4193667817385
"ENV_VAR","CARP",2010,"TEMP_MEAN_C","degrees C",14.413247261166
"ENV_VAR","GOLB",2010,"TEMP_MEAN_C","degrees C",14.3982200228064
"ENV_VAR","IVEE",2010,"TEMP_MEAN_C","degrees C",13.6411192760078
"ENV_VAR","MOHK",2010,"TEMP_MEAN_C","degrees C",14.2507552420552
"ENV_VAR","NAPL",2010,"TEMP_MEAN_C","degrees C",13.8738854933516
"ENV_VAR","ABUR",2011,"TEMP_MEAN_C","degrees C",14.0519238447203
"ENV_VAR","AHND",2011,"TEMP_MEAN_C","degrees C",13.8890225040475
"ENV_VAR","AQUE",2011,"TEMP_MEAN_C","degrees C",13.5640072021116
"ENV_VAR","BULL",2011,"TEMP_MEAN_C","degrees C",13.8949124065967
"ENV_VAR","CARP",2011,"TEMP_MEAN_C","degrees C",14.4389943428571
"ENV_VAR","GOLB",2011,"TEMP_MEAN_C","degrees C",14.3595077995543
"ENV_VAR","IVEE",2011,"TEMP_MEAN_C","degrees C",13.6207501357647
"ENV_VAR","MOHK",2011,"TEMP_MEAN_C","degrees C",14.2913356763244
"ENV_VAR","NAPL",2011,"TEMP_MEAN_C","degrees C",13.9455440726878
"ENV_VAR","ABUR",2012,"TEMP_MEAN_C","degrees C",14.1856539176627
"ENV_VAR","AHND",2012,"TEMP_MEAN_C","degrees C",15.6614292000782
"ENV_VAR","AQUE",2012,"TEMP_MEAN_C","degrees C",14.7405212787327
"ENV_VAR","BULL",2012,"TEMP_MEAN_C","degrees C",14.3904634348161
"ENV_VAR","CARP",2012,"TEMP_MEAN_C","degrees C",14.6802507788776
"ENV_VAR","GOLB",2012,"TEMP_MEAN_C","degrees C",15.1677201575612
"ENV_VAR","IVEE",2012,"TEMP_MEAN_C","degrees C",14.3412096363341
"ENV_VAR","MOHK",2012,"TEMP_MEAN_C","degrees C",15.3184786282495
"ENV_VAR","NAPL",2012,"TEMP_MEAN_C","degrees C",14.1072815549077
"ENV_VAR","ABUR",2013,"TEMP_MEAN_C","degrees C",15.012796394052
"ENV_VAR","AHND",2013,"TEMP_MEAN_C","degrees C",14.4474076661561
"ENV_VAR","AQUE",2013,"TEMP_MEAN_C","degrees C",14.8761473154266
"ENV_VAR","BULL",2013,"TEMP_MEAN_C","degrees C",14.2997920157713
"ENV_VAR","CARP",2013,"TEMP_MEAN_C","degrees C",15.4745796952306
"ENV_VAR","GOLB",2013,"TEMP_MEAN_C","degrees C",14.9545526075293
"ENV_VAR","IVEE",2013,"TEMP_MEAN_C","degrees C",15.0428545607398
"ENV_VAR","MOHK",2013,"TEMP_MEAN_C","degrees C",15.2085961467755
"ENV_VAR","NAPL",2013,"TEMP_MEAN_C","degrees C",14.7284142211544
"ENV_VAR","ABUR",2014,"TEMP_MEAN_C","degrees C",16.5263648835883
"ENV_VAR","AHND",2014,"TEMP_MEAN_C","degrees C",16.0961522592855
"ENV_VAR","AQUE",2014,"TEMP_MEAN_C","degrees C",16.3386758602876
"ENV_VAR","BULL",2014,"TEMP_MEAN_C","degrees C",16.4289466086532
"ENV_VAR","CARP",2014,"TEMP_MEAN_C","degrees C",17.3288809957273
"ENV_VAR","GOLB",2014,"TEMP_MEAN_C","degrees C",16.7023855507477
"ENV_VAR","IVEE",2014,"TEMP_MEAN_C","degrees C",16.9478402575502
"ENV_VAR","MOHK",2014,"TEMP_MEAN_C","degrees C",16.9567137226317
"ENV_VAR","NAPL",2014,"TEMP_MEAN_C","degrees C",16.4381047488428
"ENV_VAR","ABUR",2015,"TEMP_MEAN_C","degrees C",16.9528118426282
"ENV_VAR","AHND",2015,"TEMP_MEAN_C","degrees C",17.2034537298908
"ENV_VAR","AQUE",2015,"TEMP_MEAN_C","degrees C",16.8716323946105
"ENV_VAR","BULL",2015,"TEMP_MEAN_C","degrees C",16.6842386286233
"ENV_VAR","CARP",2015,"TEMP_MEAN_C","degrees C",16.7940900733395
"ENV_VAR","GOLB",2015,"TEMP_MEAN_C","degrees C",17.2548126938608
"ENV_VAR","IVEE",2015,"TEMP_MEAN_C","degrees C",16.0176424584977
"ENV_VAR","MOHK",2015,"TEMP_MEAN_C","degrees C",17.3884762718654
"ENV_VAR","NAPL",2015,"TEMP_MEAN_C","degrees C",17.003539445222
"ENV_VAR","ABUR",2016,"TEMP_MEAN_C","degrees C",15.1437321810206
"ENV_VAR","AHND",2016,"TEMP_MEAN_C","degrees C",15.5973421386641
"ENV_VAR","AQUE",2016,"TEMP_MEAN_C","degrees C",15.5097875579754
"ENV_VAR","BULL",2016,"TEMP_MEAN_C","degrees C",15.0104167855716
"ENV_VAR","CARP",2016,"TEMP_MEAN_C","degrees C",15.9207395948155
"ENV_VAR","GOLB",2016,"TEMP_MEAN_C","degrees C",15.6584175104009
"ENV_VAR","IVEE",2016,"TEMP_MEAN_C","degrees C",15.1991369724087
"ENV_VAR","MOHK",2016,"TEMP_MEAN_C","degrees C",16.2535408332272
"ENV_VAR","NAPL",2016,"TEMP_MEAN_C","degrees C",15.3690361896678
"ENV_VAR","ABUR",2017,"TEMP_MEAN_C","degrees C",13.9123258963696
"ENV_VAR","AHND",2017,"TEMP_MEAN_C","degrees C",13.9039197590239
"ENV_VAR","AQUE",2017,"TEMP_MEAN_C","degrees C",13.9177875947727
"ENV_VAR","BULL",2017,"TEMP_MEAN_C","degrees C",13.5155219042525
"ENV_VAR","CARP",2017,"TEMP_MEAN_C","degrees C",14.8444502155172
"ENV_VAR","GOLB",2017,"TEMP_MEAN_C","degrees C",14.4513232908459
"ENV_VAR","IVEE",2017,"TEMP_MEAN_C","degrees C",13.7683118480461
"ENV_VAR","MOHK",2017,"TEMP_MEAN_C","degrees C",14.2385899636844
"ENV_VAR","NAPL",2017,"TEMP_MEAN_C","degrees C",13.9558141242644
"TAXON_COUNT","ABUR",2001,"AB","g dry per m2",0
"TAXON_COUNT","ABUR",2001,"AL","g dry per m2",0
"TAXON_COUNT","ABUR",2001,"ANSP","g dry per m2",0.138552204707661
"TAXON_COUNT","ABUR",2001,"AR","g dry per m2",0
"TAXON_COUNT","ABUR",2001,"ARUD","g dry per m2",0
"TAXON_COUNT","ABUR",2001,"AS","g dry per m2",0.205116975
"TAXON_COUNT","ABUR",2001,"ATM","g dry per m2",0
"TAXON_COUNT","ABUR",2001,"BA","g dry per m2",0
"TAXON_COUNT","ABUR",2001,"BAEL","g dry per m2",0
"TAXON_COUNT","ABUR",2001,"BCAL","g dry per m2",0
"TAXON_COUNT","ABUR",2001,"BN","g dry per m2",0.02676588625
"TAXON_COUNT","ABUR",2001,"BOW","g dry per m2",0
"TAXON_COUNT","ABUR",2001,"BRSP","g dry per m2",0
"TAXON_COUNT","ABUR",2001,"CESP","g dry per m2",0
"TAXON_COUNT","ABUR",2001,"CHOV","g dry per m2",0
"TAXON_COUNT","ABUR",2001,"CHPR","g dry per m2",0
"TAXON_COUNT","ABUR",2001,"CILU","g dry per m2",0
"TAXON_COUNT","ABUR",2001,"CL","g dry per m2",0
"TAXON_COUNT","ABUR",2001,"COST","g dry per m2",0
"TAXON_COUNT","ABUR",2001,"CRGI","g dry per m2",0
"TAXON_COUNT","ABUR",2001,"CROC","g dry per m2",0
"TAXON_COUNT","ABUR",2001,"CUPI","g dry per m2",0
"TAXON_COUNT","ABUR",2001,"CUSP","g dry per m2",0
"TAXON_COUNT","ABUR",2001,"CY","g dry per m2",0
"TAXON_COUNT","ABUR",2001,"DC","g dry per m2",0
"TAXON_COUNT","ABUR",2001,"DIOR","g dry per m2",2.61822762625
"TAXON_COUNT","ABUR",2001,"DOFE","g dry per m2",0
"TAXON_COUNT","ABUR",2001,"ECB","g dry per m2",0
"TAXON_COUNT","ABUR",2001,"ES","g dry per m2",0
"TAXON_COUNT","ABUR",2001,"EUCL","g dry per m2",0
