"park","plot","quadrat","visit","percentage_cover","percentage_litter","percentage_rock","canopy_closure_index"
"Kakadu","1","0","T1",95,60,0,"0"
"Kakadu","1","2","T1",100,90,0,"0"
"Kakadu","1","4","T1",90,70,0,"0"
"Kakadu","1","6","T1",90,40,0,"0"
"Kakadu","1","8","T1",100,100,0,"0"
"Kakadu","1","10","T1",95,95,0,"1"
"Kakadu","1","12","T1",100,90,0,"2"
"Kakadu","1","14","T1",70,70,0,"1"
"Kakadu","1","16","T1",80,80,0,"2"
"Kakadu","1","18","T1",50,50,0,"2"
"Kakadu","1","20","T1",90,90,0,"2"
"Kakadu","1","22","T1",20,20,0,"2"
"Kakadu","1","24","T1",10,10,0,"2"
"Kakadu","1","26","T1",20,20,0,"2"
"Kakadu","1","28","T1",60,5,0,"2"
"Kakadu","1","30","T1",10,5,0,"2"
"Kakadu","1","32","T1",10,5,0,"2"
"Kakadu","1","34","T1",25,20,0,"2"
"Kakadu","1","36","T1",25,20,0,"2"
"Kakadu","1","38","T1",60,40,0,"2"
"Kakadu","1","40","T1",50,50,0,"2"
"Kakadu","1","42","T1",50,50,0,"2"
"Kakadu","1","44","T1",30,20,0,"2"
"Kakadu","1","46","T1",50,50,0,"2"
"Kakadu","1","48","T1",40,30,0,"2"
"Kakadu","1","50","T1",100,90,0,"1"
"Kakadu","1","52","T1",100,100,0,"1"
"Kakadu","1","54","T1",90,90,0,"1"
"Kakadu","1","56","T1",100,100,0,"1"
"Kakadu","1","58","T1",100,100,0,"1"
"Kakadu","1","60","T1",70,5,0,"1"
"Kakadu","1","62","T1",50,30,0,"1"
"Kakadu","1","64","T1",50,20,0,"1"
"Kakadu","1","66","T1",40,20,0,"2"
"Kakadu","1","68","T1",100,90,0,"2"
"Kakadu","1","70","T1",50,30,0,"1"
"Kakadu","1","72","T1",70,20,0,"2"
"Kakadu","1","74","T1",70,20,0,"2"
"Kakadu","1","76","T1",80,80,0,"2"
"Kakadu","1","78","T1",60,40,0,"2"
"Kakadu","1","80","T1",40,20,0,"2"
"Kakadu","1","82","T1",10,10,0,"2"
"Kakadu","1","84","T1",20,5,0,"2"
"Kakadu","1","86","T1",70,30,0,"1"
"Kakadu","1","88","T1",80,60,0,"1"
"Kakadu","1","90","T1",95,60,0,"0"
"Kakadu","1","92","T1",100,80,0,"0"
"Kakadu","1","94","T1",100,90,0,"0"
"Kakadu","1","96","T1",100,80,0,"1"
"Kakadu","1","98","T1",80,50,0,"0"
