"park","plot","visit","genus_species","count_less_than_50cm","count_50cm-2m","count_greater_than_2m"
"Kakadu","1","T1","Breynia cernua","0","7","0"
"Kakadu","1","T1","Clerodendrum costatum","0","3","1"
"Kakadu","1","T1","Flueggea virosa","0","1","0"
"Kakadu","1","T1","Glochidion sumatranum","31","28","1"
"Kakadu","1","T1","Grewia retusifolia","0","9","0"
"Kakadu","1","T1","Ixora timorensis","0","1","0"
"Kakadu","1","T1","Leea rubra","3","1","0"
"Kakadu","1","T1","Livistona mariae subsp. mariae","64","28","14"
"Kakadu","1","T1","Lophostemon lactifluus","0","1","0"
"Kakadu","1","T1","Pandanus spiralis","1","21","0"
"Kakadu","1","T1","Sesbania formosa","0","30","3"
"Kakadu","1","T1","Syzygium nervosum","2","1","0"
"Kakadu","1","T1","Terminalia microcarpa","2","8","1"
"Kakadu","1","T1","Terminalia platyphylla","0","0","1"
"Kakadu","1","T1","Timonius timon","1","2","2"
"Kakadu","1","T2","Clerodendrum costatum","0","3","0"
"Kakadu","1","T2","Glochidion sumatranum","49","0","0"
"Kakadu","1","T2","Livistona mariae subsp. mariae","0","88","40"
"Kakadu","1","T2","Pandanus spiralis","5","20","0"
"Kakadu","1","T2","Syzygium nervosum","6","0","0"
"Kakadu","1","T3","Carallia brachiata","0","0","2"
"Kakadu","1","T3","Clerodendrum costatum","0","3","0"
"Kakadu","1","T3","Glochidion sumatranum","0","20","4"
"Kakadu","1","T3","Livistona mariae subsp. mariae","0","1","21"
"Kakadu","1","T3","Pandanus spiralis","48","0","0"
"Kakadu","1","T3","Sesbania formosa","3","3","0"
"Kakadu","1","T3","Terminalia microcarpa","0","0","6"
"Kakadu","1","T3","Timonius timon","0","3","2"
"Kakadu","1","T5","Breynia cernua",NA,"1",NA
"Kakadu","1","T5","Carallia brachiata","2","2","2"
"Kakadu","1","T5","Clerodendrum costatum","8","1",NA
"Kakadu","1","T5","Flueggea virosa",NA,"1",NA
"Kakadu","1","T5","Glochidion sumatranum","50","20","3"
"Kakadu","1","T5","Gmelina sp.",NA,"2","2"
"Kakadu","1","T5","Grewia retusifolia","1",NA,NA
"Kakadu","1","T5","Leea novoguineensis",NA,"2",NA
"Kakadu","1","T5","Livistona mariae subsp. rigida",NA,"8","10"
"Kakadu","1","T5","Pandanus spiralis",NA,"33",NA
"Kakadu","1","T5","Sesbania formosa",NA,NA,NA
"Kakadu","1","T5","Syzygium nervosum","1","4","4"
"Kakadu","1","T5","Terminalia microcarpa","8","16","2"
"Kakadu","1","T5","Timonius timon","4","6","2"
"Kakadu","2","T1","Acacia mimula","0","16","3"
"Kakadu","2","T1","Alphitonia excelsa","0","1","0"
"Kakadu","2","T1","Brachychiton megaphyllus","0","1","0"
"Kakadu","2","T1","Buchanania obovata","3","9","0"
"Kakadu","2","T1","Clerodendrum floribundum","1","0","0"
"Kakadu","2","T1","Corymbia bleeseri","0","2","0"
"Kakadu","2","T1","Corymbia confertiflora","0","0","2"
"Kakadu","2","T1","Corymbia porrecta","2","11","0"
"Kakadu","2","T1","Erythrophleum chlorostachys","0","14","5"
"Kakadu","2","T1","Eucalyptus miniata","0","10","1"
"Kakadu","2","T1","Eucalyptus tetrodonta","0","24","1"
"Kakadu","2","T1","Galactia megalophylla","0","21","1"
"Kakadu","2","T1","Galactia megalophylla","7","0","0"
"Kakadu","2","T1","Grevillea decurrens","0","0","1"
"Kakadu","2","T1","Livistona humilis","0","6","0"
"Kakadu","2","T1","Pandanus spiralis","0","1","0"
"Kakadu","2","T1","Petalostigma quadriloculare","12","21","0"
"Kakadu","2","T1","Planchonia careya","2","18","0"
"Kakadu","2","T1","Terminalia ferdinandiana","0","1","4"
"Kakadu","2","T1","Xanthostemon paradoxus","0","1","2"
"Kakadu","2","T2","Acacia mimula","0","18","0"
"Kakadu","2","T2","Brachychiton megaphyllus","1","4","0"
"Kakadu","2","T2","Buchanania obovata","0","5","0"
"Kakadu","2","T2","Clerodendrum floribundum","0","1","0"
"Kakadu","2","T2","Corymbia bleeseri","0","2","0"
"Kakadu","2","T2","Corymbia confertiflora","0","16","0"
"Kakadu","2","T2","Corymbia porrecta","0","13","1"
"Kakadu","2","T2","Erythrophleum chlorostachys","1","12","1"
"Kakadu","2","T2","Eucalyptus miniata","1","7","0"
"Kakadu","2","T2","Eucalyptus tetrodonta","1","12","0"
"Kakadu","2","T2","Galactia megalophylla","0","24","0"
"Kakadu","2","T2","Livistona humilis","0","9","0"
"Kakadu","2","T2","Pandanus spiralis","0","5","0"
"Kakadu","2","T2","Petalostigma quadriloculare","5","20","0"
"Kakadu","2","T2","Planchonella arnhemica","0","1","0"
"Kakadu","2","T2","Planchonia careya","3","17","0"
"Kakadu","2","T2","Terminalia ferdinandiana","0","1","5"
"Kakadu","2","T2","Xanthostemon paradoxus","2","10","3"
"Kakadu","2","T3","Acacia mimula","0","21","5"
"Kakadu","2","T3","Alphitonia excelsa","0","1","0"
"Kakadu","2","T3","Brachychiton megaphyllus","2","3","0"
"Kakadu","2","T3","Buchanania obovata","7","0","0"
"Kakadu","2","T3","Clerodendrum floribundum","1","1","0"
"Kakadu","2","T3","Corymbia bleeseri","0","5","0"
"Kakadu","2","T3","Corymbia confertiflora","1","13","4"
"Kakadu","2","T3","Erythrophleum chlorostachys","6","8","2"
"Kakadu","2","T3","Eucalyptus miniata","2","4","4"
"Kakadu","2","T3","Eucalyptus tetrodonta","2","22","1"
"Kakadu","2","T3","Galactia megalophylla","3","20","0"
"Kakadu","2","T3","Grevillea decurrens","0","1","2"
"Kakadu","2","T3","Livistona humilis","2","10","2"
"Kakadu","2","T3","Petalostigma quadriloculare","16","6","0"
"Kakadu","2","T3","Planchonia careya","4","17","0"
"Kakadu","2","T3","Terminalia ferdinandiana","1","1","1"
"Kakadu","2","T3","Xanthostemon paradoxus","2","0","0"
"Kakadu","2","T5","Acacia mimula","1","5","4"
"Kakadu","2","T5","Alphitonia excelsa",NA,NA,NA
"Kakadu","2","T5","Brachychiton megaphyllus",NA,"1","1"
"Kakadu","2","T5","Buchanania obovata","4","11",NA
"Kakadu","2","T5","Clerodendrum floribundum",NA,"1",NA
"Kakadu","2","T5","Corymbia bleeseri",NA,NA,NA
"Kakadu","2","T5","Corymbia confertiflora","2","4","2"
"Kakadu","2","T5","Corymbia porrecta",NA,"1",NA
"Kakadu","2","T5","Erythrophleum chlorostachys","2","9","2"
"Kakadu","2","T5","Eucalyptus miniata",NA,"2","1"
"Kakadu","2","T5","Eucalyptus tetrodonta","3","7","5"
"Kakadu","2","T5","Galactia megalophylla",NA,"19",NA
"Kakadu","2","T5","Gossypium cunninghamii","6","4",NA
"Kakadu","2","T5","Grevillea decurrens",NA,"1","3"
"Kakadu","2","T5","Hibbertia sp.","1",NA,NA
"Kakadu","2","T5","Livistona humilis","2","10","2"
"Kakadu","2","T5","Petalostigma quadriloculare","19","14",NA
"Kakadu","2","T5","Planchonia careya","5","5",NA
"Kakadu","2","T5","Terminalia ferdinandiana",NA,"4",NA
"Kakadu","2","T5","Xanthostemon paradoxus","2",NA,NA
"Kakadu","3","T1","Corymbia latifolia","1","2","0"
"Kakadu","3","T1","Gardenia megasperma","0","1","0"
"Kakadu","3","T1","Terminalia platyphylla","4","6","0"
"Kakadu","3","T1","Wrightia saligna","1","0","0"
"Kakadu","3","T2","Corymbia latifolia","1","2","0"
"Kakadu","3","T2","Gardenia megasperma","0","2","0"
"Kakadu","3","T2","Terminalia carpentariae","3","21","0"
"Kakadu","3","T3","Buchanania obovata","1","0","0"
"Kakadu","3","T3","Corymbia latifolia","1","1","0"
"Kakadu","3","T3","Eucalyptus bigalerita","1","1","0"
"Kakadu","3","T3","Gardenia megasperma","0","0","1"
"Kakadu","3","T3","Terminalia carpentariae","9","1","0"
"Kakadu","3","T3","Terminalia platyphylla","1","6","2"
"Kakadu","3","T5","Buchanania obovata","2",NA,NA
