"park","plot","visit","genus_species","tag_no","height_m","fire_scar","dbh1","dbh2","dbh3","dbh4","dbh5","dbh6","dbh7","dbh8","dbh9","is_the_tree_dead"
"Kakadu","1","T1","Glochidion sumatranum","41",10,"1",12.4,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T1","Glochidion sumatranum","42",12,"1",23.5,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T1","Timonius timon","43",10,"1",15,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T1","Sesbania formosa","44",8,"1",9.4,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T1","Pandanus spiralis","45",7,"1",13,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T1","Livistona mariae subsp. mariae","46",20,"1",25.4,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T1","Timonius timon","47",12,"1",13,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T1","Glochidion sumatranum","48",5,"1",5.8,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T1","Terminalia microcarpa","49",8,"1",10,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T1","Terminalia microcarpa","50",6,"1",7.5,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T1","Sesbania formosa","51",15,"1",33.4,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T1","Sesbania formosa","52",12,"1",29.4,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T1","Timonius timon","53",12,"1",17.8,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T1","Pandanus spiralis","54",6,"1",15.4,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T1","Pandanus spiralis","55",7,"1",16.4,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T1","Terminalia microcarpa","56",10,"1",8.8,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T1","Terminalia microcarpa","57",10,"1",6.8,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T1","Terminalia microcarpa","58",12,"1",21,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T1","Pandanus spiralis","59",8,"1",9.5,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T1","Pandanus spiralis","60",5,"1",14,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T1","Sesbania formosa","69",5,"1",9.8,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T1","Sesbania formosa","70",8,"1",12.4,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T1","Sesbania formosa","71",8,"1",10,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T1","Sesbania formosa","72",10,"1",16.5,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T1","Sesbania formosa","73",5,"1",5.8,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T1","Timonius timon","74",4,"1",8.2,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T1","Sesbania formosa","75",5,"1",7.5,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T1","Sesbania formosa","76",5,"1",7.4,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T1","Terminalia microcarpa","77",12,"1",21,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T1","Timonius timon","78",10,"1",17.5,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T1","Glochidion sumatranum","79",8,"1",8,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T1","Timonius timon","80",10,"1",20.8,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T1","Timonius timon","81",9,"1",25.5,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T1","Sesbania formosa","82",9,"1",26.4,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T1","Livistona mariae subsp. mariae","83",13,"1",32.4,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T1","Livistona mariae subsp. mariae","84",15,"1",36,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T1","Livistona mariae subsp. mariae","85",30,"1",34.5,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T1","Livistona mariae subsp. mariae","86",25,"1",29.4,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
