"park","plot","visit","date","comments"
"Kakadu","1","T1",1995-02-20,""
"Kakadu","1","T2",2000-02-23,""
"Kakadu","1","T3",2005-02-28,""
"Kakadu","1","T5",2014-03-06,"Livistona with fibrous trunks (leaf bases retained) measured but not tagged. Many mature tree tags lost."
"Kakadu","2","T1",1995-02-20,""
"Kakadu","2","T2",2000-02-24,""
"Kakadu","2","T3",2005-02-28,""
"Kakadu","2","T5",2013-04-23,""
"Kakadu","3","T1",1994-12-13,""
"Kakadu","3","T2",2000-02-29,""
"Kakadu","3","T3",2005-11-18,""
"Kakadu","3","T5",2013-04-16,""
"Kakadu","4","T1",1995-01-17,""
"Kakadu","4","T2",1999-03-25,""
"Kakadu","4","T3",2004-03-02,""
"Kakadu","4","T4",2009-03-24,""
"Kakadu","4","T5",2013-04-16,""
"Kakadu","5","T1",1994-12-15,""
"Kakadu","5","T2",2000-02-29,""
"Kakadu","5","T3",2005-03-01,""
"Kakadu","5","T5",2014-02-25,""
"Kakadu","6","T1",1995-01-06,""
"Kakadu","6","T2",2000-02-28,""
"Kakadu","6","T3",2005-03-01,""
"Kakadu","6","T5",2013-04-16,""
"Kakadu","7","T1",1995-01-21,""
"Kakadu","7","T2",2000-02-16,""
"Kakadu","7","T3",2005-02-23,""
"Kakadu","7","T5",2013-04-16,""
"Kakadu","8","T1",1994-12-18,""
"Kakadu","8","T2",2000-03-01,""
"Kakadu","8","T3",2005-02-15,""
"Kakadu","8","T5",2013-04-16,""
"Kakadu","9","T1",1994-12-18,""
"Kakadu","9","T2",1999-04-14,""
"Kakadu","9","T3",2004-03-01,""
"Kakadu","9","T5",2013-04-16,""
"Kakadu","10","T1",1994-12-19,""
"Kakadu","10","T2",2000-02-28,""
"Kakadu","10","T3",2005-02-16,""
"Kakadu","10","T5",2014-02-24,""
"Kakadu","11","T1",1995-01-04,""
"Kakadu","11","T3",2005-02-16,""
"Kakadu","11","T4",2009-11-13,""
"Kakadu","11","T5",2013-04-16,""
"Kakadu","11","T2",1999-04-13,""
"Kakadu","12","T1",1995-01-07,""
"Kakadu","12","T2",2000-03-01,""
"Kakadu","12","T3",2005-04-01,""
"Kakadu","12","T5",2013-04-16,""
"Kakadu","13","T1",1995-01-16,""
"Kakadu","13","T2",2000-02-08,""
"Kakadu","13","T3",2005-02-24,""
"Kakadu","13","T5",2013-04-16,""
"Kakadu","14","T1",1995-01-04,""
"Kakadu","14","T2",2000-02-28,""
"Kakadu","14","T3",2004-03-01,""
"Kakadu","14","T4",2009-03-10,""
"Kakadu","14","T5",2013-04-16,""
"Kakadu","15","T1",1995-01-08,""
"Kakadu","15","T2",1999-04-14,""
"Kakadu","15","T3",2005-02-16,""
"Kakadu","15","T4",2009-03-09,""
"Kakadu","15","T5",2013-04-16,""
"Kakadu","16","T1",1995-01-19,""
"Kakadu","16","T2",2000-02-09,""
"Kakadu","16","T3",2005-03-01,""
"Kakadu","16","T5",2013-04-16,""
"Kakadu","17","T1",1995-01-08,""
"Kakadu","17","T2",2000-03-01,""
"Kakadu","17","T3",2005-11-18,""
"Kakadu","17","T5",2013-04-16,""
"Kakadu","18","T1",1995-02-06,""
"Kakadu","18","T2",2000-03-03,""
"Kakadu","18","T3",2005-02-21,""
"Kakadu","18","T5",2013-04-16,""
"Kakadu","19","T1",1995-01-09,""
"Kakadu","19","T2",2000-02-28,""
"Kakadu","19","T3",2005-11-18,""
"Kakadu","19","T5",2013-04-16,""
"Kakadu","20","T1",1995-01-06,""
"Kakadu","20","T2",1999-04-21,""
"Kakadu","20","T3",2004-02-24,""
"Kakadu","20","T4",2009-03-10,""
"Kakadu","20","T5",2013-04-16,""
"Kakadu","21","T1",1995-02-17,""
"Kakadu","21","T2",2000-02-10,""
"Kakadu","21","T3",2006-05-08,"re-sampled after 2005, too wet"
"Kakadu","21","T5",2013-04-16,""
"Kakadu","22","T1",1995-02-18,""
"Kakadu","22","T2",2000-02-10,""
"Kakadu","22","T3",2005-04-01,""
"Kakadu","23","T1",1994-12-17,""
"Kakadu","23","T2",2000-02-29,""
"Kakadu","23","T3",2005-04-01,""
"Kakadu","23","T5",2013-04-16,""
"Kakadu","24","T1",1995-02-17,""
"Kakadu","24","T2",2000-02-24,""
"Kakadu","24","T3",2005-03-01,""
"Kakadu","25","T1",1994-12-17,""
"Kakadu","25","T2",1999-04-14,""
"Kakadu","25","T3",2004-03-01,""
"Kakadu","25","T4",2009-03-09,""
"Kakadu","25","T5",2013-04-16,""
"Kakadu","26","T1",1995-02-08,""
"Kakadu","26","T2",1999-04-12,""
"Kakadu","26","T3",2004-02-25,""
"Kakadu","26","T4",2009-03-11,""
"Kakadu","26","T5",2014-05-08,""
"Kakadu","27","T1",1995-01-04,""
"Kakadu","27","T2",1999-04-22,""
"Kakadu","27","T3",2004-02-24,""
"Kakadu","27","T4",2009-03-10,""
"Kakadu","27","T5",2014-02-24,""
"Kakadu","28","T1",1995-01-22,""
"Kakadu","28","T2",2000-02-29,""
"Kakadu","28","T3",2005-04-01,""
"Kakadu","28","T5",2013-04-16,""
"Kakadu","29","T1",1995-02-01,""
"Kakadu","29","T2",1999-03-09,""
"Kakadu","29","T3",2004-02-22,""
"Kakadu","29","T4",2009-03-14,""
"Kakadu","29","T5",2014-02-27,""
"Kakadu","30","T1",1995-01-25,""
"Kakadu","30","T2",2000-03-03,""
"Kakadu","30","T3",2005-04-01,""
"Kakadu","30","T5",2013-04-16,""
"Kakadu","31","T1",1995-01-05,""
"Kakadu","31","T2",1999-04-19,""
"Kakadu","31","T3",2004-02-24,""
"Kakadu","31","T4",2009-03-10,""
"Kakadu","31","T5",2014-05-08,""
"Kakadu","32","T1",1994-12-16,""
"Kakadu","32","T2",2000-03-01,""
"Kakadu","32","T3",2005-02-15,""
"Kakadu","32","T5",2013-04-16,""
"Kakadu","33","T1",1995-01-06,""
"Kakadu","33","T2",2000-02-29,""
"Kakadu","33","T3",2005-02-14,""
"Kakadu","33","T5",2013-04-16,""
"Kakadu","34","T1",1994-12-14,""
"Kakadu","34","T2",2000-03-08,""
"Kakadu","34","T3",2005-02-16,""
"Kakadu","34","T5",2013-04-16,""
"Kakadu","36","T1",1994-12-15,""
"Kakadu","36","T2",2000-02-29,""
"Kakadu","36","T3",2005-02-14,""
"Kakadu","36","T5",2013-04-16,""
"Kakadu","37","T1",1995-01-07,""
"Kakadu","37","T2",2001-03-28,""
"Kakadu","37","T3",2005-02-15,"only 30 quadrats"
"Kakadu","37","T5",2013-04-16,""
"Kakadu","39","T1",1995-02-01,""
"Kakadu","39","T2",1999-03-09,""
"Kakadu","39","T3",2004-02-22,""
"Kakadu","39","T4",2009-03-14,""
"Kakadu","39","T5",2014-02-28,""
"Kakadu","40","T1",1994-12-14,""
"Kakadu","40","T2",2000-03-08,""
"Kakadu","40","T3",2005-02-16,""
"Kakadu","40","T5",2013-04-16,""
"Kakadu","41","T1",1995-01-03,""
"Kakadu","41","T2",1999-04-13,""
