"park","plot","visit","genus_species","quadrat","occurrence"
"Litchfield","1","T1","Lindsaea ensifolia","1",5
"Litchfield","1","T1","Scleria lingulata","5",1
"Litchfield","1","T1","Scleria lingulata","7",1
"Litchfield","1","T1","Scleria lingulata","8",5
"Litchfield","1","T1","Scleria lingulata","10",20
"Litchfield","1","T1","Scleria lingulata","11",1
"Litchfield","1","T1","Cynanchum pedunculatum","11",1
"Litchfield","1","T1","Scleria lingulata","13",5
"Litchfield","1","T1","Scleria lingulata","15",10
"Litchfield","1","T1","Scleria lingulata","16",1
"Litchfield","1","T1","Scleria lingulata","17",10
"Litchfield","1","T1","Blechnum orientale","18",5
"Litchfield","1","T1","Scleria lingulata","19",1
"Litchfield","1","T1","Scleria lingulata","20",5
"Litchfield","1","T1","Nymphaea sp.","21",1
"Litchfield","1","T1","Paspalum scrobiculatum","21",1
"Litchfield","1","T1","Cyperus haspan","22",1
"Litchfield","1","T1","Paspalum scrobiculatum","22",10
"Litchfield","1","T1","Cyperus haspan","23",5
"Litchfield","1","T1","Paspalum scrobiculatum","23",30
"Litchfield","1","T1","Paspalum scrobiculatum","24",40
"Litchfield","1","T1","Chrysopogon oliganthus","24",10
"Litchfield","1","T1","Chrysopogon oliganthus","25",15
"Litchfield","1","T1","Scleria lingulata","26",1
"Litchfield","1","T1","Paspalum scrobiculatum","26",1
"Litchfield","1","T1","Cyperus haspan","27",10
"Litchfield","1","T1","Fimbristylis pauciflora","27",15
"Litchfield","1","T1","Scleria lingulata","29",5
"Litchfield","1","T1","Lindsaea ensifolia","40",1
"Litchfield","1","T2","Dioscorea bulbifera","1",1
"Litchfield","1","T2","Flagellaria indica","1",1
"Litchfield","1","T2","Lindsaea ensifolia","1",1
"Litchfield","1","T2","Dioscorea bulbifera","2",1
"Litchfield","1","T2","Tylophora flexuosa","3",1
"Litchfield","1","T2","Helminthostachys zeylanica","5",1
"Litchfield","1","T2","Scleria lingulata","7",1
"Litchfield","1","T2","Scleria lingulata","9",1
"Litchfield","1","T2","Scleria lingulata","10",1
"Litchfield","1","T2","Scleria lingulata","13",1
"Litchfield","1","T2","Blechnum orientale","15",1
"Litchfield","1","T2","Scleria lingulata","15",5
"Litchfield","1","T2","Scleria lingulata","16",10
"Litchfield","1","T2","Blechnum orientale","17",5
"Litchfield","1","T2","Scleria lingulata","17",1
"Litchfield","1","T2","Scleria lingulata","18",10
"Litchfield","1","T2","Blechnum orientale","18",5
"Litchfield","1","T2","Scleria lingulata","19",5
"Litchfield","1","T2","Blechnum orientale","19",10
"Litchfield","1","T2","Cyperus haspan","23",10
"Litchfield","1","T2","Scleria lingulata","23",5
"Litchfield","1","T2","Scleria lingulata","24",40
"Litchfield","1","T2","Chrysopogon oliganthus","25",30
"Litchfield","1","T2","Limnophila fragrans","25",5
"Litchfield","1","T2","Eriocaulon setaceum","25",1
"Litchfield","1","T2","Scleria lingulata","27",5
"Litchfield","1","T2","Scleria lingulata","28",1
"Litchfield","1","T2","Scleria lingulata","29",1
"Litchfield","1","T3","Desmodium pycnotrichum","1",5
"Litchfield","1","T3","Scleria lingulata","18",5
"Litchfield","1","T3","Scleria lingulata","19",5
"Litchfield","1","T3","Paspalum scrobiculatum","21",5
"Litchfield","1","T3","Paspalum scrobiculatum","22",15
"Litchfield","1","T3","Scleria lingulata","22",15
"Litchfield","1","T3","Scleria lingulata","23",5
"Litchfield","1","T3","Scleria lingulata","24",20
"Litchfield","1","T3","Blechnum orientale","26",5
"Litchfield","1","T3","Scleria lingulata","27",5
"Litchfield","1","T3","Dioscorea bulbifera","29",1
"Litchfield","1","T3","Scleria lingulata","29",5
"Litchfield","1","T3","Dioscorea bulbifera","30",1
"Litchfield","1","T5","no vegetation","1",NA
"Litchfield","1","T5","no vegetation","2",NA
"Litchfield","1","T5","no vegetation","3",NA
"Litchfield","1","T5","no vegetation","4",NA
"Litchfield","1","T5","no vegetation","5",NA
"Litchfield","1","T5","no vegetation","6",NA
"Litchfield","1","T5","no vegetation","7",NA
"Litchfield","1","T5","Scleria lithosperma","8",1
"Litchfield","1","T5","no vegetation","9",NA
"Litchfield","1","T5","Scleria lithosperma","10",1
"Litchfield","1","T5","no vegetation","11",NA
"Litchfield","1","T5","no vegetation","12",NA
"Litchfield","1","T5","no vegetation","13",NA
"Litchfield","1","T5","no vegetation","14",NA
"Litchfield","1","T5","no vegetation","15",NA
"Litchfield","1","T5","no vegetation","16",NA
"Litchfield","1","T5","no vegetation","17",NA
"Litchfield","1","T5","no vegetation","18",NA
"Litchfield","1","T5","no vegetation","19",NA
"Litchfield","1","T5","no vegetation","20",NA
"Litchfield","1","T5","no vegetation","21",NA
"Litchfield","1","T5","no vegetation","22",NA
"Litchfield","1","T5","no vegetation","23",NA
"Litchfield","1","T5","no vegetation","24",NA
"Litchfield","1","T5","no vegetation","25",NA
"Litchfield","1","T5","Helminthostachys zeylanica","26",2
"Litchfield","1","T5","Helminthostachys zeylanica","27",1
"Litchfield","1","T5","Scleria lithosperma","28",1
"Litchfield","1","T5","no vegetation","29",NA
"Litchfield","1","T5","no vegetation","30",NA
"Litchfield","1","T5","no vegetation","31",NA
"Litchfield","1","T5","Scleria lithosperma","32",1
"Litchfield","1","T5","no vegetation","33",NA
"Litchfield","1","T5","no vegetation","34",NA
"Litchfield","1","T5","no vegetation","35",NA
"Litchfield","1","T5","no vegetation","36",NA
"Litchfield","1","T5","no vegetation","37",NA
"Litchfield","1","T5","no vegetation","38",NA
"Litchfield","1","T5","no vegetation","39",NA
"Litchfield","1","T5","no vegetation","40",NA
"Litchfield","2","T1","Flemingia parviflora","1",1
"Litchfield","2","T1","Euphorbia muelleri","1",1
"Litchfield","2","T1","Alloteropsis semialata","1",10
"Litchfield","2","T1","Dendrolobium multiflorum","1",15
"Litchfield","2","T1","Spermacoce leptoloba","1",1
"Litchfield","2","T1","Galactia tenuiflora","1",1
"Litchfield","2","T1","Tephrosia lamprolobioides","1",1
"Litchfield","2","T1","Sorghum plumosum","1",5
"Litchfield","2","T1","Sehima nervosum","1",1
"Litchfield","2","T1","Sauropus ochrophyllus","1",1
"Litchfield","2","T1","Hibbertia brevipedunculata","1",1
"Litchfield","2","T1","Heteropogon triticeus","1",10
"Litchfield","2","T1","Helicteres integrifolia subsp. dentata","1",5
"Litchfield","2","T1","Goodenia armstrongiana","1",1
"Litchfield","2","T1","Tricoryne elatior","1",1
"Litchfield","2","T1","Flemingia parviflora","2",1
"Litchfield","2","T1","Eriosema chinense","2",1
"Litchfield","2","T1","Eriachne avenacea","2",5
"Litchfield","2","T1","Clerodendrum tatei","2",1
"Litchfield","2","T1","Dianella odorata","2",1
"Litchfield","2","T1","Helicteres integrifolia subsp. dentata","2",5
"Litchfield","2","T1","Alloteropsis semialata","2",10
"Litchfield","2","T1","Dendrolobium multiflorum","2",30
"Litchfield","2","T1","Haemodorum brevicaule","2",1
