"park","plot","visit","genus_species","count_less_than_50cm","count_50cm-2m","count_greater_than_2m"
"Litchfield","1","T1","Acacia auriculiformis",0,2,0
"Litchfield","1","T1","Alphitonia excelsa",0,1,2
"Litchfield","1","T1","Breynia cernua",4,14,1
"Litchfield","1","T1","Calophyllum soulattri",11,5,0
"Litchfield","1","T1","Carallia brachiata",1,12,5
"Litchfield","1","T1","Carpentaria acuminata",45,12,14
"Litchfield","1","T1","Ficus hispida",1,8,1
"Litchfield","1","T1","Gmelina schlechteri",2,1,0
"Litchfield","1","T1","Helicia australasica",1091,139,44
"Litchfield","1","T1","Horsfieldia australiana",1,0,0
"Litchfield","1","T1","Litsea glutinosa",1,4,0
"Litchfield","1","T1","Lophostemon lactifluus",0,11,2
"Litchfield","1","T1","Maranthes corymbosa",0,5,2
"Litchfield","1","T1","Melastoma malabathricum",0,1,0
"Litchfield","1","T1","Melicope elleryana",3,7,3
"Litchfield","1","T1","Myrsine benthamiana",11,2,1
"Litchfield","1","T1","Trema tomentosa",32,24,24
"Litchfield","1","T2","Acacia auriculiformis",0,0,0
"Litchfield","1","T2","Alphitonia excelsa",0,0,0
"Litchfield","1","T2","Breynia cernua",9,4,0
"Litchfield","1","T2","Calophyllum soulattri",0,1,0
"Litchfield","1","T2","Carallia brachiata",1,6,2
"Litchfield","1","T2","Carpentaria acuminata",370,27,15
"Litchfield","1","T2","Ficus hispida",2,7,0
"Litchfield","1","T2","Gmelina schlechteri",0,1,0
"Litchfield","1","T2","Helicia australasica",151,73,10
"Litchfield","1","T2","Horsfieldia australiana",2,1,1
"Litchfield","1","T2","Litsea glutinosa",0,1,0
"Litchfield","1","T2","Lophostemon lactifluus",0,0,0
"Litchfield","1","T2","Maranthes corymbosa",9,2,4
"Litchfield","1","T2","Melastoma malabathricum",1,0,0
"Litchfield","1","T2","Melicope elleryana",7,1,0
"Litchfield","1","T2","Myrsine benthamiana",1,6,0
"Litchfield","1","T2","Trema tomentosa",0,0,0
"Litchfield","1","T2","Syzygium minutuliflorum",2,2,0
"Litchfield","1","T2","Piper macropiper",2,0,0
"Litchfield","1","T2","Elaeocarpus arnhemicus",0,1,0
"Litchfield","1","T2","Cyclophyllum schultzii",1,0,0
"Litchfield","1","T2","Dysoxylum acutangulum",1,0,0
"Litchfield","1","T2","Leea novoguineensis",0,1,0
"Litchfield","1","T2","Pleioluma laurifolia",0,1,0
"Litchfield","1","T3","Cyclophyllum schultzii",0,1,0
"Litchfield","1","T3","Pandanus spiralis",1,0,0
"Litchfield","1","T3","Syzygium armstrongii",12,0,0
"Litchfield","1","T3","Pleioluma laurifolia",0,1,0
"Litchfield","1","T3","Bridelia tomentosa",2,0,0
"Litchfield","1","T3","Melastoma malabathricum",0,1,1
"Litchfield","1","T3","Carpentaria acuminata",412,119,9
"Litchfield","1","T3","Helicia australasica",112,50,5
"Litchfield","1","T3","Maranthes corymbosa",20,5,0
"Litchfield","1","T3","Calophyllum soulattri",5,1,0
"Litchfield","1","T3","Syzygium minutuliflorum",5,0,0
"Litchfield","1","T3","Breynia cernua",4,11,0
"Litchfield","1","T3","Myrsine benthamiana",4,0,0
"Litchfield","1","T3","Carallia brachiata",3,8,3
"Litchfield","1","T3","Ficus hispida",2,22,0
"Litchfield","1","T3","Horsfieldia australiana",2,6,0
"Litchfield","1","T3","Melicope elleryana",2,6,0
"Litchfield","1","T4","Acacia auriculiformis",2,2,NA
"Litchfield","1","T4","Alphitonia excelsa",NA,1,1
"Litchfield","1","T4","Breynia cernua",NA,4,NA
"Litchfield","1","T4","Bridelia tomentosa",1,NA,NA
"Litchfield","1","T4","Calophyllum soulattri",3,NA,1
"Litchfield","1","T4","Carallia brachiata",3,4,1
"Litchfield","1","T4","Carpentaria acuminata",1002,363,80
"Litchfield","1","T4","Cyclophyllum schultzii",NA,NA,2
"Litchfield","1","T4","Ficus hispida",NA,16,4
"Litchfield","1","T4","Flagellaria indica",NA,1,NA
"Litchfield","1","T4","Helicia australasica",360,36,1
"Litchfield","1","T4","Horsfieldia australiana",5,4,NA
"Litchfield","1","T4","Leea novoguineensis",1,NA,NA
"Litchfield","1","T4","Maranthes corymbosa",19,8,NA
"Litchfield","1","T4","Melastoma malabathricum",NA,1,2
"Litchfield","1","T4","Melicope elleryana",12,4,1
"Litchfield","1","T4","Myrsine benthamiana",5,1,NA
"Litchfield","1","T4","Trema tomentosa",2,NA,NA
"Litchfield","1","T5","Acacia auriculiformis",0,0,0
"Litchfield","1","T5","Acacia latescens",1,0,0
"Litchfield","1","T5","Alphitonia excelsa",26,0,0
"Litchfield","1","T5","Breynia cernua",0,1,0
"Litchfield","1","T5","Bridelia tomentosa",0,0,0
"Litchfield","1","T5","Calophyllum sil",7,0,0
"Litchfield","1","T5","Carallia brachiata",14,8,1
"Litchfield","1","T5","Carpentaria acuminata",355,84,1
"Litchfield","1","T5","Cyclophyllum schultzii",0,0,0
"Litchfield","1","T5","Dysoxylum acutangulum",20,0,0
"Litchfield","1","T5","Ficus hispida",6,14,0
"Litchfield","1","T5","Flagellaria indica",0,1,0
"Litchfield","1","T5","Helicia australasica",56,28,1
"Litchfield","1","T5","Horsfieldia australiana",5,4,0
"Litchfield","1","T5","Leea novoguineensis",1,0,0
"Litchfield","1","T5","Maranthes corymbosa",2,1,0
"Litchfield","1","T5","Melastoma malabathricum",0,0,0
"Litchfield","1","T5","Melicope elleryana",9,3,0
"Litchfield","1","T5","Myrsine benthamiana",2,0,0
"Litchfield","1","T5","Trema tomentosa",3,1,0
"Litchfield","2","T1","Acacia lamprocarpa",1,11,5
"Litchfield","2","T1","Brachychiton megaphyllus",0,1,0
"Litchfield","2","T1","Buchanania obovata",7,8,0
"Litchfield","2","T1","Eucalyptus miniata",2,4,0
"Litchfield","2","T1","Corymbia porrecta",0,5,0
"Litchfield","2","T1","Eucalyptus tetrodonta",23,25,2
"Litchfield","2","T1","Livistona humilis",7,8,0
