"park","plot","visit","date","comments"
"Litchfield","1","T1",1995-05-09,""
"Litchfield","1","T2",2001-03-31,"many new trees"
"Litchfield","1","T3",2006-03-06,"tag number changes on old trees"
"Litchfield","1","T4",2011-03-24,"no quadrats done"
"Litchfield","1","T5",2016-03-14,""
"Litchfield","2","T1",1995-03-23,""
"Litchfield","2","T2",2001-03-27,""
"Litchfield","2","T3",2006-03-08,""
"Litchfield","2","T4",2011-03-01,"no quadrats done"
"Litchfield","2","T5",2016-03-14,""
"Litchfield","3","T1",1995-03-23,""
"Litchfield","3","T2",2001-03-27,""
"Litchfield","3","T3",2006-03-08,""
"Litchfield","3","T4",2011-03-01,"no quadrats done"
"Litchfield","3","T5",2016-03-14,""
"Litchfield","4","T1",1995-03-24,""
"Litchfield","4","T2",2001-03-29,""
"Litchfield","4","T3",2006-03-09,""
"Litchfield","4","T4",2011-03-30,"no quadrats done"
"Litchfield","4","T5",2016-03-18,""
"Litchfield","5","T1",1995-03-24,""
"Litchfield","5","T2",2001-03-29,""
"Litchfield","5","T3",2006-03-08,""
"Litchfield","5","T4",2011-03-30,"no quadrats done"
"Litchfield","5","T5",2016-03-18,""
"Litchfield","6","T1",1995-03-31,""
"Litchfield","6","T2",2001-03-27,""
"Litchfield","6","T3",2006-03-12,""
"Litchfield","6","T4",2011-03-01,"no quadrats done"
"Litchfield","6","T5",2016-03-18,""
"Litchfield","7","T1",1995-03-31,""
"Litchfield","7","T2",2001-03-27,""
"Litchfield","7","T3",2006-03-09,""
"Litchfield","7","T4",2011-03-01,"no quadrats done"
"Litchfield","7","T5",2016-03-18,""
"Litchfield","8","T1",1995-03-30,""
"Litchfield","8","T2",2001-03-30,"tag5 name change- viridflora to nervosa"
"Litchfield","8","T3",2006-03-13,""
"Litchfield","8","T4",2011-03-01,"no quadrats done"
"Litchfield","8","T5",2016-03-16,""
"Litchfield","9","T1",1995-03-17,""
"Litchfield","9","T2",2001-03-26,""
"Litchfield","9","T3",2006-03-06,""
"Litchfield","9","T4",2011-03-31,"no quadrats done"
"Litchfield","9","T5",2016-03-14,""
"Litchfield","10","T1",1995-05-14,""
"Litchfield","10","T2",2001-04-01,""
"Litchfield","10","T3",2006-04-01,""
"Litchfield","10","T4",2011-03-30,"no quadrats done"
"Litchfield","10","T5",2016-03-14,""
"Litchfield","11","T1",1995-03-17,""
