"park","plot","visit","quadrat","percentage_cover","percentage_litter","percentage_rock","canopy_closure_index"
"Nitmiluk","1","T1","1",50,5,0,"0"
"Nitmiluk","1","T1","2",40,5,0,"0"
"Nitmiluk","1","T1","3",40,5,0,"0"
"Nitmiluk","1","T1","4",60,0,0,"1"
"Nitmiluk","1","T1","5",40,0,0,"1"
"Nitmiluk","1","T1","6",60,0,0,"1"
"Nitmiluk","1","T1","7",40,0,0,"0"
"Nitmiluk","1","T1","8",30,0,0,"0"
"Nitmiluk","1","T1","9",40,0,0,"1"
"Nitmiluk","1","T1","10",60,0,0,"0"
"Nitmiluk","1","T1","11",70,0,0,"0"
"Nitmiluk","1","T1","12",30,0,0,"1"
"Nitmiluk","1","T1","13",60,10,0,"0"
"Nitmiluk","1","T1","14",50,0,0,"0"
"Nitmiluk","1","T1","15",30,0,0,"0"
"Nitmiluk","1","T1","16",60,0,0,"0"
"Nitmiluk","1","T1","17",40,0,0,"1"
"Nitmiluk","1","T1","18",20,0,0,"0"
"Nitmiluk","1","T1","19",20,0,0,"0"
"Nitmiluk","1","T1","20",60,0,0,"0"
"Nitmiluk","1","T1","21",30,0,0,"0"
"Nitmiluk","1","T1","22",40,0,0,"0"
"Nitmiluk","1","T1","23",20,0,0,"0"
"Nitmiluk","1","T1","24",80,5,0,"0"
"Nitmiluk","1","T1","25",80,0,0,"0"
"Nitmiluk","1","T1","26",80,0,0,"0"
"Nitmiluk","1","T1","27",80,0,0,"0"
"Nitmiluk","1","T1","28",40,0,0,"0"
"Nitmiluk","1","T1","29",40,0,0,"0"
"Nitmiluk","1","T1","30",40,0,0,"0"
"Nitmiluk","1","T1","31",60,0,0,"0"
"Nitmiluk","1","T1","32",10,0,0,"0"
"Nitmiluk","1","T1","33",60,0,0,"0"
"Nitmiluk","1","T1","34",60,0,0,"0"
"Nitmiluk","1","T1","35",40,0,0,"0"
"Nitmiluk","1","T1","36",40,0,0,"0"
"Nitmiluk","1","T1","37",30,0,0,"1"
"Nitmiluk","1","T1","38",20,0,0,"0"
"Nitmiluk","1","T1","39",90,5,0,"0"
"Nitmiluk","1","T1","40",20,0,0,"0"
"Nitmiluk","1","T2","1",25,1,10,"0"
"Nitmiluk","1","T2","2",30,1,50,"0"
"Nitmiluk","1","T2","3",45,2,10,"0"
"Nitmiluk","1","T2","4",30,1,10,"0"
"Nitmiluk","1","T2","5",25,1,2,"1"
"Nitmiluk","1","T2","6",20,1,2,"1"
"Nitmiluk","1","T2","7",45,1,15,"0"
"Nitmiluk","1","T2","8",25,1,1,"0"
"Nitmiluk","1","T2","9",15,1,5,"0"
"Nitmiluk","1","T2","10",30,5,40,"0"
"Nitmiluk","1","T2","11",20,5,50,"0"
"Nitmiluk","1","T2","12",20,5,40,"1"
"Nitmiluk","1","T2","13",50,5,10,"0"
"Nitmiluk","1","T2","14",50,1,3,"0"
"Nitmiluk","1","T2","15",35,10,5,"1"
"Nitmiluk","1","T2","16",30,2,3,"0"
"Nitmiluk","1","T2","17",15,0,3,"0"
"Nitmiluk","1","T2","18",15,2,10,"0"
"Nitmiluk","1","T2","19",20,2,30,"0"
"Nitmiluk","1","T2","20",15,2,30,"0"
"Nitmiluk","1","T2","21",10,2,3,"0"
"Nitmiluk","1","T2","22",10,1,1,"0"
"Nitmiluk","1","T2","23",10,1,1,"0"
"Nitmiluk","1","T2","24",50,1,5,"0"
"Nitmiluk","1","T2","25",60,1,5,"0"
"Nitmiluk","1","T2","26",40,5,15,"0"
"Nitmiluk","1","T2","27",40,3,15,"0"
"Nitmiluk","1","T2","28",25,10,50,"0"
"Nitmiluk","1","T2","29",35,1,50,"0"
"Nitmiluk","1","T2","30",20,3,20,"0"
"Nitmiluk","1","T2","31",35,1,10,"0"
"Nitmiluk","1","T2","32",20,1,3,"0"
"Nitmiluk","1","T2","33",15,1,3,"0"
"Nitmiluk","1","T2","34",25,1,1,"0"
"Nitmiluk","1","T2","35",20,1,1,"0"
"Nitmiluk","1","T2","36",15,3,5,"0"
"Nitmiluk","1","T2","37",15,5,3,"1"
