"park","plot","visit","genus_species","tag_no","height_m","fire_scar","dbh1","dbh2","dbh3","dbh4","dbh5","dbh6","dbh7","dbh8","is_the_tree_dead"
"Nitmiluk","1","T1","Eucalyptus tectifica","130",12,"1",20,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T1","Erythrophleum chlorostachys","131",5,"2",10,8,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T1","Erythrophleum chlorostachys","132",5,"1",10,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T1","Erythrophleum chlorostachys","133",7,"2",13,12,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T1","Corymbia foelscheana","134",4,"1",7,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T1","Erythrophleum chlorostachys","135",7,"1",16,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T1","Erythrophleum chlorostachys","136",5,"2",6,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T1","Erythrophleum chlorostachys","137",7,"2",7,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T1","Erythrophleum chlorostachys","138",8,"2",10,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T1","Corymbia sp.","139",11,"2",21,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T1","Erythrophleum chlorostachys","140",7,"2",14,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T1","Erythrophleum chlorostachys","141",7,"2",15,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T1","Erythrophleum chlorostachys","142",6,"2",11,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T1","Erythrophleum chlorostachys","143",7,"1",11,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T1","Erythrophleum chlorostachys","144",9,"2",18,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T1","Erythrophleum chlorostachys","145",7,"2",9,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T1","Erythrophleum chlorostachys","146",7,"2",13,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T1","Erythrophleum chlorostachys","147",5,"2",8,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T1","Erythrophleum chlorostachys","148",7,"2",8,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T1","Erythrophleum chlorostachys","149",4,"2",6,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T1","Erythrophleum chlorostachys","150",7,"2",8,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T1","Erythrophleum chlorostachys","151",6,"2",6,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T1","Brachychiton megaphyllus","152",4,"1",5,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T1","Erythrophleum chlorostachys","153",7,"2",12,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T1","Erythrophleum chlorostachys","154",4,"2",7,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T1","Brachychiton megaphyllus","155",4,"2",7.5,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T1","Erythrophleum chlorostachys","156",9,"2",16,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T1","Erythrophleum chlorostachys","157",6,"2",9.5,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T1","Erythrophleum chlorostachys","158",7,"2",9,8,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T1","Erythrophleum chlorostachys","159",7,"2",9,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T1","Erythrophleum chlorostachys","160",5,"2",6.5,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T2","Eucalyptus tectifica","130",16,"1",22.3,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T2","Erythrophleum chlorostachys","131",5,"1",8.7,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T2","Erythrophleum chlorostachys","132",6,"1",10.5,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T2","Erythrophleum chlorostachys","133",8,"1",13,14.7,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T2","Corymbia foelscheana","134",5,"1",7.3,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T2","Erythrophleum chlorostachys","135",7,"2",18,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T2","Erythrophleum chlorostachys","136",5,"2",5,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T2","Erythrophleum chlorostachys","137",6,"1",7.5,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T2","Erythrophleum chlorostachys","138",6,"1",7.3,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T2","Corymbia sp.","139",9,"1",21.5,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T2","Erythrophleum chlorostachys","140",6,"2",14.6,0,0,0,0,0,0,0,FALSE
"Nitmiluk","1","T2","Erythrophleum chlorostachys","141",6,"2",13.5,0,0,0,0,0,0,0,FALSE
