"park","plot","visit","date","comments"
"Nitmiluk","1","T1",1995-02-07,""
"Nitmiluk","1","T2",2000-03-25,""
"Nitmiluk","1","T3",2005-04-07,""
"Nitmiluk","1","T4",2010-03-24,""
"Nitmiluk","1","T5",2015-03-27,""
"Nitmiluk","2","T1",1995-02-02,""
"Nitmiluk","2","T2",2000-03-26,""
"Nitmiluk","2","T3",2005-04-07,""
"Nitmiluk","2","T4",2010-03-24,""
"Nitmiluk","2","T5",2015-03-27,""
"Nitmiluk","3","T1",1995-02-02,""
"Nitmiluk","3","T2",2000-03-24,""
"Nitmiluk","3","T3",2005-04-07,""
"Nitmiluk","3","T4",2010-03-24,""
"Nitmiluk","3","T5",2015-03-26,""
"Nitmiluk","4","T1",1995-02-03,""
"Nitmiluk","4","T2",2000-03-23,""
"Nitmiluk","4","T3",2005-04-07,""
"Nitmiluk","4","T4",2010-03-24,""
"Nitmiluk","4","T5",2015-03-26,""
"Nitmiluk","5","T1",1995-02-07,""
"Nitmiluk","5","T2",2000-03-21,""
"Nitmiluk","5","T3",2005-04-06,""
"Nitmiluk","5","T4",2010-03-24,""
"Nitmiluk","5","T5",2015-03-26,""
"Nitmiluk","6","T1",1995-02-16,""
"Nitmiluk","6","T2",2000-03-21,""
"Nitmiluk","6","T3",2005-04-06,""
"Nitmiluk","6","T4",2010-03-24,""
"Nitmiluk","6","T5",2015-03-27,""
"Nitmiluk","7","T1",1995-02-16,""
"Nitmiluk","7","T2",2000-03-21,""
"Nitmiluk","7","T3",2005-04-06,""
"Nitmiluk","7","T4",2010-03-26,""
"Nitmiluk","7","T5",2015-03-26,""
"Nitmiluk","9","T1",1995-02-10,""
"Nitmiluk","9","T2",2000-03-25,""
"Nitmiluk","9","T3",2005-04-06,""
"Nitmiluk","9","T4",2010-03-26,""
"Nitmiluk","9","T5",2015-03-26,""
"Nitmiluk","10","T1",1995-02-16,""
"Nitmiluk","10","T2",2000-03-25,""
"Nitmiluk","10","T3",2005-04-06,""
"Nitmiluk","10","T4",2010-03-25,""
"Nitmiluk","10","T5",2015-03-24,""
"Nitmiluk","11","T1",1995-03-07,""
"Nitmiluk","11","T2",2000-03-21,""
"Nitmiluk","11","T3",2005-04-07,""
"Nitmiluk","11","T4",2010-03-23,""
"Nitmiluk","11","T5",2015-03-25,""
"Nitmiluk","12","T1",1995-02-13,""
"Nitmiluk","12","T2",2000-03-25,""
"Nitmiluk","12","T3",2005-04-07,""
"Nitmiluk","12","T4",2010-03-26,""
