"plot","est_date","latitude","longitude","district","group"
"KAKFIRE_001",1995-02-20,"-12.90681375",132.1949938,"South Alligator","Lowland Woodland"
"KAKFIRE_002",1995-02-20,"-12.7257317",132.0047838,"South Alligator","Lowland Open Forest"
"KAKFIRE_003",1994-12-13,"-13.43639597",132.415803,"Mary River","Lowland Woodland"
"KAKFIRE_004",1995-01-17,"-12.86565903",132.818788,"Nourlangie","Sandstone Woodland"
"KAKFIRE_005",1994-12-15,"-13.57025044",132.5885908,"Mary River","Lowland Woodland"
"KAKFIRE_006",1995-01-06,"-13.56549002",132.70457,"Mary River","Lowland Woodland"
"KAKFIRE_007",1995-01-21,"-12.43383503",132.942152,"East Alligator","Lowland Open Forest"
"KAKFIRE_008",1994-12-18,"-13.32679303",132.228966,"Mary River","Lowland Woodland"
"KAKFIRE_009",1994-12-18,"-13.51932602",132.4450549,"Mary River","Sandstone Woodland"
"KAKFIRE_010",1994-12-19,"-13.48992306",132.2605575,"Mary River","Lowland Woodland"
"KAKFIRE_011",1995-01-04,"-13.62237699",132.380311,"Mary River","Sandstone Woodland"
"KAKFIRE_012",1995-01-07,"-13.27182904",132.149149,"Mary River","Lowland Woodland"
"KAKFIRE_013",1995-01-16,"-12.67626003",132.81339,"Nourlangie","Lowland Open Forest"
"KAKFIRE_014",1995-01-04,"-13.73346018",132.7704317,"Mary River","Sandstone Woodland"
"KAKFIRE_015",1995-01-08,"-13.54459997",132.29636,"Mary River","Sandstone Woodland"
"KAKFIRE_016",1995-01-19,"-12.54996001",132.32131,"South Alligator","Lowland Woodland"
"KAKFIRE_017",1995-01-08,"-13.233252",132.287648,"Mary River","Lowland Woodland"
"KAKFIRE_018",1995-02-06,"-12.92941681",132.5944348,"Jim Jim","Lowland Open Forest"
"KAKFIRE_019",1995-01-09,"-13.29564001",132.33524,"Mary River","Lowland Woodland"
"KAKFIRE_020",1995-01-06,"-13.79514998",132.569358,"Mary River","Sandstone Woodland"
"KAKFIRE_021",1995-02-17,"-12.78958999",132.17215,"South Alligator","Lowland Woodland"
"KAKFIRE_022",1995-02-18,"-12.55229688",131.8922599,"South Alligator","Lowland Open Forest"
"KAKFIRE_023",1994-12-17,"-13.43333197",132.41545,"Mary River","Lowland Woodland"
"KAKFIRE_024",1995-02-17,"-12.68056003",132.54255,"South Alligator","Lowland Rainforest"
"KAKFIRE_025",1994-12-17,"-13.4313266",132.4189606,"Mary River","Sandstone Heath"
"KAKFIRE_026",1995-02-08,"-13.35171704",132.47254,"Jim Jim","Sandstone Heath"
"KAKFIRE_027",1995-01-04,"-13.94273099",132.90282,"Mary River","Sandstone Heath"
"KAKFIRE_028",1995-01-22,"-12.43442997",132.95136,"East Alligator","Lowland Open Forest"
