"plot","est_date","latitude","longitude","group"
"NITFIRE_01",1995-04-01,-14.30705657,132.3984464,"Lowland woodland"
"NITFIRE_02",1995-04-01,-14.29571215,132.4151681,"Lowland woodland"
"NITFIRE_03",1995-04-01,-14.2904301,132.4371183,"Sandstone woodland/heath"
"NITFIRE_04",1995-04-01,-14.25357143,132.4370444,"Sandstone woodland"
"NITFIRE_05",1995-04-01,-14.16996008,132.38075,"Lowland woodland"
"NITFIRE_06",1995-04-01,-14.12955956,132.3921359,"Rainforest"
"NITFIRE_07",1995-04-01,-14.20301322,132.3227854,"Sandstone woodland"
"NITFIRE_09",1995-04-01,-14.21254909,132.2072563,"Lowland woodland"
"NITFIRE_10",1995-04-01,-13.91199676,132.5936987,"Sandstone woodland/Callitris"
"NITFIRE_11",1995-04-01,-14.01040605,132.2949573,"Sandstone woodland"
"NITFIRE_12",1995-04-01,-14.19509066,132.1696791,"Lowland woodland"
"NITFIRE_13",1995-04-01,-14.12721131,132.2534955,"Sandstone woodland"
"NITFIRE_14",1995-04-01,-14.03199059,132.3067044,"Sandstone woodland/heath"
"NITFIRE_15",1995-04-01,-14.03219596,132.3064892,"Sandstone woodland"
"NITFIRE_16",1995-04-01,-14.19475013,132.1813854,"Lowland woodland"
"NITFIRE_17",1995-04-01,-13.99813437,132.4255805,"Sandstone woodland"
"NITFIRE_18",1995-04-01,-14.0238607,132.4699201,"Sandstone woodland"
"NITFIRE_19",1995-04-01,-13.97373881,132.5180288,"Sandstone woodland/Callitris"
"NITFIRE_20",1995-04-01,-13.94295455,132.4938644,"Sandstone woodland/Callitris"
"NITFIRE_21",1995-04-01,-13.81720081,132.4142418,"Sandstone woodland/heath"
"NITFIRE_22",1995-04-01,-13.82459479,132.5673987,"Sandstone woodland/Callitris"
"NITFIRE_23",1995-04-01,-13.81763416,132.3810037,"Rainforest"
"NITFIRE_24",1995-04-01,-13.91211228,132.5935032,"Rainforest"
"NITFIRE_25",1995-04-01,-14.01494795,132.2730615,"Sandstone woodland"
"NITFIRE_26",1995-04-01,-14.02043542,132.6808634,"Lowland woodland"
"NITFIRE_27",1995-04-01,-14.13374878,132.6931541,"Lowland woodland"
"NITFIRE_28",1995-04-01,-14.09880364,132.6505522,"Lowland woodland"
"NITFIRE_29",1995-04-01,-14.13287491,132.6597762,"Lowland woodland"
"NITFIRE_30",1995-04-01,-14.21606135,132.653273,"Lowland woodland"
"NITFIRE_31",1995-04-01,-14.11146065,132.5676709,"Paperbark woodland/swamp"
"NITFIRE_32",1995-04-01,-14.20026649,132.281078,"Sandstone woodland"
"NITFIRE_33",1995-04-01,-14.21474371,132.4692278,"Sandstone woodland"
"NITFIRE_34",1995-04-01,-14.26186823,132.5604889,"Sandstone woodland/heath"
"NITFIRE_35",1995-04-01,-14.3463619,132.5633946,"Sandstone woodland/lancewood"
"NITFIRE_36",1995-04-01,-14.36702606,132.6879265,"Sandstone woodland/lancewood"
"NITFIRE_37",1995-04-01,-14.38611986,132.735791,"Sandstone woodland"
"NITFIRE_38",1995-04-01,-14.34194435,132.7262451,"Sandstone woodland"
"NITFIRE_39",1995-04-01,-14.39367374,132.5719931,"Sandstone woodland/lancewood"
"NITFIRE_40",1995-04-01,-14.37136628,132.5534577,"Paperbark woodland/swamp"
"NITFIRE_41",1995-04-01,-14.33751731,132.481263,"Sandstone woodland"
"NITFIRE_42",1995-04-01,-14.06160858,132.3383289,"Sandstone woodland/Callitris"
"NITFIRE_43",1995-04-01,-14.12847545,132.481071,"Sandstone woodland"
"NITFIRE_44",1995-04-01,-14.13244977,132.4561342,"Sandstone woodland"
"NITFIRE_45",1995-04-01,-14.21832707,132.2186389,"Lowland woodland"
"NITFIRE_46",1995-04-01,-14.32737268,132.4249232,"Lowland woodland"
"NITFIRE_47",1995-04-01,-14.32875797,132.4243792,"Lowland woodland"
"NITFIRE_48",NA,-13.8207,132.4098,NA
"NITFIRE_49",NA,-13.9526,132.5689,NA
"NITFIRE_50",NA,-14.2029,132.6311,NA
"NITFIRE_51",NA,-14.0876,132.6167,NA
"NITFIRE_52",NA,-14.1953,132.2429,NA
"NITFIRE_53",NA,-14.013,132.324,NA
"NITFIRE_54",NA,-14.1769,132.4087,NA
