"plot","est_date","latitude","longitude","group"
"LITFIRE_01",1995-05-09,-13.09446294,130.7912828,"Lowland jungle"
"LITFIRE_02",1995-03-23,-13.13575404,130.756842,"Sandstone open forest"
"LITFIRE_03",1995-03-23,-13.13949496,130.767539,"Sandstone open forest"
"LITFIRE_04",1995-03-24,-13.17061303,130.77706,"Sandstone woodland"
"LITFIRE_05",1995-03-24,-13.21383599,130.745479,"Sandstone woodland"
"LITFIRE_06",1995-03-31,-13.10600197,130.705136,"Sandstone woodland"
"LITFIRE_07",1995-03-31,-13.09729401,130.693319,"Sandstone woodland"
"LITFIRE_08",1995-03-30,-13.07824899,130.689121,"Sandstone woodland"
"LITFIRE_09",1995-03-14,-13.10429198,130.792837,"Sandstone open forest/Callitris"
"LITFIRE_10",1995-05-14,-13.11356203,130.791654,"Wet heath"
"LITFIRE_11",1995-03-17,-13.12200503,130.822668,"Sandstone open forest"
"LITFIRE_12",1995-03-16,-13.05205403,130.829995,"Lowland open forest"
"LITFIRE_13",1995-05-04,-13.04250897,130.715126,"Sandstone woodland"
"LITFIRE_14",1995-05-13,-13.26631098,130.722458,"Lowland woodland"
"LITFIRE_15",1995-05-08,-13.21380297,130.691285,"Lowland woodland"
"LITFIRE_16",1995-03-14,-13.05556303,130.834759,"Lowland open forest"
"LITFIRE_17",1996-08-22,-13.28879175,130.7551208,"Lowland woodland"
"LITFIRE_18",1995-05-19,-13.26645792,130.727222,"Paperbark open forest"
"LITFIRE_19",1995-05-16,-13.25342297,130.734925,"Lowland woodland"
"LITFIRE_20",1995-05-17,-13.08342556,130.7074323,"Sandstone woodland"
"LITFIRE_21",1995-05-18,-13.11177098,130.718474,"Sandstone woodland"
"LITFIRE_22",1995-05-11,-13.15707081,130.8007201,"Sandstone woodland"
"LITFIRE_23",1995-03-02,-13.07010169,130.849294,"Lowland woodland"
"LITFIRE_24",1996-02-13,-13.49529091,130.8551864,"Sandstone woodland"
"LITFIRE_25",1996-02-13,-13.49502462,130.8569946,"Riparian open forest"
"LITFIRE_26",1996-02-14,-13.49697383,130.8573976,"Sandstone woodland"
"LITFIRE_27",1996-02-13,-13.49737784,130.8614275,"Sandstone woodland"
"LITFIRE_28",1996-02-12,-13.49871081,130.8669148,"Sandstone woodland"
"LITFIRE_29",1996-02-16,-13.52137162,130.8335703,"Dry heath"
"LITFIRE_30",1996-02-15,-13.52095454,130.8163864,"Lowland woodland"
"LITFIRE_31",1996-08-21,-13.51775617,130.8162236,"Paperbark open forest"
"LITFIRE_32",1996-08-19,-13.43896553,130.7902537,"Lowland woodland"
"LITFIRE_33",1996-08-19,-13.43855406,130.7921897,"Lowland woodland"
"LITFIRE_34",1996-08-15,-13.42699056,130.7837475,"Lowland woodland/Callitris"
"LITFIRE_35",1996-08-16,-13.42671186,130.7848073,"Lowland open forest/Callitris"
"LITFIRE_36",1996-08-16,-13.42683909,130.7872644,"Lowland woodland"
"LITFIRE_37",1996-08-15,-13.41150993,130.7821375,"Dry heath"
"LITFIRE_38",1996-03-06,-13.26426102,130.965489,"Lowland woodland"
"LITFIRE_39",1996-03-05,-13.26495973,130.9640169,"Lowland woodland"
"LITFIRE_40",1996-03-05,-13.26509192,130.963289,"Lowland woodland"
"LITFIRE_41",1997-04-23,-13.28631104,130.756976,"Open floodplain"
