"park","plot","visit","quadrat","genus_species","occurrence"
"Kakadu","1","T1","0","Heteropogon triticeus",30
"Kakadu","1","T1","0","Ipomoea gracilis",1
"Kakadu","1","T1","0","Sorghum timorense",10
"Kakadu","1","T1","2","Heteropogon triticeus",20
"Kakadu","1","T1","2","Ipomoea gracilis",1
"Kakadu","1","T1","2","Sorghum timorense",50
"Kakadu","1","T1","2","Uraria lagopodioides",1
"Kakadu","1","T1","4","Fimbristylis dichotoma",1
"Kakadu","1","T1","4","Heteropogon triticeus",10
"Kakadu","1","T1","4","Ipomoea gracilis",1
"Kakadu","1","T1","6","Fimbristylis dichotoma",1
"Kakadu","1","T1","6","Sorghum timorense",50
"Kakadu","1","T1","6","Uraria lagopodioides",1
"Kakadu","1","T1","8","Mnesithea rottboellioides",10
"Kakadu","1","T1","8","Sorghum timorense",10
"Kakadu","1","T1","10","Mnesithea rottboellioides",30
"Kakadu","1","T1","10","Sorghum timorense",10
"Kakadu","1","T1","12","Mnesithea rottboellioides",60
"Kakadu","1","T1","14","Cyperus haspan",5
"Kakadu","1","T1","16","Mnesithea rottboellioides",1
"Kakadu","1","T1","34","Colocasia esculenta",1
"Kakadu","1","T1","44","Fimbristylis complanata",10
"Kakadu","1","T1","46","Imperata cylindrica",10
"Kakadu","1","T1","48","Fimbristylis complanata",5
"Kakadu","1","T1","48","Imperata cylindrica",20
"Kakadu","1","T1","50","Imperata cylindrica",30
"Kakadu","1","T1","52","Imperata cylindrica",40
"Kakadu","1","T1","54","Imperata cylindrica",50
"Kakadu","1","T1","56","Imperata cylindrica",1
"Kakadu","1","T1","58","Cayratia maritima",1
"Kakadu","1","T1","58","Imperata cylindrica",1
"Kakadu","1","T1","60","Cayratia maritima",1
"Kakadu","1","T1","60","Fimbristylis complanata",10
"Kakadu","1","T1","62","Cayratia maritima",1
"Kakadu","1","T1","62","Fimbristylis complanata",20
"Kakadu","1","T1","64","Fimbristylis complanata",5
"Kakadu","1","T1","64","Imperata cylindrica",1
"Kakadu","1","T1","66","Fimbristylis complanata",1
"Kakadu","1","T1","68","Cayratia maritima",1
"Kakadu","1","T1","80","Marsdenia viridiflora subsp. tropica",1
"Kakadu","1","T1","86","Mnesithea rottboellioides",1
"Kakadu","1","T1","88","Mnesithea rottboellioides",30
"Kakadu","1","T1","90","Mnesithea rottboellioides",70
"Kakadu","1","T1","92","Abelmoschus moschatus subsp. tuberosus",1
"Kakadu","1","T1","92","Austrodolichos errabundus",1
"Kakadu","1","T1","92","Mnesithea rottboellioides",50
"Kakadu","1","T1","94","Mnesithea rottboellioides",60
"Kakadu","1","T1","96","Ampelocissus acetosa",10
"Kakadu","1","T1","96","Fimbristylis dichotoma",1
"Kakadu","1","T1","96","Mnesithea rottboellioides",35
"Kakadu","1","T1","96","Sorghum timorense",30
"Kakadu","1","T1","98","Fimbristylis dichotoma",20
