"park","plot","visit","genus_species","tag","height_m","fire_scar","dbh1","dbh2","dbh3","dbh4","dbh5","dbh6","dbh7","dbh8","is_the_tree_dead"
"Litchfield","1","T1","Maranthes corymbosa","1",15.5,"0",11.7,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Maranthes corymbosa","2",15.5,"0",9.7,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Carpentaria acuminata","3",22.5,"0",21.3,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Carpentaria acuminata","4",23.5,"0",22,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Helicia australasica","5",13,"0",13.4,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Helicia australasica","6",9.5,"0",5.8,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Helicia australasica","7",9,"0",5.4,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Helicia australasica","8",11.5,"0",6.3,8.7,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Maranthes corymbosa","9",9,"0",5,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Maranthes corymbosa","10",19.5,"0",27.3,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Myrsine benthamiana","11",7.5,"0",6,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Helicia australasica","12",8.5,"0",7.4,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Helicia australasica","13",8.5,"0",11.5,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Helicia australasica","14",11,"0",10.5,12,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Helicia australasica","15",11,"0",12.4,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Helicia australasica","16",12,"0",11.3,10.1,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Helicia australasica","17",12,"0",14.3,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Helicia australasica","18",10.5,"0",11.1,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Acacia auriculiformis","19",25,"0",43.5,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Acacia auriculiformis","20",10,"0",9.9,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Helicia australasica","21",9,"0",11.2,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Helicia australasica","22",11.5,"0",14.1,8.5,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Carpentaria acuminata","23",18.5,"0",19.3,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Carpentaria acuminata","24",15.5,"0",18.4,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Helicia australasica","25",10,"0",11.3,5.9,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Carpentaria acuminata","26",15.5,"3",16.6,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Carpentaria acuminata","27",5.5,"0",6.3,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Helicia australasica","28",12.5,"0",12.2,19.8,19.7,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Carpentaria acuminata","29",18.5,"0",23.5,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Alphitonia excelsa","30",8.5,"0",5.9,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Alphitonia excelsa","31",13.5,"0",8.9,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Carpentaria acuminata","32",4.5,"0",5.9,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Carpentaria acuminata","33",5,"0",5.7,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Alphitonia excelsa","34",14.5,"0",10.1,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Carpentaria acuminata","35",7.5,"0",8.7,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Carpentaria acuminata","36",5.5,"0",7.2,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Alphitonia excelsa","37",14.5,"0",12.1,NA,NA,NA,NA,NA,NA,NA,FALSE
"Litchfield","1","T1","Melaleuca argentea","38",20.5,"0",45.6,NA,NA,NA,NA,NA,NA,NA,FALSE
