"park","plot","visit","quadrat","genus_species","occurrence"
"Nitmiluk","1","T1","1","Calandrinia uniflora",3
"Nitmiluk","1","T1","1","Crotalaria medicaginea",1
"Nitmiluk","1","T1","1","Eriachne obtusa",1
"Nitmiluk","1","T1","1","Heliotropium ventricosum",1
"Nitmiluk","1","T1","1","Sorghum timorense",45
"Nitmiluk","1","T1","1","Trianthema rhynchocalyptrum",1
"Nitmiluk","1","T1","2","Bonamia media var. media",2
"Nitmiluk","1","T1","2","Crotalaria medicaginea",1
"Nitmiluk","1","T1","2","Heliotropium ventricosum",1
"Nitmiluk","1","T1","2","Portulaca bicolor",1
"Nitmiluk","1","T1","2","Sorghum timorense",35
"Nitmiluk","1","T1","3","Crotalaria medicaginea",1
"Nitmiluk","1","T1","3","Eriachne obtusa",2
"Nitmiluk","1","T1","3","Indigofera colutea",1
"Nitmiluk","1","T1","3","Ipomoea eriocarpa",1
"Nitmiluk","1","T1","3","Sorghum timorense",35
"Nitmiluk","1","T1","3","Trianthema rhynchocalyptrum",2
"Nitmiluk","1","T1","4","Boerhavia dominii",1
"Nitmiluk","1","T1","4","Buchnera asperata",1
"Nitmiluk","1","T1","4","Crotalaria medicaginea",1
"Nitmiluk","1","T1","4","Heliotropium ventricosum",1
"Nitmiluk","1","T1","4","Sehima nervosum",6
"Nitmiluk","1","T1","4","Sorghum timorense",50
"Nitmiluk","1","T1","5","Boerhavia dominii",1
"Nitmiluk","1","T1","5","Buchnera asperata",1
"Nitmiluk","1","T1","5","Crotalaria medicaginea",1
"Nitmiluk","1","T1","5","Indigofera colutea",1
"Nitmiluk","1","T1","5","Portulaca bicolor",1
"Nitmiluk","1","T1","5","Sorghum timorense",35
"Nitmiluk","1","T1","5","Tribulopis pentandra",1
"Nitmiluk","1","T1","5","Vigna lanceolata",1
"Nitmiluk","1","T1","6","Euphorbia armstrongiana",3
"Nitmiluk","1","T1","6","Heteropogon contortus",6
"Nitmiluk","1","T1","6","Sorghum timorense",40
"Nitmiluk","1","T1","7","Eriachne obtusa",1
"Nitmiluk","1","T1","7","Euphorbia armstrongiana",1
"Nitmiluk","1","T1","7","Heliotropium ventricosum",1
"Nitmiluk","1","T1","7","Heteropogon contortus",6
"Nitmiluk","1","T1","7","Portulaca bicolor",1
"Nitmiluk","1","T1","7","Sorghum timorense",30
"Nitmiluk","1","T1","7","Trianthema rhynchocalyptrum",2
"Nitmiluk","1","T1","8","Cleome viscosa",1
"Nitmiluk","1","T1","8","Eriachne obtusa",1
"Nitmiluk","1","T1","8","Sorghum timorense",25
"Nitmiluk","1","T1","8","Trianthema rhynchocalyptrum",2
"Nitmiluk","1","T1","9","Crotalaria medicaginea",1
"Nitmiluk","1","T1","9","Euphorbia armstrongiana",1
"Nitmiluk","1","T1","9","Sorghum timorense",35
"Nitmiluk","1","T1","9","Trianthema rhynchocalyptrum",1
"Nitmiluk","1","T1","9","Vigna lanceolata",1
"Nitmiluk","1","T1","10","Boerhavia dominii",1
"Nitmiluk","1","T1","10","Chamaecrista mimosoides",1
"Nitmiluk","1","T1","10","Crotalaria medicaginea",1
"Nitmiluk","1","T1","10","Euphorbia armstrongiana",1
"Nitmiluk","1","T1","10","Indigastrum parviflorum",1
"Nitmiluk","1","T1","10","Sorghum timorense",55
"Nitmiluk","1","T1","10","Trianthema rhynchocalyptrum",1
"Nitmiluk","1","T1","11","Indigastrum parviflorum",1
"Nitmiluk","1","T1","11","Sorghum timorense",65
"Nitmiluk","1","T1","11","Tribulopis pentandra",1
"Nitmiluk","1","T1","12","Crotalaria medicaginea",1
"Nitmiluk","1","T1","12","Indigastrum parviflorum",2
"Nitmiluk","1","T1","12","Polygala eriocephala",2
"Nitmiluk","1","T1","12","Sorghum timorense",25
"Nitmiluk","1","T1","13","Calandrinia uniflora",1
