local,layer,species,historical 14,"modern
 14",historical 15,"modern
 15",historical 16,"modern
 16",historical 17,"modern
 17",historical 18,"modern
 18",historical 19,"modern
 19",historical 20,"modern
 20",historical 21,"modern
 21",historical 22,"modern
 22",historical 23,"modern
 23",historical 24,"modern
 24",historical 25,"modern
 25",historical 26,"modern
 26",historical 27,"modern
 27",historical 28,"modern
 28",historical 29,"modern
 29"
14-29,E3 – tree layer,Pinus sylvestris,5,.,5,3,5,2b,2,3,5,2a,5,3,.,2a,5,3,5,4,5,2a,4,2a,5,4,5,3,5,2a,5,3,5,3
14-29,E3 – tree layer,Picea abies,.,2a,+,r,+,r,.,.,+,r,.,.,+,.,2,.,.,r,.,.,2,.,+,.,.,+,+,3,+,r,.,2m
14-29,E3 – tree layer,Quercus robur,2,.,+,r,.,r,.,2b,+,.,+,.,.,.,.,r,2,.,.,.,2,.,+,2b,.,.,.,.,+,.,.,2m
14-29,E3 – tree layer,Larix decidua,.,.,+,+,.,r,.,.,.,2m,.,.,+,r,.,.,.,.,.,r,.,.,+,r,.,2a,+,r,.,.,.,2m
14-29,E3 – tree layer,Fagus sylvatica,+,.,+,2b,.,4,+,.,.,2m,.,2m,.,4,.,.,+,.,.,3,2,.,.,.,.,.,+,.,.,.,.,.
14-29,E3 – tree layer,Quercus petraea,.,2m,.,r,.,3,.,.,.,2a,.,2m,.,.,.,4,.,2b,.,2b,.,2b,.,.,.,.,.,.,.,2m,.,2a
14-29,E3 – tree layer,Carpinus betulus,.,.,.,.,.,.,.,r,.,3,.,2m,.,.,.,2a,.,.,.,.,+,4,.,r,.,r,.,3,.,2b,.,.
14-29,E3 – tree layer,Betula pendula,.,r,.,r,.,.,.,r,.,.,.,.,.,.,.,.,.,2m,.,.,.,.,+,.,.,.,.,.,.,.,.,.
14-29,E3 – tree layer,Prunus avium,.,r,.,.,.,.,.,r,.,.,.,.,.,.,.,2m,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
14-29,E3 – tree layer,Viscum album ssp. austriacum,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,r,.,2m,.,r,.,.,.,.,.,.,.,.,.,.
14-29,E2 – shrub layer,Carpinus betulus,+,2b,.,r,.,.,.,.,.,2b,.,r,.,.,.,2m,.,r,1,.,.,2a,1,r,.,3,.,2m,3,2m,+,.
14-29,E2 – shrub layer,Picea abies,.,3,+,r,3,r,.,.,+,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,r,.,2a
14-29,E2 – shrub layer,Quercus robur,.,.,.,.,.,.,.,.,.,r,.,.,.,.,.,2m,.,.,+,.,.,.,4,.,.,.,.,.,1,.,.,2a
