"year","month_year","site_name","site_code","site_grid","trip_no","nights","no_traps","total_trap_nights","species","recapt_same_trip","captures","captures_100tn","family"
1990,"Mar.90","Main Camp","MC","MC1","1",6,36,216,"Notomys alexis",NA,8,3.703703704,"Muridae"
1990,"Mar.90","Main Camp","MC","MC1","1",6,36,216,"Pseudomys hermannsburgensis",NA,1,0.462962963,"Muridae"
1990,"Mar.90","Main Camp","MC","MC1","1",6,36,216,"Sminthopsis crassicaudata",NA,1,0.462962963,"Dasyuridae"
1990,"Mar.90","Main Camp","MC","MC1","1",6,36,216,"Sminthopsis youngsoni",NA,12,5.555555556,"Dasyuridae"
1990,"Mar.90","Main Camp","MC","MC4","1",3,36,108,"Notomys alexis",NA,2,1.851851852,"Muridae"
1990,"Mar.90","Main Camp","MC","MC4","1",3,36,108,"Dasycercus cristicauda",NA,2,1.851851852,"Dasyuridae"
1990,"Mar.90","Main Camp","MC","MC2","1",5,36,180,"Notomys alexis",NA,3,1.666666667,"Muridae"
1990,"Mar.90","Main Camp","MC","MC2","1",5,36,180,"Pseudomys hermannsburgensis",NA,2,1.111111111,"Muridae"
1990,"Mar.90","Main Camp","MC","MC2","1",5,36,180,"Sminthopsis youngsoni",NA,12,6.666666667,"Dasyuridae"
1990,"Mar.90","Main Camp","MC","MC4","1",3,36,108,"Sminthopsis youngsoni",NA,9,8.333333333,"Dasyuridae"
1990,"Jun.90","Main Camp","MC","MC2","2",7,36,252,"Dasycercus cristicauda",NA,2,0.793650794,"Dasyuridae"
1990,"Jun.90","Main Camp","MC","MC2","2",7,36,252,"Ningaui ridei",NA,1,0.396825397,"Dasyuridae"
1990,"Jun.90","Main Camp","MC","MC2","2",7,36,252,"Notomys alexis",NA,3,1.19047619,"Muridae"
1990,"Jun.90","Main Camp","MC","MC4","2",7,36,252,"Pseudomys hermannsburgensis",NA,3,1.19047619,"Muridae"
1990,"Jun.90","Main Camp","MC","MC2","2",7,36,252,"Pseudomys desertor",NA,1,0.396825397,"Muridae"
1990,"Jun.90","Main Camp","MC","MC2","2",7,36,252,"Pseudomys hermannsburgensis",NA,3,1.19047619,"Muridae"
1990,"Jun.90","Main Camp","MC","MC2","2",7,36,252,"Sminthopsis youngsoni",NA,6,2.380952381,"Dasyuridae"
1990,"Jun.90","Main Camp","MC","MC2","2",7,36,252,"No captures",NA,1,0.396825397,""
1990,"Jun.90","Main Camp","MC","MC4","2",7,36,252,"Notomys alexis",NA,4,1.587301587,"Muridae"
1990,"Jun.90","Main Camp","MC","MC4","2",7,36,252,"Sminthopsis youngsoni",NA,7,2.777777778,"Dasyuridae"
1990,"Jun.90","Main Camp","MC","MC1","2",7,36,252,"Sminthopsis youngsoni",NA,6,2.380952381,"Dasyuridae"
1990,"Jun.90","Main Camp","MC","MC1","2",7,36,252,"Pseudomys hermannsburgensis",NA,1,0.396825397,"Muridae"
1990,"Jun.90","Main Camp","MC","MC1","2",7,36,252,"Notomys alexis",NA,6,2.380952381,"Muridae"
1990,"Jun.90","Main Camp","MC","MC1","2",7,36,252,"Ningaui ridei",NA,1,0.396825397,"Dasyuridae"
1990,"Jun.90","Main Camp","MC","MC1","2",7,36,252,"Dasycercus cristicauda",NA,1,0.396825397,"Dasyuridae"
1990,"Jun.90","Main Camp","MC","MC4","2",7,36,252,"Ningaui ridei",NA,1,0.396825397,"Dasyuridae"
1990,"Aug.90","Main Camp","MC","MC2","3",7,36,252,"Pseudomys hermannsburgensis",NA,6,2.380952381,"Muridae"
1990,"Aug.90","Main Camp","MC","MC4","3",7,36,252,"No captures",NA,4,1.587301587,""
1990,"Aug.90","Main Camp","MC","MC4","3",7,36,252,"Notomys alexis",NA,2,0.793650794,"Muridae"
1990,"Aug.90","Main Camp","MC","MC4","3",7,36,252,"Sminthopsis youngsoni",NA,1,0.396825397,"Dasyuridae"
1990,"Aug.90","Main Camp","MC","MC1","3",7,36,252,"Notomys alexis",NA,1,0.396825397,"Muridae"
1990,"Aug.90","Main Camp","MC","MC1","3",7,36,252,"No captures",NA,3,1.19047619,""
1990,"Aug.90","Main Camp","MC","MC2","3",7,36,252,"No captures",NA,2,0.793650794,""
1990,"Aug.90","Main Camp","MC","MC2","3",7,36,252,"Sminthopsis youngsoni",NA,4,1.587301587,"Dasyuridae"
1990,"Aug.90","Main Camp","MC","MC1","3",7,36,252,"Sminthopsis youngsoni",NA,3,1.19047619,"Dasyuridae"
1990,"Sep.90","Main Camp","MC","MC4","4",4,36,144,"Sminthopsis youngsoni",NA,1,0.694444444,"Dasyuridae"
1990,"Sep.90","Main Camp","MC","MC4","4",4,36,144,"Pseudomys hermannsburgensis",NA,5,3.472222222,"Muridae"
1990,"Sep.90","Main Camp","MC","MC4","4",4,36,144,"Pseudomys desertor",NA,1,0.694444444,"Muridae"
1990,"Sep.90","Main Camp","MC","MC2","4",4,36,144,"Ningaui ridei",NA,1,0.694444444,"Dasyuridae"
1990,"Sep.90","Main Camp","MC","MC4","4",4,36,144,"No captures",NA,1,0.694444444,""
1990,"Sep.90","Main Camp","MC","MC1","4",4,36,144,"Leggadina forresti",NA,1,0.694444444,"Muridae"
1990,"Sep.90","Main Camp","MC","MC2","4",4,36,144,"No captures",NA,1,0.694444444,""
1990,"Sep.90","Main Camp","MC","MC1","4",4,36,144,"Notomys alexis",NA,2,1.388888889,"Muridae"
1990,"Sep.90","Main Camp","MC","MC1","4",4,36,144,"Pseudomys desertor",NA,1,0.694444444,"Muridae"
1990,"Sep.90","Main Camp","MC","MC1","4",4,36,144,"Pseudomys hermannsburgensis",NA,6,4.166666667,"Muridae"
