"year","month_year","site_name","site_grid","trip_no","nights","no_traps","total_trap_nights","species","recap_this_trip","captures","captures_100tn","family"
1990,"Mar.90","Main Camp","MC1","1",6,36,216,"Ctenotus pantherinus",NA,3,1.388888889,"Scincidae"
1990,"Mar.90","Main Camp","MC1","1",6,36,216,"Ramphotyphlops endoterus",NA,2,0.925925926,"Typhlopidae"
1990,"Mar.90","Main Camp","MC1","1",6,36,216,"Lerista labialis",NA,2,0.925925926,"Scincidae"
1990,"Mar.90","Main Camp","MC1","1",6,36,216,"Ctenotus leae",NA,1,0.462962963,"Scincidae"
1990,"Mar.90","Main Camp","MC1","1",6,36,216,"Ctenophorus isolepis",NA,4,1.851851852,"Agamidae"
1990,"Mar.90","Main Camp","MC1","1",6,36,216,"Varanus eremius",NA,2,0.925925926,"Varanidae"
1990,"Mar.90","Main Camp","MC1","1",6,36,216,"Gehyra variegata",NA,4,1.851851852,"Gekkonidae"
1990,"Mar.90","Main Camp","MC1","1",6,36,216,"Ctenotus sp.",NA,1,0.462962963,"Scincidae"
1990,"Mar.90","Main Camp","MC2","1",5,36,180,"Nephrurus levis",NA,1,0.555555556,"Carphodactylidae"
1990,"Mar.90","Main Camp","MC2","1",5,36,180,"Menetia maini",NA,5,2.777777778,"Scincidae"
1990,"Mar.90","Main Camp","MC2","1",5,36,180,"Varanus gouldii",NA,4,2.222222222,"Varanidae"
1990,"Mar.90","Main Camp","MC2","1",5,36,180,"Varanus eremius",NA,3,1.666666667,"Varanidae"
1990,"Mar.90","Main Camp","MC2","1",5,36,180,"Ctenophorus nuchalis",NA,10,5.555555556,"Agamidae"
1990,"Mar.90","Main Camp","MC2","1",5,36,180,"Ctenotus pantherinus",NA,3,1.666666667,"Scincidae"
1990,"Mar.90","Main Camp","MC2","1",5,36,180,"Ctenotus leae",NA,3,1.666666667,"Scincidae"
1990,"Mar.90","Main Camp","MC2","1",5,36,180,"Egernia inornata",NA,1,0.555555556,"Scincidae"
1990,"Mar.90","Main Camp","MC2","1",5,36,180,"Pogona vitticeps",NA,2,1.111111111,"Agamidae"
1990,"Mar.90","Main Camp","MC2","1",5,36,180,"Lerista labialis",NA,2,1.111111111,"Scincidae"
1990,"Mar.90","Main Camp","MC4","1",3,36,108,"Ctenotus leae",NA,2,1.851851852,"Scincidae"
1990,"Mar.90","Main Camp","MC4","1",3,36,108,"Lerista labialis",NA,4,3.703703704,"Scincidae"
1990,"Mar.90","Main Camp","MC4","1",3,36,108,"Ctenotus pantherinus",NA,1,0.925925926,"Scincidae"
1990,"Mar.90","Main Camp","MC4","1",3,36,108,"Ctenotus lateralis",NA,3,2.777777778,"Scincidae"
1990,"Mar.90","Main Camp","MC4","1",3,36,108,"Varanus eremius",NA,1,0.925925926,"Varanidae"
1990,"Mar.90","Main Camp","MC4","1",3,36,108,"Ctenophorus nuchalis",NA,3,2.777777778,"Agamidae"
1990,"Mar.90","Main Camp","MC4","1",3,36,108,"Ctenotus sp.",NA,1,0.925925926,"Scincidae"
1990,"Aug.90","Main Camp","MC1","3",7,36,252,"Pogona vitticeps",NA,1,0.396825397,"Agamidae"
1990,"Aug.90","Main Camp","MC1","3",7,36,252,"Ctenotus leae",NA,1,0.396825397,"Scincidae"
1990,"Aug.90","Main Camp","MC1","3",7,36,252,"Menetia maini",NA,1,0.396825397,"Scincidae"
1990,"Aug.90","Main Camp","MC1","3",7,36,252,"Ctenophorus isolepis",NA,2,0.793650794,"Agamidae"
1990,"Aug.90","Main Camp","MC1","3",7,36,252,"No captures",NA,4,1.587301587,""
1990,"Aug.90","Main Camp","MC2","3",7,36,252,"Ctenotus leae",NA,6,2.380952381,"Scincidae"
1990,"Aug.90","Main Camp","MC2","3",7,36,252,"Ctenotus brooksi",NA,4,1.587301587,"Scincidae"
1990,"Aug.90","Main Camp","MC2","3",7,36,252,"Rhynchoedura ornata",NA,1,0.396825397,"Diplodactylidae"
1990,"Aug.90","Main Camp","MC2","3",7,36,252,"No captures",NA,1,0.396825397,""
1990,"Aug.90","Main Camp","MC2","3",7,36,252,"Ctenophorus isolepis",NA,1,0.396825397,"Agamidae"
