"year","month_year","trip_no","site_name","site_grid","species","avg_of_cover","avg_of_fl","avg_of_seed","dead_alive"
1993,"Oct.93","18","Main Camp","MC2","Trianthema pilosa",2,0,0,"Alive"
1993,"Oct.93","18","Main Camp","MC11","Tephrosia rosea",6.5,0,0,"Alive"
1993,"Oct.93","18","Main Camp","MC11","Trachymene glaucifolia",1,0,2.2,"Alive"
1993,"Oct.93","18","Main Camp","MC11","Trianthema pilosa",1,0,0,"Alive"
1993,"Oct.93","18","Main Camp","MC11","Triodia basedowii",34,0,0,"Alive"
1993,"Oct.93","18","Main Camp","MC11","Triumfetta winneckeana",8,0,0,"Alive"
1993,"Oct.93","18","Main Camp","MC2","Calandrinia balonensis",1,3.5,1.5,"Alive"
1993,"Oct.93","18","Main Camp","MC2","Dicrastylis costelloi",3,0,1,"Alive"
1993,"Oct.93","18","Main Camp","MC2","Euphorbia drummondii",2,0,0,"Alive"
1993,"Oct.93","18","Main Camp","MC2","Goodenia cycloptera",1,0,0,"Alive"
1993,"Oct.93","18","Main Camp","MC2","Grevillea stenobotrya",7.5,0,0.5,"Alive"
1993,"Oct.93","18","Main Camp","MC2","Paractaenum refractum",3.666666667,0,0,"Alive"
1993,"Oct.93","18","Main Camp","MC2","Ptilotus sessilifolius",2,0,2,"Alive"
1993,"Oct.93","18","Main Camp","MC11","Sida fibulifera",10,0.333333333,0,"Alive"
1993,"Oct.93","18","Main Camp","MC2","Tephrosia rosea",10,0,0,"Alive"
1993,"Oct.93","18","Main Camp","MC2","Salsola kali",1,0,0,"Alive"
1993,"Oct.93","18","Main Camp","MC2","Triodia basedowii",12.5,0,0,"Alive"
1993,"Oct.93","18","Main Camp","MC4","Atalaya hemiglauca",5,0,0,"Alive"
1993,"Oct.93","18","Main Camp","MC4","Calandrinia balonensis",1,0.5,0,"Alive"
1993,"Oct.93","18","Main Camp","MC4","Dicrastylis costelloi",1,0,0,"Alive"
1993,"Oct.93","18","Main Camp","MC4","Grevillea stenobotrya",5,0,0,"Alive"
1993,"Oct.93","18","Main Camp","MC4","Helipterum floribundum",1,0,0,"Alive"
1993,"Oct.93","18","Main Camp","MC4","Newcastelia spodiotricha",1,0,0,"Alive"
1993,"Oct.93","18","Main Camp","MC4","Paractaenum refractum",1,0,0,"Alive"
1993,"Oct.93","18","Main Camp","MC4","Salsola kali",1,0,0,"Alive"
1993,"Oct.93","18","Main Camp","MC4","Scaevola parvifolia",5,0,0,"Alive"
1993,"Oct.93","18","Main Camp","MC4","Sida fibulifera",2,0,0,"Alive"
1993,"Oct.93","18","Main Camp","MC4","Triodia basedowii",32.5,0,0,"Alive"
1993,"Oct.93","18","Main Camp","MC1","Calandrinia balonensis",1,0.5,0,"Alive"
1993,"Oct.93","18","Main Camp","MC2","Scaevola parvifolia",8,0,0.666666667,"Alive"
1993,"Oct.93","18","Main Camp","MC1","Sida fibulifera",6,0,0,"Alive"
1993,"Oct.93","18","Main Camp","MC10","Dicrastylis costelloi",10,5,1,"Alive"
1993,"Oct.93","18","Main Camp","MC10","Calandrinia balonensis",1.2,0.4,0.2,"Alive"
1993,"Oct.93","18","Main Camp","MC10","Aristida contorta",3.5,0,1.5,"Alive"
1993,"Oct.93","18","Main Camp","MC1","Triumfetta winneckeana",1,0,0,"Alive"
1993,"Oct.93","18","Main Camp","MC1","Triodia basedowii",25,0,0,"Alive"
1993,"Oct.93","18","Main Camp","MC10","Grevillea stenobotrya",10.5,0,1.75,"Alive"
1993,"Oct.93","18","Main Camp","MC1","Trachymene glaucifolia",1,1,0,"Alive"
1993,"Oct.93","18","Main Camp","MC1","Grevillea stenobotrya",15,0,1,"Alive"
1993,"Oct.93","18","Main Camp","MC1","Scaevola parvifolia",10,0,0,"Alive"
1993,"Oct.93","18","Main Camp","MC1","Ptilotus sessilifolius",10,4,1,"Alive"
1993,"Oct.93","18","Main Camp","MC1","Ptilotus polystachyus",1,1,0,"Alive"
1993,"Oct.93","18","Main Camp","MC11","Ptilotus polystachyus",1,0,0,"Alive"
1993,"Oct.93","18","Main Camp","MC1","Euphorbia drummondii",1,1,0,"Alive"
