Recno,Samplecode,Pointcode,Year,Date,Time of day,Acronym,Incidence,Number recorded,Distance,Height,Direction
5271,EX0092,EX01,1998,8/03/1998,pm,SULYR,1,1,25,,
5362,EX0132,EX01,1998,12/03/1998,mid,GYFAN,1,1,25,,
5363,EX0132,EX01,1998,12/03/1998,mid,GNROS,1,1,25,,
5364,EX0132,EX01,1998,12/03/1998,mid,GSTHR,1,1,25,,
5569,EX0172,EX01,1998,18/03/1998,am,SILVE,1,1,25,,
5891,EX0212,EX01,1998,20/03/1998,pm,no birds,1,0,0,,
5746,EX0252,EX01,1998,27/03/1998,pm,BKCUR,0,1,40,,
5747,EX0252,EX01,1998,27/03/1998,pm,GNROS,0,1,40,,
5925,EX0252,EX01,1998,27/03/1998,pm,no birds,1,0,0,,
11052,EX0004,EX01,2004,20/10/2004,mid,GYFAN,1,1,25,,
11053,EX0004,EX01,2004,20/10/2004,mid,TATHO,1,1,15,,
11054,EX0004,EX01,2004,20/10/2004,mid,GOWHI,1,1,20,,
11105,EX0025,EX01,2004,16/11/2004,pm,TATHO,1,1,9,,
11106,EX0025,EX01,2004,16/11/2004,pm,GYFAN,0,1,25,,
11107,EX0025,EX01,2004,16/11/2004,pm,GYFAN,1,1,15,,
11119,EX0029,EX01,2004,30/11/2004,am,STPAR,1,1,20,,
11169,EX0050,EX01,2004,16/12/2004,am,PIROB,1,1,8,,
11170,EX0050,EX01,2004,16/12/2004,am,TATHO,1,1,12,,
11171,EX0050,EX01,2004,16/12/2004,am,SBHON,1,2,10,,
11172,EX0050,EX01,2004,16/12/2004,am,SCRUB,1,1,11,,
11173,EX0050,EX01,2004,16/12/2004,am,TASCR,1,1,4,,
11174,EX0050,EX01,2004,16/12/2004,am,TASCR,0,1,10,,
11256,EX0082,EX01,2004,29/12/2004,pm,TASCR,1,1,5,,
13477,EX0292,EX01,2005,19/10/2005,am,GYFAN,1,1,20,3,
13478,EX0292,EX01,2005,19/10/2005,am,GOWHI,1,1,25,3,
13479,EX0292,EX01,2005,19/10/2005,am,STPAR,1,1,15,4,
13480,EX0292,EX01,2005,19/10/2005,am,GYFAN,0,2,3,2,
13481,EX0292,EX01,2005,19/10/2005,am,GNROS,0,1,75,,
13654,EX0328,EX01,2005,1/11/2005,pm,GYFAN,1,1,15,,5
13655,EX0328,EX01,2005,1/11/2005,pm,STPAR,1,1,20,,1
13656,EX0328,EX01,2005,1/11/2005,pm,TASCR,1,1,25,,7
13657,EX0328,EX01,2005,1/11/2005,pm,EASPI,1,1,25,,1
13692,EX0341,EX01,2005,16/11/2005,pm,GYFAN,1,1,25,3,4
13693,EX0341,EX01,2005,16/11/2005,pm,BKCUR,1,1,25,4,6
13694,EX0341,EX01,2005,16/11/2005,pm,TATHO,1,1,20,3,5
13695,EX0341,EX01,2005,16/11/2005,pm,SILVE,1,2,20,4,5
13696,EX0341,EX01,2005,16/11/2005,pm,TATHO,1,2,0,4,
13760,EX0355,EX01,2005,17/11/2005,am,GSTHR,0,1,40,3,
13761,EX0355,EX01,2005,17/11/2005,am,SBCUC,1,1,25,3,
13762,EX0355,EX01,2005,17/11/2005,am,EASPI,0,1,40,3,
13763,EX0355,EX01,2005,17/11/2005,am,TATHO,1,1,15,2,
13764,EX0355,EX01,2005,17/11/2005,am,BLHON,1,1,0,6,
13765,EX0355,EX01,2005,17/11/2005,am,BKCUR,0,1,75,,
13833,EX0368,EX01,2005,21/11/2005,pm,GYFAN,1,1,6,3,5
13834,EX0368,EX01,2005,21/11/2005,pm,STPAR,1,1,25,4,5
13835,EX0368,EX01,2005,21/11/2005,pm,GOWHI,1,1,25,3to4,6
13836,EX0368,EX01,2005,21/11/2005,pm,TASCR,1,1,25,1,8
13837,EX0368,EX01,2005,21/11/2005,pm,GNROS,1,1,20,6,7
13945,EX0392,EX01,2005,24/11/2005,am,FTCUC,1,1,20,4,3
13946,EX0392,EX01,2005,24/11/2005,am,GNROS,0,1,40,4,
13947,EX0392,EX01,2005,24/11/2005,am,GYFAN,1,1,15,3,4
13948,EX0392,EX01,2005,24/11/2005,am,TASCR,1,1,15,1to2,2
13949,EX0392,EX01,2005,24/11/2005,am,STPAR,1,1,20,4,6
15686,EX0393,EX01,2006,31/10/2006,am,TASCR,1,1,10,2,8
15687,EX0393,EX01,2006,31/10/2006,am,GYFAN,0,1,40,3,2
15688,EX0393,EX01,2006,31/10/2006,am,SBCUC,1,1,25,3,5
15689,EX0393,EX01,2006,31/10/2006,am,BKCUR,0,1,70,,
15690,EX0393,EX01,2006,31/10/2006,am,GYFAN,1,1,20,3,4
15820,EX0419,EX01,2006,31/10/2006,mid,GYFAN,1,1,20,3,4
15821,EX0419,EX01,2006,31/10/2006,mid,CRHON,1,1,25,3,2
15822,EX0419,EX01,2006,31/10/2006,mid,TASCR,1,1,15,1,3
15823,EX0419,EX01,2006,31/10/2006,mid,GYFAN,0,1,30,3,1
15824,EX0419,EX01,2006,31/10/2006,mid,GNROS,0,1,40,4,7
15825,EX0419,EX01,2006,31/10/2006,mid,EASPI,1,1,20,2,1
15928,EX0444,EX01,2006,16/11/2006,mid,GYFAN,1,1,15,3,5
