Acronym,Species binomial,Common name,RAOU number,Family,Guild
BATHR,Zoothera lunulata,Bassian thrush,779,Muscicapidae,1
BEFIR,Stagonopleura bella,Beautiful firetail,650,Ploceidae,1
BFCSH,Coracina novaehollandiae,Black-faced cuckoo-shrike,424,Campephagidae,4
BKCUR,Strepera fuliginosa,Black currawong,696,Cracticidae,4
BLHON,Melithreptus affinis,Black-headed honeyeater,584,Meliphagidae,4
BNFAL,Falco berigora,Brown falcon,239,Falconidae,
BNGOS,Accipiter novaehollandiae,Brown goshawk,,Accipitridae,0
BNQUA,Coturnix ypsilophora,Brown quail,11,Phasianidae,1
BNTHO,Acanthiza pusilla,Brown thornbill,475,Acanthizidae,2
BPREY,Falco xxx,Unidentified falcon,,Falconidae,
BRBRO,Phaps elegans,Brush bronzewing,35,Columbidae,1
COBLA,Turdus merula,Blackbird,991,Muscicapidae,1
CRHON,Phylidonyris pyrrhoptera,Crescent honeyeater,630,Meliphagidae,3
DUROB,Melanodryas vittata,Dusky robin,386,Muscicapidae,2
DUWOO,Artamus cyanopterus,Dusky woodswallow,547,Artamidae,3
EAROS,Platycerus eximius,Eastern rosella,288,Platycercidae,3
EASPI,Acanthorhynchus tenuirostris,Eastern spinebill,591,Meliphagidae,3
FLROB,Petroica phoenicea,Flame robin,382,Muscicapidae,3
FORAV,Corvus tasmanicus,Forest raven,868,Corvidae,5
FTCUC,Cacomantis flabelliformis,Fan-tailed cuckoo,338,Cuculidae,3
GNROS,Platycercus caledonicus,Green rosella,285,Platycercidae,4
GOWHI,Pachycephala pectoralis,Golden whistler,398,Muscicapidae,3
GSTHR,Colluricincla harmonica,Grey shrike-thrush,408,Muscicapidae,3
GYBUT,Cracticus torquatus,Grey butcherbird,702,Cracticidae,3
GYFAN,Rhipidura fuliginosa,Grey fantail,361,Muscicapidae,3
NHHON,Phylidonyris novaehollandiae,New holland honeyeater,631,Meliphagidae,2
no birds,Nospecies,Nospecies,9999,Nofamily,
NOMIN,Manorina melanocephala,Noisy miner,634,Meliphagidae,3
OLWHI,Pachycephala olivacea,Olive whistler,405,Muscicapidae,3
PACUC,Cuculus pallidus,Pallid cuckoo,337,Cuculidae,3
PEFAL,Falco perigrinus,Peregrine falcon,237,Falconidae,
PIROB,Petroica rodinogaster,Pink robin,383,Muscicapidae,2
RIPIP,Anthus novaeseelandiae,Richards pipit,647,Motacillidae,1
SAFLY,Myiagra cyanoleuca,Satin flycatcher,366,Muscicapidae,4
SBCUC,Chrysococcyx lucidus,Shining bronze-cuckoo,344,Cuculidae,3
SBHON,Melithreptus validirostris,Strong-billed honeyeater,582,Meliphagidae,4
SCCOC,Cacatua galerita,Sulphur-crested cockatoo,269,Cacatuidae,4
SCROB,Petroica multicolor,Scarlet robin,380,Muscicapidae,2
SCRUB,Acanthornis magnus,Scrubtit,487,Acanthizidae,1
SEWRE,Stipiturus malachurus,Southern emu-wren,526,Maluridae,2
SILVE,Zosterops lateralis,Silvereye,574,Zosteropidae,4
SKYLA,Alauda arvensis,Skylark,993,Alaudidae,
SOBOO,Ninox novaehollandiae,Southern boobook,242,Strigidae,3
SPPAR,Pardalotus punctatus,Spotted pardalote,565,Pardalotidae,4
SQTHR,Cinclosoma punctatum,Spotted quail-thrush,436,Orthonychidae,1
STDOV,Streptopelia chinensis,Spotted turtle-dove,989,Columbidae,1
STHEA,Calamanthus fuliginosus,Striated fieldwren,500,Acanthizidae,2
STPAR,Pardalotus striatus,Striated pardalote,976,Pardalotidae,4
SULYR,Menura novaehollandiae,Superb lyrebird,350,Menuridae,1
SUWRE,Malurus cyaneus,Superb fairy-wren,529,Maluridae,1
SWHAR,Circus approximans,Swamp harrier,219,Accipitridae,
SWPAR,Lathamus discolor,Swift parrot,309,Platycercidae,5
TAFRO,Podargus strigoides,Tawny frogmouth,313,Podargidae,3
TASCR,Sericornis humilis,Tasmanian scrubwren,495,Acanthizidae,1
TATHO,Acanthiza ewingii,Tasmanian thornbill,473,Acanthizidae,2
THORN,Acanthiza xxx,Tas or brown thornbill,,Acanthizidae,2
TRMAR,Hirundo nigricans,Tree martin,363,Hirundinidae,5
WESWA,Hirundo neoxena,Welcome swallow,357,Hirundinidae,5
WTEAG,Aquila audax,Wedge-tailed eagle,224,Accipitridae,5
WTNEE,Hirundapus caudacutus,White-throated needletail,334,Apodidae,5
YHHON,Lichenostomus flavicollis,Yellow-throated honeyeater,616,Meliphagidae,3
YTBCO,Calyptorhynchus funereus,Yellow-tailed black cockatoo,267,Cacatuidae,4
YWWAT,Anthochaera paradoxa,Yellow wattlebird,639,Meliphagidae,
