dataset_id,species,species_original,species.new,corrected,comment,checked
alber_2022,Detracia,Detracia,Detracia,0,genus-level,1
alber_2022,Geukensia,Geukensia,Geukensia,0,genus-level,1
alber_2022,Hydrobiidae,Hydrobiidae,Hydrobiidae,0,genus-level,1
alber_2022,Ilyanassa,Ilyanassa,Ilyanassa,0,genus-level,1
alber_2022,Littoraria,Littoraria,Littoraria,0,genus-level,1
alber_2022,Melampus,Melampus,Melampus,0,genus-level,1
alber_2022,Odostomia,Odostomia,Odostomia,0,genus-level,1
alber_2022,Polymesoda,Polymesoda,Polymesoda,0,genus-level,1
alber_2022,Succineidae,Succineidae,Succineidae,0,genus-level,1
alston_2021a,Acacia_brevispica,Acacia_brevispica,Acacia_brevispica,0,NA,1
alston_2021a,Acacia_drepanolobium,Acacia_drepanolobium,Acacia_drepanolobium,0,NA,1
alston_2021a,Acacia_etbaica,Acacia_etbaica,Acacia_etbaica,0,NA,1
alston_2021a,Acacia_etbaica_hybrid,Acacia_etbaica_hybrid,Acacia_etbaica_hybrid,0,NA,1
alston_2021a,Acacia_gerrardii,Acacia_gerrardii,Acacia_gerrardii,0,NA,1
alston_2021a,Acacia_mellifera,Acacia_mellifera,Acacia_mellifera,0,NA,1
alston_2021a,Acacia_nilotica,Acacia_nilotica,Acacia_nilotica,0,NA,1
alston_2021a,Acacia_reficiens,Acacia_reficiens,Acacia_reficiens,0,NA,1
alston_2021a,Acacia_seyal,Acacia_seyal,Acacia_seyal,0,NA,1
alston_2021a,Acacia_tortilis,Acacia_tortilis,Acacia_tortilis,0,NA,1
alston_2021a,Acokanthera_schimperi,Acokanthera_schimperi,Acokanthera_schimperi,0,NA,1
alston_2021a,Asparagus_falcatus,Asparagus_falcatus,Asparagus_falcatus,0,NA,1
alston_2021a,Asparagus_racemosus,Asparagus_racemosus,Asparagus_racemosus,0,NA,1
alston_2021a,Asparagus_spp,Asparagus_spp,Asparagus_spp,0,NA,1
alston_2021a,Balanites_rotundifolia,Balanites_rotundifolia,Balanites_rotundifolia,0,NA,1
alston_2021a,Boscia_angustifolia,Boscia_angustifolia,Boscia_angustifolia,0,NA,1
alston_2021a,Cadaba_farinosa,Cadaba_farinosa,Cadaba_farinosa,0,NA,1
alston_2021a,Canthium_pseudosetiflorum,Canthium_pseudosetiflorum,Canthium_pseudosetiflorum,0,NA,1
alston_2021a,Commiphora_habessinica,Commiphora_habessinica,Commiphora_habessinica,0,NA,1
alston_2021a,Commiphora_schimperi,Commiphora_schimperi,Commiphora_schimperi,0,NA,1
alston_2021a,Commiphora_spp,Commiphora_spp,Commiphora_spp,0,NA,1
alston_2021a,Cordia_monoica,Cordia_monoica,Cordia_monoica,0,NA,1
alston_2021a,Croton_dichogamus,Croton_dichogamus,Croton_dichogamus,0,NA,1
alston_2021a,Cyperus_spp,Cyperus_spp,Cyperus_spp,0,NA,1
alston_2021a,Euclea_divinorum,Euclea_divinorum,Euclea_divinorum,0,NA,1
alston_2021a,Grewia_kakothamnos,Grewia_kakothamnos,Grewia_kakothamnos,0,NA,1
alston_2021a,Hibiscus_sparseaculeatus,Hibiscus_sparseaculeatus,Hibiscus_sparseaculeatus,0,NA,1
alston_2021a,Jasminum_fluminense,Jasminum_fluminense,Jasminum_fluminense,0,NA,1
alston_2021a,Lycium_europaeum,Lycium_europaeum,Lycium_europaeum,0,NA,1
alston_2021a,Maerua_angolensis,Maerua_angolensis,Maerua_angolensis,0,NA,1
alston_2021a,Maerua_tryphilla,Maerua_tryphilla,Maerua_tryphilla,0,NA,1
alston_2021a,Opuntia_ficus-indica,Opuntia_ficus-indica,Opuntia_ficus-indica,0,NA,1
alston_2021a,Ormocarpum_trachycarpum,Ormocarpum_trachycarpum,Ormocarpum_trachycarpum,0,NA,1
alston_2021a,Pavetta_gardeniifolia,Pavetta_gardeniifolia,Pavetta_gardeniifolia,0,NA,1
alston_2021a,Phyllanthus_sepialis,Phyllanthus_sepialis,Phyllanthus_sepialis,0,NA,1
alston_2021a,Psiadia_punctulata,Psiadia_punctulata,Psiadia_punctulata,0,NA,1
alston_2021a,Psydrax_schimperiana,Psydrax_schimperiana,Psydrax_schimperiana,0,NA,1
alston_2021a,Pyrostria_phyllanthoidea,Pyrostria_phyllanthoidea,Pyrostria_phyllanthoidea,0,NA,1
alston_2021a,Rhus_natalensis,Rhus_natalensis,Rhus_natalensis,0,NA,1
alston_2021a,Sansevieria_suffruticosus,Sansevieria_suffruticosus,Sansevieria_suffruticosus,0,NA,1
alston_2021a,Teclea_nobilis,Teclea_nobilis,Teclea_nobilis,0,NA,1
alston_2021a,Tinnea_aethiopicus,Tinnea_aethiopicus,Tinnea_aethiopicus,0,NA,1
alston_2021a,Zanthoxylum_chalybeum,Zanthoxylum_chalybeum,Zanthoxylum_chalybeum,0,NA,1
alston_2021b,Acomys kempi,Acomys kempi,Acomys kempi,0,NA,1
alston_2021b,Acomys percivali,Acomys percivali,Acomys percivali,0,NA,1
alston_2021b,Aethomys hindei,Aethomys hindei,Aethomys hindei,0,NA,1
alston_2021b,Arvicanthis niloticus,Arvicanthis niloticus,Arvicanthis niloticus,0,NA,1
alston_2021b,Crocidura gracilipes,Crocidura gracilipes,Crocidura gracilipes,0,NA,1
alston_2021b,Crocidura spp.,Crocidura spp.,Crocidura spp.,0,NA,1
alston_2021b,Elephantulus rufescens,Elephantulus rufescens,Elephantulus rufescens,0,NA,1
alston_2021b,Gerbilliscus robustus,Gerbilliscus robustus,Gerbilliscus robustus,0,NA,1
alston_2021b,Grammomys dolichurus,Grammomys dolichurus,Grammomys dolichurus,0,NA,1
alston_2021b,Mus spp.,Mus spp.,Mus spp.,0,NA,1
alston_2021b,Saccostomus mearnsi,Saccostomus mearnsi,Saccostomus mearnsi,0,NA,1
alston_2021b,Steatomys parvus,Steatomys parvus,Steatomys parvus,0,NA,1
alston_2021b,Taterillus harringtoni,Taterillus harringtoni,Taterillus harringtoni,0,NA,1
alston_2021c,Abutilon,Abutilon,Abutilon,0,NA,1
alston_2021c,Abutilon_hirtum,Abutilon_hirtum,Abutilon_hirtum,0,NA,1
alston_2021c,Abutilon_longicuspe,Abutilon_longicuspe,Abutilon_longicuspe,0,NA,1
